timestamp,details-v1-b788479c5-bbg6t_cpu,productpage-v1-7fb564989f-lvdk6_cpu,ratings-v1-5b6b66f9b5-7bln6_cpu,reviews-v1-7b76c4f45d-s5dnq_cpu,reviews-v2-7b4f9d8cb4-rgbs6_cpu,reviews-v3-5fd56449d8-xpzj4_cpu,reviews-v3-5fd56449d8-vpxz8_cpu,details-v1-b788479c5-bbg6t_memory,productpage-v1-7fb564989f-lvdk6_memory,ratings-v1-5b6b66f9b5-7bln6_memory,reviews-v1-7b76c4f45d-s5dnq_memory,reviews-v2-7b4f9d8cb4-rgbs6_memory,reviews-v3-5fd56449d8-xpzj4_memory,reviews-v3-5fd56449d8-vpxz8_memory,productpage-v1-7fb564989f-lvdk6_network,reviews-v1-7b76c4f45d-s5dnq_network,reviews-v3-5fd56449d8-xpzj4_network,ratings-v1-5b6b66f9b5-7bln6_network,details-v1-b788479c5-bbg6t_network,reviews-v3-5fd56449d8-vpxz8_network,reviews-v2-7b4f9d8cb4-rgbs6_network
2024-03-07 16:59:04,6.749362833321963,25.210839166660055,0.8851320999989791,2.1025671666658736,5.562190599999894,13.517749099999973,-1.0,25.042944,56.40192,12.333056,93.540352,200.818688,96.366592,-1.0,1653.7777777777776,30.617777777777775,103.3611111111111,40.53444444444444,173.3611111111111,-1.0,197.8711111111111
2024-03-07 16:59:09,6.226657166674461,49.55642073333972,2.0528646333370184,2.1025671666658736,5.562190599999894,20.350616766666658,-1.0,25.042944,56.287232,13.217792,93.540352,200.818688,96.956416,-1.0,3835.7377777777774,30.617777777777775,65.61,121.0,135.33444444444444,-1.0,197.8711111111111
2024-03-07 16:59:14,6.226657166674461,49.55642073333972,2.0528646333370184,2.1025671666658736,5.562190599999894,20.350616766666658,-1.0,25.042944,56.287232,13.217792,93.540352,200.818688,96.956416,-1.0,3835.7377777777774,30.617777777777775,65.61,121.0,135.33444444444444,-1.0,197.8711111111111
2024-03-07 16:59:19,6.226657166674461,49.55642073333972,2.0528646333370184,2.1025671666658736,5.562190599999894,20.350616766666658,-1.0,25.042944,56.287232,13.217792,93.540352,200.818688,96.956416,-1.0,3835.7377777777774,30.617777777777775,65.61,121.0,135.33444444444444,-1.0,197.8711111111111
2024-03-07 16:59:24,6.226657166674461,49.55642073333972,2.0528646333370184,2.1025671666658736,5.562190599999894,20.350616766666658,-1.0,25.042944,56.287232,13.217792,93.540352,200.818688,96.956416,-1.0,3835.7377777777774,30.617777777777775,65.61,121.0,135.33444444444444,-1.0,197.8711111111111
2024-03-07 16:59:29,6.226657166674461,49.55642073333972,2.0528646333370184,2.1564500666670483,3.072006266665994,20.350616766666658,-1.0,25.042944,56.287232,13.217792,93.540352,200.884224,96.956416,-1.0,3835.7377777777774,34.41777777777777,65.61,121.0,135.33444444444444,-1.0,125.43999999999998
2024-03-07 16:59:34,6.226657166674461,49.55642073333972,2.0528646333370184,2.1564500666670483,3.072006266665994,20.350616766666658,-1.0,25.042944,56.287232,13.217792,93.540352,200.884224,96.956416,-1.0,3835.7377777777774,34.41777777777777,65.61,121.0,135.33444444444444,-1.0,125.43999999999998
2024-03-07 16:59:39,6.22968036665649,60.88153119999333,1.404989333332196,2.1564500666670483,3.072006266665994,17.13462573333331,-1.0,25.059328,56.40192,12.353536,93.540352,200.884224,98.828288,-1.0,5635.004444444444,34.41777777777777,226.0011111111111,80.4011111111111,218.05444444444447,-1.0,125.43999999999998
2024-03-07 16:59:44,6.22968036665649,60.88153119999333,1.404989333332196,2.1564500666670483,3.072006266665994,17.13462573333331,-1.0,25.059328,56.40192,12.353536,93.540352,200.884224,98.828288,-1.0,5635.004444444444,34.41777777777777,226.0011111111111,80.4011111111111,218.05444444444447,-1.0,125.43999999999998
2024-03-07 16:59:49,6.22968036665649,60.88153119999333,1.404989333332196,2.1564500666670483,3.072006266665994,17.13462573333331,-1.0,25.059328,56.40192,12.353536,93.540352,200.884224,98.828288,-1.0,5635.004444444444,34.41777777777777,226.0011111111111,80.4011111111111,218.05444444444447,-1.0,125.43999999999998
