timestamp,details-v1-b788479c5-bbg6t_cpu,productpage-v1-7fb564989f-lvdk6_cpu,ratings-v1-5b6b66f9b5-7bln6_cpu,reviews-v1-7b76c4f45d-lznn4_cpu,reviews-v1-7b76c4f45d-x9mxc_cpu,reviews-v3-5fd56449d8-tv4wp_cpu,reviews-v2-6ccf99c555-fqvhb_cpu,details-v1-b788479c5-bbg6t_memory,productpage-v1-7fb564989f-lvdk6_memory,ratings-v1-5b6b66f9b5-7bln6_memory,reviews-v1-7b76c4f45d-lznn4_memory,reviews-v1-7b76c4f45d-x9mxc_memory,reviews-v3-5fd56449d8-tv4wp_memory,reviews-v2-6ccf99c555-fqvhb_memory,reviews-v2-6ccf99c555-fqvhb_network,reviews-v3-5fd56449d8-tv4wp_network,details-v1-b788479c5-bbg6t_network,reviews-v1-7b76c4f45d-lznn4_network,ratings-v1-5b6b66f9b5-7bln6_network,reviews-v1-7b76c4f45d-x9mxc_network,productpage-v1-7fb564989f-lvdk6_network
2024-03-06 09:15:05,6.380613366673059,43.40395816666386,1.5655788000003665,-1.0,2.2729391333314197,4.573898666668204,3.9675234333325684,24.53504,55.947264,8.359936,-1.0,89.878528,417.267712,415.092736,84.02777777777777,193.21,57.25444444444443,-1.0,76.8544444444444,36.0,5872.667777777774
2024-03-06 09:15:10,6.38061336667306,43.40395816666387,1.5655788000003668,-1.0,2.2729391333314197,4.573898666668204,4.294446866667082,24.53504,55.947264,8.359936,-1.0,89.878528,417.267712,415.248384,118.08444444444446,193.21,57.25444444444444,-1.0,76.85444444444445,36.0,5872.667777777779
2024-03-06 09:15:15,6.38061336667306,43.40395816666387,1.5655788000003668,-1.0,2.2729391333314197,4.573898666668204,4.294446866667082,24.53504,55.947264,8.359936,-1.0,89.878528,417.267712,415.248384,118.08444444444446,193.21,57.25444444444444,-1.0,76.85444444444445,36.0,5872.667777777779
2024-03-06 09:15:20,6.38061336667306,43.40395816666387,1.5655788000003668,-1.0,2.2729391333314197,4.573898666668204,4.294446866667082,24.53504,55.947264,8.359936,-1.0,89.878528,417.267712,415.248384,118.08444444444446,193.21,57.25444444444444,-1.0,76.85444444444445,36.0,5872.667777777779
2024-03-06 09:15:25,6.38061336667306,43.40395816666387,1.5655788000003668,-1.0,2.2729391333314197,4.573898666668204,4.294446866667082,24.53504,55.947264,8.359936,-1.0,89.878528,417.267712,415.248384,118.08444444444446,193.21,57.25444444444444,-1.0,76.85444444444445,36.0,5872.667777777779
2024-03-06 09:15:30,6.38061336667306,43.40395816666387,1.5655788000003668,-1.0,2.093378333332415,5.287115733331878,4.294446866667082,24.53504,55.947264,8.359936,-1.0,91.447296,416.718848,415.248384,118.08444444444446,123.21,57.25444444444444,-1.0,76.85444444444445,16.267777777777777,5872.667777777779
2024-03-06 09:15:35,5.052838633325033,45.78612223334251,1.6260353333298854,-1.0,2.093378333332415,5.287115733331878,4.294446866667082,24.518656,55.947264,7.811072,-1.0,91.447296,416.718848,415.248384,118.08444444444446,123.21,323.9999999999999,-1.0,74.5344444444444,16.267777777777777,3910.417777777777
2024-03-06 09:15:40,5.052838633325034,45.78612223334252,1.6260353333298856,-1.0,2.093378333332415,5.287115733331878,4.807172699999759,24.518656,55.947264,7.811072,-1.0,91.447296,416.718848,415.371264,151.29000000000002,123.21,324.0,-1.0,74.53444444444443,16.267777777777777,3910.4177777777777
2024-03-06 09:15:45,5.052838633325034,45.78612223334252,1.6260353333298856,-1.0,2.093378333332415,5.287115733331878,4.807172699999759,24.518656,55.947264,7.811072,-1.0,91.447296,416.718848,415.371264,151.29000000000002,123.21,324.0,-1.0,74.53444444444443,16.267777777777777,3910.4177777777777
2024-03-06 09:15:50,5.052838633325034,45.78612223334252,1.6260353333298856,-1.0,2.093378333332415,5.287115733331878,4.807172699999759,24.518656,55.947264,7.811072,-1.0,91.447296,416.718848,415.371264,151.29000000000002,123.21,324.0,-1.0,74.53444444444443,16.267777777777777,3910.4177777777777
2024-03-06 09:15:55,5.052838633325034,45.78612223334252,1.6260353333298856,-1.0,2.093378333332415,5.287115733331878,4.807172699999759,24.518656,55.947264,7.811072,-1.0,91.447296,416.718848,415.371264,151.29000000000002,123.21,324.0,-1.0,74.53444444444443,16.267777777777777,3910.4177777777777
2024-03-06 09:16:00,5.052838633325034,45.78612223334252,1.6260353333298856,-1.0,1.9732254333348467,4.802358566666953,4.807172699999759,24.518656,55.947264,7.811072,-1.0,90.865664,416.743424,415.371264,151.29000000000002,31.73444444444445,324.0,-1.0,74.53444444444443,26.351111111111116,3910.4177777777777
2024-03-06 09:16:05,6.127078466670354,62.144179333320906,0.6763963666685412,-1.0,1.9732254333348467,4.802358566666953,4.807172699999759,24.53504,55.832576,8.454144,-1.0,90.865664,416.743424,415.371264,151.29000000000002,31.73444444444445,85.2544444444444,-1.0,20.249999999999993,26.351111111111116,2966.617777777777
2024-03-06 09:16:10,6.127078466670355,62.14417933332091,0.6763963666685413,-1.0,1.9732254333348467,4.802358566666953,4.32666949999998,24.53504,55.832576,8.454144,-1.0,90.865664,416.743424,415.60064,144.0,31.73444444444445,85.25444444444443,-1.0,20.25,26.351111111111116,2966.617777777778
2024-03-06 09:16:15,6.127078466670355,62.14417933332091,0.6763963666685413,-1.0,1.9732254333348467,4.802358566666953,4.32666949999998,24.53504,55.832576,8.454144,-1.0,90.865664,416.743424,415.60064,144.0,31.73444444444445,85.25444444444443,-1.0,20.25,26.351111111111116,2966.617777777778
2024-03-06 09:16:20,6.127078466670355,62.14417933332091,0.6763963666685413,-1.0,1.9732254333348467,4.802358566666953,4.32666949999998,24.53504,55.832576,8.454144,-1.0,90.865664,416.743424,415.60064,144.0,31.73444444444445,85.25444444444443,-1.0,20.25,26.351111111111116,2966.617777777778
2024-03-06 09:16:25,6.127078466670355,62.14417933332091,0.6763963666685413,-1.0,1.9732254333348467,4.802358566666953,4.32666949999998,24.53504,55.832576,8.454144,-1.0,90.865664,416.743424,415.60064,144.0,31.73444444444445,85.25444444444443,-1.0,20.25,26.351111111111116,2966.617777777778
