timestamp,details-v1-b788479c5-bbg6t_cpu,productpage-v1-7fb564989f-lvdk6_cpu,ratings-v1-5b6b66f9b5-7bln6_cpu,reviews-v1-7b76c4f45d-s5dnq_cpu,reviews-v3-5fd56449d8-tv4wp_cpu,reviews-v2-7b4f9d8cb4-hnbzm_cpu,reviews-v2-7b4f9d8cb4-8mz2m_cpu,details-v1-b788479c5-bbg6t_memory,productpage-v1-7fb564989f-lvdk6_memory,ratings-v1-5b6b66f9b5-7bln6_memory,reviews-v1-7b76c4f45d-s5dnq_memory,reviews-v3-5fd56449d8-tv4wp_memory,reviews-v2-7b4f9d8cb4-hnbzm_memory,reviews-v2-7b4f9d8cb4-8mz2m_memory,details-v1-b788479c5-bbg6t_network,productpage-v1-7fb564989f-lvdk6_network,reviews-v2-7b4f9d8cb4-8mz2m_network,reviews-v2-7b4f9d8cb4-hnbzm_network,ratings-v1-5b6b66f9b5-7bln6_network,reviews-v1-7b76c4f45d-s5dnq_network,reviews-v3-5fd56449d8-tv4wp_network
2024-03-07 04:44:01,3.2080004999897938,51.8022986999919,1.5214412000015423,2.415110266666905,2.529764533331521,16.728844833333294,-1.0,24.932352,57.311232,13.869056,91.226112,620.978176,82.112512,-1.0,197.8711111111111,4951.467777777777,-1.0,119.53777777777778,90.25,64.0,129.96
2024-03-07 04:44:06,3.2080004999897938,51.8022986999919,1.5214412000015423,2.415110266666905,2.529764533331521,16.728844833333294,-1.0,24.932352,57.311232,13.869056,91.226112,620.978176,82.112512,-1.0,197.8711111111111,4951.467777777777,-1.0,119.53777777777778,90.25,64.0,129.96
2024-03-07 04:44:11,3.2080004999897938,51.8022986999919,1.5214412000015423,2.415110266666905,2.529764533331521,16.728844833333294,-1.0,24.932352,57.311232,13.869056,91.226112,620.978176,82.112512,-1.0,197.8711111111111,4951.467777777777,-1.0,119.53777777777778,90.25,64.0,129.96
2024-03-07 04:44:16,7.659143766674486,41.18357033333572,1.6459641333312907,2.415110266666905,2.529764533331521,47.72403513333336,-1.0,24.915968,57.327616,13.225984,91.226112,620.978176,81.813504,-1.0,123.95111111111115,2304.000000000001,-1.0,97.35111111111115,95.38777777777783,64.0,129.96
2024-03-07 04:44:21,7.659143766674486,41.18357033333572,1.6459641333312907,2.415110266666905,2.529764533331521,47.72403513333336,-1.0,24.915968,57.327616,13.225984,91.226112,620.978176,81.813504,-1.0,123.95111111111115,2304.000000000001,-1.0,97.35111111111115,95.38777777777783,64.0,129.96
2024-03-07 04:44:26,7.659143766674484,41.183570333335716,1.6459641333312902,2.4321786000001566,5.43275550000241,47.72403513333335,-1.0,24.915968,57.327616,13.225984,91.226112,620.978176,81.813504,-1.0,123.9511111111111,2304.0,-1.0,97.35111111111112,95.3877777777778,27.040000000000003,200.69444444444443
2024-03-07 04:44:31,7.659143766674484,41.183570333335716,1.6459641333312902,2.4321786000001566,5.43275550000241,47.72403513333335,-1.0,24.915968,57.327616,13.225984,91.226112,620.978176,81.813504,-1.0,123.9511111111111,2304.0,-1.0,97.35111111111112,95.3877777777778,27.040000000000003,200.69444444444443
2024-03-07 04:44:36,7.659143766674484,41.183570333335716,1.6459641333312902,2.4321786000001566,5.43275550000241,47.72403513333335,-1.0,24.915968,57.327616,13.225984,91.226112,620.978176,81.813504,-1.0,123.9511111111111,2304.0,-1.0,97.35111111111112,95.3877777777778,27.040000000000003,200.69444444444443
2024-03-07 04:44:41,7.659143766674484,41.183570333335716,1.6459641333312902,2.4321786000001566,5.43275550000241,47.72403513333335,-1.0,24.915968,57.327616,13.225984,91.226112,620.978176,81.813504,-1.0,123.9511111111111,2304.0,-1.0,97.35111111111112,95.3877777777778,27.040000000000003,200.69444444444443
2024-03-07 04:44:46,5.378346833337371,57.43154049999553,1.5684147666661379,2.4321786000001566,5.43275550000241,26.768793066666664,-1.0,24.915968,57.327616,13.676544,91.226112,620.978176,82.26816,-1.0,276.66777777777787,2513.3511111111115,-1.0,44.44444444444447,86.49000000000005,27.040000000000003,200.69444444444443
