timestamp,details-v1,productpage-v1,ratings-v1,reviews-v1,reviews-v2,reviews-v3
2024-03-06 05:45:04,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-06 05:45:09,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-06 05:45:14,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-06 05:45:19,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-06 05:45:24,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-06 05:45:29,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-06 05:45:34,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-06 05:45:39,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-06 05:45:44,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-06 05:45:49,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-06 05:45:54,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-06 05:45:59,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-06 05:46:04,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-06 05:46:09,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-06 05:46:14,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-06 05:46:19,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-06 05:46:24,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-06 05:46:29,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-06 05:46:34,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-06 05:46:39,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-06 05:46:44,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-06 05:46:49,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-06 05:46:54,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-06 05:46:59,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-06 05:47:04,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-06 05:47:09,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-06 05:47:14,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-06 05:47:19,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-06 05:47:24,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-06 05:47:29,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-06 05:47:34,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-06 05:47:39,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-06 05:47:44,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-06 05:47:49,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-06 05:47:54,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-06 05:47:59,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-06 05:48:04,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-06 05:48:09,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-06 05:48:14,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-06 05:48:19,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-06 05:48:24,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-06 05:48:29,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-06 05:48:34,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-06 05:48:39,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-06 05:48:44,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-06 05:48:49,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-06 05:48:54,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-06 05:48:59,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-06 05:49:04,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-06 05:49:09,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-06 05:49:14,1.0,1.0,1.0,1.0,1.0,1.0
