timestamp,details-v1-b788479c5-bbg6t_cpu,productpage-v1-7fb564989f-lvdk6_cpu,ratings-v1-5b6b66f9b5-mgp5t_cpu,ratings-v1-5b6b66f9b5-7bln6_cpu,reviews-v1-7b76c4f45d-x9mxc_cpu,reviews-v3-5fd56449d8-tv4wp_cpu,reviews-v2-6ccf99c555-fqvhb_cpu,details-v1-b788479c5-bbg6t_memory,productpage-v1-7fb564989f-lvdk6_memory,ratings-v1-5b6b66f9b5-mgp5t_memory,ratings-v1-5b6b66f9b5-7bln6_memory,reviews-v1-7b76c4f45d-x9mxc_memory,reviews-v3-5fd56449d8-tv4wp_memory,reviews-v2-6ccf99c555-fqvhb_memory,reviews-v1-7b76c4f45d-x9mxc_network,reviews-v2-6ccf99c555-fqvhb_network,productpage-v1-7fb564989f-lvdk6_network,ratings-v1-5b6b66f9b5-7bln6_network,reviews-v3-5fd56449d8-tv4wp_network,details-v1-b788479c5-bbg6t_network,ratings-v1-5b6b66f9b5-mgp5t_network
2024-03-06 06:15:04,6.0752790666659475,55.216256766660386,-1.0,1.924590866667586,2.569134733333082,2.6290105333335605,5.149793166666919,24.313856,55.84896,-1.0,7.221248,92.106752,381.616128,388.15744,48.534444444444446,155.4177777777778,3336.987777777778,81.60111111111111,84.63999999999999,225.0,-1.0
2024-03-06 06:15:09,6.0752790666659475,55.216256766660386,-1.0,1.924590866667586,2.569134733333082,2.6290105333335605,5.149793166666919,24.313856,55.84896,-1.0,7.221248,92.106752,381.616128,388.15744,48.534444444444446,155.4177777777778,3336.987777777778,81.60111111111111,84.63999999999999,225.0,-1.0
2024-03-06 06:15:14,6.0752790666659475,55.216256766660386,-1.0,1.924590866667586,2.569134733333082,2.6290105333335605,5.149793166666919,24.313856,55.84896,-1.0,7.221248,92.106752,381.616128,388.15744,48.534444444444446,155.4177777777778,3336.987777777778,81.60111111111111,84.63999999999999,225.0,-1.0
2024-03-06 06:15:19,5.553560599992125,23.360164900001717,-1.0,1.1463805333316184,2.569134733333082,2.6290105333335605,4.280007500000238,24.313856,55.76704,-1.0,7.266304,92.106752,381.616128,388.21888,48.534444444444446,234.09000000000003,2669.4444444444457,61.361111111111136,84.63999999999999,196.93444444444455,-1.0
2024-03-06 06:15:24,5.5535605999921245,23.360164900001713,-1.0,1.1463805333316182,1.7372534666662887,7.253714166667654,4.280007500000238,24.313856,55.76704,-1.0,7.266304,91.72992,380.821504,388.21888,33.64,234.09000000000003,2669.4444444444443,61.36111111111111,122.4711111111111,196.93444444444444,-1.0
2024-03-06 06:15:29,5.5535605999921245,23.360164900001713,-1.0,1.1463805333316182,1.7372534666662887,7.253714166667654,4.280007500000238,24.313856,55.76704,-1.0,7.266304,91.72992,380.821504,388.21888,33.64,234.09000000000003,2669.4444444444443,61.36111111111111,122.4711111111111,196.93444444444444,-1.0
2024-03-06 06:15:34,5.5535605999921245,23.360164900001713,-1.0,1.1463805333316182,1.7372534666662887,7.253714166667654,4.280007500000238,24.313856,55.76704,-1.0,7.266304,91.72992,380.821504,388.21888,33.64,234.09000000000003,2669.4444444444443,61.36111111111111,122.4711111111111,196.93444444444444,-1.0
2024-03-06 06:15:39,5.5535605999921245,23.360164900001713,-1.0,1.1463805333316182,1.7372534666662887,7.253714166667654,4.280007500000238,24.313856,55.76704,-1.0,7.266304,91.72992,380.821504,388.21888,33.64,234.09000000000003,2669.4444444444443,61.36111111111111,122.4711111111111,196.93444444444444,-1.0
2024-03-06 06:15:44,5.5535605999921245,23.360164900001713,-1.0,1.1463805333316182,1.7372534666662887,7.253714166667654,4.280007500000238,24.313856,55.76704,-1.0,7.266304,91.72992,380.821504,388.21888,33.64,234.09000000000003,2669.4444444444443,61.36111111111111,122.4711111111111,196.93444444444444,-1.0
2024-03-06 06:15:49,4.637209600014104,62.12455333333463,-1.0,1.3720899333350192,1.7372534666662887,7.253714166667654,4.453318800000261,24.313856,55.76704,-1.0,7.65952,91.72992,380.821504,388.36224,33.64,113.06777777777776,3737.2844444444463,21.160000000000004,122.4711111111111,141.61000000000004,-1.0
2024-03-06 06:15:54,4.637209600014103,62.12455333333462,-1.0,1.372089933335019,1.43126036666672,5.27015600000027,4.453318800000261,24.313856,55.76704,-1.0,7.65952,90.927104,380.289024,388.36224,29.160000000000004,113.06777777777776,3737.2844444444445,21.159999999999997,103.3611111111111,141.61,-1.0
2024-03-06 06:15:59,4.637209600014103,62.12455333333462,-1.0,1.372089933335019,1.43126036666672,5.27015600000027,4.453318800000261,24.313856,55.76704,-1.0,7.65952,90.927104,380.289024,388.36224,29.160000000000004,113.06777777777776,3737.2844444444445,21.159999999999997,103.3611111111111,141.61,-1.0
2024-03-06 06:16:04,4.637209600014103,62.12455333333462,-1.0,1.372089933335019,1.43126036666672,5.27015600000027,4.453318800000261,24.313856,55.76704,-1.0,7.65952,90.927104,380.289024,388.36224,29.160000000000004,113.06777777777776,3737.2844444444445,21.159999999999997,103.3611111111111,141.61,-1.0
2024-03-06 06:16:09,4.637209600014103,62.12455333333462,-1.0,1.372089933335019,1.43126036666672,5.27015600000027,4.453318800000261,24.313856,55.76704,-1.0,7.65952,90.927104,380.289024,388.36224,29.160000000000004,113.06777777777776,3737.2844444444445,21.159999999999997,103.3611111111111,141.61,-1.0
2024-03-06 06:16:14,4.637209600014103,62.12455333333462,-1.0,1.372089933335019,1.43126036666672,5.27015600000027,4.453318800000261,24.313856,55.76704,-1.0,7.65952,90.927104,380.289024,388.36224,29.160000000000004,113.06777777777776,3737.2844444444445,21.159999999999997,103.3611111111111,141.61,-1.0
