timestamp,details-v1-b788479c5-bbg6t_cpu,productpage-v1-7fb564989f-lvdk6_cpu,ratings-v1-5b6b66f9b5-7bln6_cpu,reviews-v1-7b76c4f45d-fwrr4_cpu,reviews-v1-7b76c4f45d-zfc5k_cpu,reviews-v3-5fd56449d8-tv4wp_cpu,reviews-v2-6ccf99c555-fqvhb_cpu,details-v1-b788479c5-bbg6t_memory,productpage-v1-7fb564989f-lvdk6_memory,ratings-v1-5b6b66f9b5-7bln6_memory,reviews-v1-7b76c4f45d-fwrr4_memory,reviews-v1-7b76c4f45d-zfc5k_memory,reviews-v3-5fd56449d8-tv4wp_memory,reviews-v2-6ccf99c555-fqvhb_memory,productpage-v1-7fb564989f-lvdk6_network,reviews-v1-7b76c4f45d-zfc5k_network,reviews-v3-5fd56449d8-tv4wp_network,details-v1-b788479c5-bbg6t_network,reviews-v1-7b76c4f45d-fwrr4_network,ratings-v1-5b6b66f9b5-7bln6_network,reviews-v2-6ccf99c555-fqvhb_network
2024-03-06 14:57:03,6.97099150000516,43.783485300006454,1.4756416333322402,-1.0,10.24638953333336,4.58811070000138,4.122916433334467,24.666112,57.266176,9.35936,-1.0,105.848832,513.921024,468.271104,3445.6900000000005,32.87111111111111,98.01,330.0277777777778,-1.0,25.67111111111111,165.5511111111111
2024-03-06 14:57:08,6.97099150000516,43.783485300006454,1.4756416333322402,-1.0,10.24638953333336,4.58811070000138,4.122916433334467,24.666112,57.266176,9.35936,-1.0,105.848832,513.921024,468.271104,3445.6900000000005,32.87111111111111,98.01,330.0277777777778,-1.0,25.67111111111111,165.5511111111111
2024-03-06 14:57:13,6.97099150000516,43.783485300006454,1.4756416333322402,-1.0,10.24638953333336,4.58811070000138,4.122916433334467,24.666112,57.266176,9.35936,-1.0,105.848832,513.921024,468.271104,3445.6900000000005,32.87111111111111,98.01,330.0277777777778,-1.0,25.67111111111111,165.5511111111111
2024-03-06 14:57:18,4.670604033329559,20.92088823333143,1.5788059000025598,-1.0,10.24638953333336,4.58811070000138,4.499396166666733,24.666112,57.266176,9.8304,-1.0,105.848832,513.921024,468.48,1086.8011111111116,32.87111111111111,98.01,52.321111111111136,-1.0,96.69444444444449,44.001111111111115
2024-03-06 14:57:23,4.670604033329559,20.92088823333143,1.5788059000025598,-1.0,5.771426033333308,5.415502199999385,4.499396166666733,24.666112,57.266176,9.8304,-1.0,105.897984,514.428928,468.48,1086.8011111111116,20.55111111111111,114.48999999999998,52.321111111111136,-1.0,96.69444444444449,44.001111111111115
2024-03-06 14:57:28,4.670604033329558,20.920888233331425,1.5788059000025592,-1.0,5.771426033333308,5.415502199999385,4.499396166666733,24.666112,57.266176,9.8304,-1.0,105.897984,514.428928,468.48,1086.8011111111111,20.55111111111111,114.48999999999998,52.321111111111115,-1.0,96.69444444444446,44.001111111111115
2024-03-06 14:57:33,4.670604033329558,20.920888233331425,1.5788059000025592,-1.0,5.771426033333308,5.415502199999385,4.499396166666733,24.666112,57.266176,9.8304,-1.0,105.897984,514.428928,468.48,1086.8011111111111,20.55111111111111,114.48999999999998,52.321111111111115,-1.0,96.69444444444446,44.001111111111115
2024-03-06 14:57:38,4.670604033329558,20.920888233331425,1.5788059000025592,-1.0,5.771426033333308,5.415502199999385,4.499396166666733,24.666112,57.266176,9.8304,-1.0,105.897984,514.428928,468.48,1086.8011111111111,20.55111111111111,114.48999999999998,52.321111111111115,-1.0,96.69444444444446,44.001111111111115
2024-03-06 14:57:43,4.670604033329558,20.920888233331425,1.5788059000025592,-1.0,5.771426033333308,5.415502199999385,4.499396166666733,24.666112,57.266176,9.8304,-1.0,105.897984,514.428928,468.48,1086.8011111111111,20.55111111111111,114.48999999999998,52.321111111111115,-1.0,96.69444444444446,44.001111111111115
2024-03-06 14:57:48,5.0355065333405955,47.69070393332793,1.2340971666655305,-1.0,5.771426033333308,5.415502199999385,4.614808300001035,24.666112,57.380864,9.990144,-1.0,105.897984,514.428928,468.60288,7861.777777777781,20.55111111111111,114.48999999999998,224.00111111111121,-1.0,102.01000000000003,182.25
