timestamp,details-v1-b788479c5-bbg6t_cpu,productpage-v1-7fb564989f-4fxck_cpu,productpage-v1-7fb564989f-hm9g2_cpu,ratings-v1-5b6b66f9b5-n4ddg_cpu,reviews-v1-7b76c4f45d-x9mxc_cpu,reviews-v3-5fd56449d8-tv4wp_cpu,reviews-v2-6ccf99c555-fqvhb_cpu,details-v1-b788479c5-bbg6t_memory,productpage-v1-7fb564989f-4fxck_memory,productpage-v1-7fb564989f-hm9g2_memory,ratings-v1-5b6b66f9b5-n4ddg_memory,reviews-v1-7b76c4f45d-x9mxc_memory,reviews-v3-5fd56449d8-tv4wp_memory,reviews-v2-6ccf99c555-fqvhb_memory,productpage-v1-7fb564989f-hm9g2_network,productpage-v1-7fb564989f-4fxck_network,reviews-v2-6ccf99c555-fqvhb_network,details-v1-b788479c5-bbg6t_network,reviews-v1-7b76c4f45d-x9mxc_network,ratings-v1-5b6b66f9b5-n4ddg_network,reviews-v3-5fd56449d8-tv4wp_network
2024-03-05 16:30:00,6.180531966659449,-1.0,65.89116146666734,1.1580270333330607,2.458079133333513,5.025615233333269,6.501270966666084,18.1248,-1.0,53.813248,13.561856,85.786624,221.323264,215.461888,6262.084444444446,-1.0,167.2711111111111,104.03999999999999,40.96000000000001,38.02777777777778,132.25
2024-03-05 16:30:05,5.753781900011744,-1.0,37.99734319998908,1.1580270333330607,2.458079133333513,5.025615233333269,6.501270966666084,18.1248,-1.0,53.764096,13.561856,85.786624,221.323264,215.461888,2510.0099999999993,-1.0,167.2711111111111,127.68999999999997,40.96000000000001,38.02777777777778,132.25
2024-03-05 16:30:10,5.753781900011745,-1.0,37.99734319998909,1.1580270333330607,2.458079133333513,5.025615233333269,3.9753115000005814,18.1248,-1.0,53.764096,13.561856,85.786624,221.323264,215.552,2510.01,-1.0,125.43999999999998,127.69000000000001,40.96000000000001,38.02777777777778,132.25
2024-03-05 16:30:15,5.753781900011745,-1.0,37.99734319998909,1.1580270333330607,2.458079133333513,5.025615233333269,3.9753115000005814,18.1248,-1.0,53.764096,13.561856,85.786624,221.323264,215.552,2510.01,-1.0,125.43999999999998,127.69000000000001,40.96000000000001,38.02777777777778,132.25
2024-03-05 16:30:20,5.753781900011745,-1.0,37.99734319998909,1.1580270333330607,2.458079133333513,5.025615233333269,3.9753115000005814,18.1248,-1.0,53.764096,13.561856,85.786624,221.323264,215.552,2510.01,-1.0,125.43999999999998,127.69000000000001,40.96000000000001,38.02777777777778,132.25
2024-03-05 16:30:25,5.753781900011745,-1.0,37.99734319998909,1.1580270333330607,2.458079133333513,5.025615233333269,3.9753115000005814,18.1248,-1.0,53.764096,13.561856,85.786624,221.323264,215.552,2510.01,-1.0,125.43999999999998,127.69000000000001,40.96000000000001,38.02777777777778,132.25
2024-03-05 16:30:30,5.753781900011745,-1.0,37.99734319998909,1.9985378333335766,1.7099412666667035,4.345247266667229,3.9753115000005814,18.1248,-1.0,53.764096,13.017088,85.786624,221.310976,215.552,2510.01,-1.0,125.43999999999998,127.69000000000001,48.534444444444446,71.68444444444445,108.85444444444445
2024-03-05 16:30:35,5.442856333320377,-1.0,48.25420393334146,1.9985378333335766,1.7099412666667035,4.345247266667229,3.9753115000005814,18.128896,-1.0,53.993472,13.017088,85.786624,221.310976,215.552,4431.121111111111,-1.0,125.43999999999998,136.11111111111106,48.534444444444446,71.68444444444445,108.85444444444445
2024-03-05 16:30:40,5.442856333320378,-1.0,48.254203933341465,1.9985378333335766,1.7099412666667035,4.345247266667229,2.4833028666667665,18.128896,-1.0,53.993472,13.017088,85.786624,221.310976,215.617536,4431.121111111111,-1.0,94.08999999999999,136.1111111111111,48.534444444444446,71.68444444444445,108.85444444444445
2024-03-05 16:30:45,5.442856333320378,-1.0,48.254203933341465,1.9985378333335766,1.7099412666667035,4.345247266667229,2.4833028666667665,18.128896,-1.0,53.993472,13.017088,85.786624,221.310976,215.617536,4431.121111111111,-1.0,94.08999999999999,136.1111111111111,48.534444444444446,71.68444444444445,108.85444444444445
2024-03-05 16:30:50,5.442856333320378,-1.0,48.254203933341465,1.9985378333335766,1.7099412666667035,4.345247266667229,2.4833028666667665,18.128896,-1.0,53.993472,13.017088,85.786624,221.310976,215.617536,4431.121111111111,-1.0,94.08999999999999,136.1111111111111,48.534444444444446,71.68444444444445,108.85444444444445
2024-03-05 16:30:55,5.442856333320378,-1.0,48.254203933341465,1.9985378333335766,1.7099412666667035,4.345247266667229,2.4833028666667665,18.128896,-1.0,53.993472,13.017088,85.786624,221.310976,215.617536,4431.121111111111,-1.0,94.08999999999999,136.1111111111111,48.534444444444446,71.68444444444445,108.85444444444445
2024-03-05 16:31:00,5.442856333320378,-1.0,48.254203933341465,2.176362833333201,2.6207701333333944,6.80550086666661,2.4833028666667665,18.128896,-1.0,53.993472,13.705216,85.786624,221.51168,215.617536,4431.121111111111,-1.0,94.08999999999999,136.1111111111111,87.73444444444445,35.20444444444445,172.48444444444442
2024-03-05 16:31:05,7.46075516667588,-1.0,39.62963516666301,2.176362833333201,2.6207701333333944,6.80550086666661,2.4833028666667665,18.141184,-1.0,53.764096,13.705216,85.786624,221.51168,215.617536,3241.4044444444435,-1.0,94.08999999999999,264.6044444444444,87.73444444444445,35.20444444444445,172.48444444444442
2024-03-05 16:31:10,7.460755166675881,-1.0,39.62963516666302,2.176362833333201,2.6207701333333944,6.80550086666661,5.813784700000231,18.141184,-1.0,53.764096,13.705216,85.786624,221.51168,215.744512,3241.404444444444,-1.0,206.40111111111113,264.6044444444444,87.73444444444445,35.20444444444445,172.48444444444442
