,timestamp,currencyservice-588fc9584d-c9hrl&cpu_usage,currencyservice-588fc9584d-c9hrl&mem_usage,currencyservice-588fc9584d-c9hrl&mem_usage_rate,currencyservice-588fc9584d-c9hrl&fs_usage,currencyservice-588fc9584d-c9hrl&net_receive,currencyservice-588fc9584d-c9hrl&net_trainsmit,(node)192.168.31.101:9100_network,(node)192.168.31.101:9100_cpu,(node)192.168.31.101:9100_memory
0,1658458071,0.018391625,138.5507813,3.776338718,0.0,6.674679128,4.64864662,0.0634,0.0435533950572539,0.2174635677758049
1,1658458076,0.01746133,138.5664063,2.86859642,0.0,7.943089469,4.002596284,0.0634,0.0435533950572539,0.2174635677758049
2,1658458081,0.019439578,138.5664063,3.268851965,0.0,6.055113275,4.217716313,0.0634,0.0435533950572539,0.2174635677758049
3,1658458086,0.018819522,138.609375,2.449385262,0.0,6.055113275,4.217716313,0.0632222222222222,0.0426682776739892,0.2174554311440268
4,1658458091,0.020505044,138.8046875,2.943282057,0.0,8.4717827,4.277629103,0.0632222222222222,0.0426682776739892,0.2174554311440268
5,1658458096,0.019270117,138.8320313,2.342882196,0.0,5.881269564,4.096002886,0.0632222222222222,0.0426682776739892,0.2174554311440268
6,1658458101,0.019539929,138.8320313,2.344279074,0.0,5.881269564,4.096002886,0.0635333333333333,0.0444057221550712,0.2170056089931883
7,1658458106,0.01715068,138.5976563,1.867064024,0.0,0.335962102,3.384413361,0.0635333333333333,0.0444057221550712,0.2170056089931883
8,1658458111,0.015664168,138.5976563,0.673305492,0.0,0.33084189,3.52858155,0.0635333333333333,0.0444057221550712,0.2170056089931883
9,1658458116,0.015670477,140.0507813,0.702393687,0.0,0.33084189,3.52858155,0.0608222222222222,0.0443797795770966,0.2169525994443652
10,1658458121,0.015670477,140.0507813,0.702393687,0.0,0.340933891,4.068539564,0.0608222222222222,0.0443797795770966,0.2169525994443652
11,1658458126,0.014183837,140.0742188,1.399611316,0.0,0.340933891,4.068539564,0.0608222222222222,0.0443797795770966,0.2169525994443652
12,1658458131,0.013627365,140.0742188,1.652376975,0.0,0.340933891,4.068539564,0.0615111111111111,0.0650505902191179,0.2170697305092906
13,1658458136,0.014164637,140.3515625,1.452734323,0.0,0.340933891,4.068539564,0.0615111111111111,0.0650505902191179,0.2170697305092906
14,1658458141,0.015253377,140.3515625,1.662720385,0.0,0.327186653,3.874102473,0.0615111111111111,0.0650505902191179,0.2170697305092906
15,1658458146,0.015032688,140.3632813,1.662244826,0.0,0.327186653,3.874102473,0.0605777777777777,0.0633044797930435,0.2171655484566479
16,1658458151,0.014108812,140.3632813,0.977846946,0.0,0.327186653,3.874102473,0.0605777777777777,0.0633044797930435,0.2171655484566479
17,1658458156,0.014483857,140.3867188,0.915317464,0.0,0.331523031,3.955934458,0.0605777777777777,0.0633044797930435,0.2171655484566479
18,1658458161,0.0154345,140.4023438,1.074339676,0.0,0.331523031,3.955934458,0.0626444444444444,0.0626457613309345,0.2171192182324187
19,1658458166,0.015261346,140.4023438,1.074011342,0.0,0.331523031,3.955934458,0.0626444444444444,0.0626457613309345,0.2171192182324187
20,1658458171,0.015073567,140.7070313,0.91617357,0.0,0.315390415,3.638423375,0.0626444444444444,0.0626457613309345,0.2171192182324187
21,1658458176,0.015745593,140.859375,0.014043518,0.0,0.312224102,3.549556571,0.0605333333333333,0.0418681133349363,0.2171382846680779
22,1658458181,0.015745593,140.859375,0.014043518,0.0,0.262655843,3.067975495,0.0605333333333333,0.0418681133349363,0.2171382846680779
23,1658458186,0.015804838,140.6601563,0.52070506,0.0,0.317882656,3.71305732,0.0605333333333333,0.0418681133349363,0.2171382846680779
24,1658458191,0.014633006,140.6601563,0.520201726,0.0,0.330671349,3.818388669,0.0615333333333333,0.0425824948002232,0.2171145427052029
