,timestamp,productcatalogservice-5ff5f57dc8-mpw5r&cpu_usage,productcatalogservice-5ff5f57dc8-mpw5r&mem_usage,productcatalogservice-5ff5f57dc8-mpw5r&mem_usage_rate,productcatalogservice-5ff5f57dc8-mpw5r&fs_usage,productcatalogservice-5ff5f57dc8-mpw5r&net_receive,productcatalogservice-5ff5f57dc8-mpw5r&net_trainsmit,(node)192.168.31.101:9100_network,(node)192.168.31.101:9100_cpu,(node)192.168.31.101:9100_memory
0,1658458071,0.017316139,106.5429688,2.180384993,0.0,0.349012027,3.701789606,0.0634,0.0435533950572539,0.2174635677758049
1,1658458076,0.017221457,106.5429688,3.079012702,0.0,0.350522143,3.75072128,0.0634,0.0435533950572539,0.2174635677758049
2,1658458081,0.016723181,106.5429688,3.078983736,0.0,0.350522143,3.75072128,0.0634,0.0435533950572539,0.2174635677758049
3,1658458086,0.018538626,103.9921875,3.502589505,0.0,0.350522143,3.75072128,0.0632222222222222,0.0426682776739892,0.2174554311440268
4,1658458091,0.020192088,103.9882813,4.085711742,0.0,0.291660918,3.097205702,0.0632222222222222,0.0426682776739892,0.2174554311440268
5,1658458096,0.01954519,103.9921875,3.554857046,0.0,0.340551004,3.462904974,0.0632222222222222,0.0426682776739892,0.2174554311440268
6,1658458101,0.01967875,103.9960938,2.485096962,0.0,0.340551004,3.462904974,0.0635333333333333,0.0444057221550712,0.2170056089931883
7,1658458106,0.01967875,103.9960938,2.485096962,0.0,0.33817208,3.407478166,0.0635333333333333,0.0444057221550712,0.2170056089931883
8,1658458111,0.018165498,104.03125,2.100992156,0.0,0.33817208,3.407478166,0.0635333333333333,0.0444057221550712,0.2170056089931883
9,1658458116,0.017889123,104.0664063,1.339971003,0.0,0.330153099,3.263373683,0.0608222222222222,0.0443797795770966,0.2169525994443652
10,1658458121,0.017664087,104.0664063,1.33990288,0.0,0.321007866,3.034198763,0.0608222222222222,0.0443797795770966,0.2169525994443652
11,1658458126,0.018011413,104.0742188,1.196152904,0.0,0.34610831,3.56324473,0.0608222222222222,0.0443797795770966,0.2169525994443652
12,1658458131,0.017445608,104.0859375,0.002289367,0.0,0.34610831,3.56324473,0.0615111111111111,0.0650505902191179,0.2170697305092906
