,timestamp,currencyservice-588fc9584d-cl9dm&cpu_usage,currencyservice-588fc9584d-cl9dm&mem_usage,currencyservice-588fc9584d-cl9dm&mem_usage_rate,currencyservice-588fc9584d-cl9dm&fs_usage,currencyservice-588fc9584d-cl9dm&net_receive,currencyservice-588fc9584d-cl9dm&net_trainsmit,(node)192.168.31.101:9100_network,(node)192.168.31.101:9100_cpu,(node)192.168.31.101:9100_memory
0,1658458071,0.018517127,141.546875,2.598188186,0.0,0.34291411,3.060643188,0.0634,0.0435533950572539,0.2174635677758049
1,1658458076,0.016545178,141.5742188,2.9873506,0.0,0.338096304,3.447998052,0.0634,0.0435533950572539,0.2174635677758049
2,1658458081,0.016241045,141.5234375,3.650142971,0.0,0.338096304,3.447998052,0.0634,0.0435533950572539,0.2174635677758049
3,1658458086,0.016859099,141.5234375,3.753358597,0.0,0.293703541,2.982445001,0.0632222222222222,0.0426682776739892,0.2174554311440268
4,1658458091,0.014501583,141.5429688,3.331702593,0.0,0.271696405,2.758971115,0.0632222222222222,0.0426682776739892,0.2174554311440268
5,1658458096,0.015063201,141.59375,2.571736035,0.0,0.348871339,3.333768306,0.0632222222222222,0.0426682776739892,0.2174554311440268
6,1658458101,0.016843267,141.65625,2.574797222,0.0,0.344808961,2.895097246,0.0635333333333333,0.0444057221550712,0.2170056089931883
7,1658458106,0.017098737,141.65625,1.795217718,0.0,0.344808961,2.895097246,0.0635333333333333,0.0444057221550712,0.2170056089931883
8,1658458111,0.016661113,141.9375,1.623124932,0.0,0.339559375,3.119913755,0.0635333333333333,0.0444057221550712,0.2170056089931883
9,1658458116,0.019898857,141.4414063,2.495341213,0.0,0.342277172,3.738700563,0.0608222222222222,0.0443797795770966,0.2169525994443652
10,1658458121,0.019946553,141.4414063,3.041210924,0.0,0.342277172,3.738700563,0.0608222222222222,0.0443797795770966,0.2169525994443652
11,1658458126,0.018874581,141.4140625,3.705408583,0.0,0.344551708,3.545295773,0.0608222222222222,0.0443797795770966,0.2169525994443652
12,1658458131,0.02103953,140.5898438,4.509485268,0.0,0.344551708,3.545295773,0.0615111111111111,0.0650505902191179,0.2170697305092906
13,1658458136,0.021159281,140.5898438,4.732732968,0.0,0.329774062,3.78429931,0.0615111111111111,0.0650505902191179,0.2170697305092906
14,1658458141,0.020818779,140.6289063,4.920587858,0.0,0.336556813,4.47742282,0.0615111111111111,0.0650505902191179,0.2170697305092906
15,1658458146,0.020424897,140.6289063,4.417770732,0.0,0.336556813,4.47742282,0.0605777777777777,0.0633044797930435,0.2171655484566479
16,1658458151,0.019196539,140.6445313,4.045957801,0.0,0.336556813,4.47742282,0.0605777777777777,0.0633044797930435,0.2171655484566479
17,1658458156,0.01642879,140.6445313,3.201645623,0.0,0.341747294,4.846513306,0.0605777777777777,0.0633044797930435,0.2171655484566479
18,1658458161,0.018192526,140.6640625,3.55239258,0.0,0.353014012,4.675587396,0.0626444444444444,0.0626457613309345,0.2171192182324187
19,1658458166,0.018777177,140.6875,2.755239127,0.0,0.353014012,4.675587396,0.0626444444444444,0.0626457613309345,0.2171192182324187
20,1658458171,0.018026356,140.6875,1.386603374,0.0,0.361400727,5.033840928,0.0626444444444444,0.0626457613309345,0.2171192182324187
21,1658458176,0.018662274,140.71875,0.002973521,0.0,0.348033984,4.350230982,0.0605333333333333,0.0418681133349363,0.2171382846680779
22,1658458181,0.017299787,140.71875,0.002770488,0.0,0.348033984,4.350230982,0.0605333333333333,0.0418681133349363,0.2171382846680779
23,1658458186,0.018698466,140.7617188,0.003257764,0.0,0.347849675,3.687515677,0.0605333333333333,0.0418681133349363,0.2171382846680779
24,1658458191,0.018473517,140.7617188,0.003297406,0.0,0.347849675,3.687515677,0.0615333333333333,0.0425824948002232,0.2171145427052029
25,1658458196,0.018494611,140.8515625,0.004455589,0.0,0.341496325,3.479433423,0.0615333333333333,0.0425824948002232,0.2171145427052029
26,1658458201,0.018260724,140.8515625,0.005352322,0.0,0.326825733,3.105205023,0.0615333333333333,0.0425824948002232,0.2171145427052029
27,1658458206,0.02018677,140.1484375,2.238585712,0.0,0.326825733,3.105205023,0.0605777777777777,0.0416865776527736,0.2171400455809254
28,1658458211,0.020719068,140.09375,3.473864428,0.0,0.326825733,3.105205023,0.0605777777777777,0.0416865776527736,0.2171400455809254
29,1658458216,0.020398879,139.1367188,4.475594058,0.0,0.263680277,2.505253536,0.0605777777777777,0.0416865776527736,0.2171400455809254
30,1658458221,0.018775848,139.1367188,4.532156737,0.0,0.23874904,2.239688072,0.0623111111111111,0.0442992623814175,0.2173660496367327
31,1658458226,0.018926562,138.203125,6.472775937,0.0,0.341127139,3.723105411,0.0623111111111111,0.0442992623814175,0.2173660496367327
32,1658458231,0.020392791,138.2148438,5.289997726,0.0,0.341127139,3.723105411,0.0623111111111111,0.0442992623814175,0.2173660496367327
33,1658458236,0.020548475,138.2265625,5.737034335,0.0,0.354565882,4.540013983,0.0816222222222222,0.0521007694147802,0.2173592488698734
34,1658458241,0.020166198,138.2265625,5.366644855,0.0,0.354565882,4.540013983,0.0816222222222222,0.0521007694147802,0.2173592488698734
35,1658458246,0.017074527,138.2539063,2.534254133,0.0,0.354565882,4.540013983,0.0816222222222222,0.0521007694147802,0.2173592488698734
36,1658458251,0.017819734,138.2539063,2.588854458,0.0,0.354565882,4.540013983,0.0900444444444444,0.0559470064554303,0.2174169339459124
37,1658458256,0.018905515,138.3242188,2.165132127,0.0,0.272074098,2.754365831,0.0900444444444444,0.0559470064554303,0.2174169339459124
38,1658458261,0.017472949,138.3242188,1.913834542,0.0,0.305565912,3.093423124,0.0900444444444444,0.0559470064554303,0.2174169339459124
39,1658458266,0.018259456,138.3984375,0.540483545,0.0,0.321656085,3.660830129,0.0938888888888888,0.0552953257090876,0.2176513175180285
40,1658458271,0.018443542,138.4257813,0.004570696,0.0,0.386230628,4.395765487,0.0938888888888888,0.0552953257090876,0.2176513175180285
41,1658458276,0.018730862,138.4257813,0.005075372,0.0,0.386230628,4.395765487,0.0938888888888888,0.0552953257090876,0.2176513175180285
42,1658458281,0.018433225,138.4375,0.004567894,0.0,0.38055637,4.348371239,0.0782666666666666,0.0480681386946617,0.2184978308286169
43,1658458286,0.018508728,138.4375,0.005045318,0.0,0.383055861,4.058350658,0.0782666666666666,0.0480681386946617,0.2184978308286169
44,1658458291,0.018491493,138.4609375,0.004980074,0.0,0.383055861,4.058350658,0.0782666666666666,0.0480681386946617,0.2184978308286169
45,1658458296,0.018128439,138.4882813,0.00373378,0.0,0.291522666,3.651130786,0.0796444444444444,0.0459723237892599,0.2194639647705703
46,1658458301,0.019031914,138.4882813,0.00373378,0.0,0.344768299,4.317997526,0.0796444444444444,0.0459723237892599,0.2194639647705703
47,1658458306,0.01726213,138.5195313,0.002346062,0.0,0.344768299,4.317997526,0.0796444444444444,0.0459723237892599,0.2194639647705703
48,1658458311,0.018825997,138.5195313,0.0025541,0.0,0.346922656,4.192075337,0.0975777777777777,0.0495119138044497,0.2209830253466402
49,1658458316,0.018887296,138.5195313,0.002457097,0.0,0.347752708,3.926702148,0.0975777777777777,0.0495119138044497,0.2209830253466402
50,1658458321,0.017717368,138.1015625,0.83897497,0.0,0.347752708,3.926702148,0.0975777777777777,0.0495119138044497,0.2209830253466402
51,1658458326,0.020587853,138.9960938,1.155657965,0.0,0.331440595,3.545237023,0.1092666666666666,0.0496786080989622,0.2222567725467129
52,1658458331,0.020540121,138.9960938,1.155673003,0.0,0.331440595,3.545237023,0.1092666666666666,0.0496786080989622,0.2222567725467129
53,1658458336,0.019996399,251.015625,2.008535777,0.0,0.331440595,3.545237023,0.1092666666666666,0.0496786080989622,0.2222567725467129
54,1658458341,0.020261218,251.015625,2.944261449,0.0,0.332761271,3.454527659,0.1136666666666666,0.0521944432733104,0.2227042872945098
55,1658458346,0.020176616,275.640625,2.944309313,0.0,0.335524465,3.41490486,0.1136666666666666,0.0521944432733104,0.2227042872945098
56,1658458351,0.022119116,275.9140625,2.67571564,0.0,0.335524465,3.41490486,0.1136666666666666,0.0521944432733104,0.2227042872945098
57,1658458356,0.03592655,278.2265625,2.786048848,0.0,12.3269847,11.2218967,0.2371333333333333,0.0582634865275375,0.223251141815359
58,1658458361,0.038658585,278.2265625,1.644765557,0.0,15.51182016,13.34271017,0.2371333333333333,0.0582634865275375,0.223251141815359
59,1658458366,0.078958981,280.3125,3.070297363,0.0,18.62155882,14.72453964,0.2371333333333333,0.0582634865275375,0.223251141815359
60,1658458371,0.089550872,280.5078125,2.743524872,0.0,18.70234407,17.08881833,0.4426,0.0731026707066075,0.2235458821933517
61,1658458376,0.192260694,285.4453125,2.430567085,0.0,21.3396356,18.94787058,0.4426,0.0731026707066075,0.2235458821933517
62,1658458381,0.193697569,285.4453125,2.001081626,0.0,23.97692714,20.80692283,0.4426,0.0731026707066075,0.2235458821933517
63,1658458386,0.211918863,286.2148438,0.781624507,0.0,21.91201172,17.5684082,0.6329333333333332,0.088572720336725,0.224387962861255
64,1658458391,0.233662336,288.484375,0.915086681,0.0,29.58465503,25.00153723,0.6329333333333332,0.088572720336725,0.224387962861255
65,1658458396,0.271822925,290.5859375,1.836336488,0.041469426,29.58465503,25.00153723,0.6329333333333332,0.088572720336725,0.224387962861255
66,1658458401,0.277102414,290.671875,1.926589663,0.045824956,29.58465503,25.00153723,0.7024222222222221,0.0945410832979494,0.2244484411093969
67,1658458406,0.299819556,290.671875,2.375773306,0.051919753,21.78739693,20.53424483,0.7024222222222221,0.0945410832979494,0.2244484411093969
68,1658458411,0.241008993,290.7734375,3.180391513,0.041716008,25.55012637,23.83146073,0.7024222222222221,0.0945410832979494,0.2244484411093969
69,1658458416,0.25231938,290.7734375,3.564023885,0.046304834,24.89677953,22.98402942,0.6864444444444444,0.0947280665812152,0.2244788016757332
70,1658458421,0.264203806,290.7734375,3.761162885,0.049020077,24.89677953,22.98402942,0.6864444444444444,0.0947280665812152,0.2244788016757332
71,1658458426,0.222636751,290.7734375,3.705139094,0.047601997,25.13373649,23.07800319,0.6864444444444444,0.0947280665812152,0.2244788016757332
72,1658458431,0.279952275,290.1796875,5.024476654,0.043526173,24.86976466,22.66616009,0.6770888888888889,0.0909617285694215,0.2245739516906311
73,1658458436,0.275431061,290.1796875,5.787830865,0.047728935,24.86976466,22.66616009,0.6770888888888889,0.0909617285694215,0.2245739516906311
74,1658458441,0.275431061,290.1796875,5.787830865,0.050148592,24.8647907,26.26493176,0.6770888888888889,0.0909617285694215,0.2245739516906311
75,1658458446,0.245465057,290.2773438,4.998295375,0.0,24.8647907,26.26493176,0.6563111111111111,0.0883083874611606,0.2245850029367775
76,1658458451,0.265634857,290.296875,5.080489927,0.0,25.23961571,28.51426964,0.6563111111111111,0.0883083874611606,0.2245850029367775
77,1658458456,0.267058458,290.296875,5.924037714,0.0,25.23961571,28.51426964,0.6563111111111111,0.0883083874611606,0.2245850029367775
78,1658458461,0.26910814,291.1601563,3.45976928,0.030415998,24.75951564,26.03173069,0.652511111111111,0.0857509917690383,0.2246108701392961
79,1658458466,0.270367685,291.2734375,3.45850633,0.06035686,24.75951564,26.03173069,0.652511111111111,0.0857509917690383,0.2246108701392961
80,1658458471,0.244405424,291.2734375,1.521524581,0.093285008,24.34841709,27.35639679,0.652511111111111,0.0857509917690383,0.2246108701392961
81,1658458476,0.259039933,292.09375,1.298048376,0.085436805,24.35786207,27.79409647,0.6678888888888888,0.0852247849607782,0.2245301717539742
82,1658458481,0.273406422,293.0585938,0.982192711,0.060736294,24.35786207,27.79409647,0.6678888888888888,0.0852247849607782,0.2245301717539742
83,1658458486,0.273406422,293.0585938,0.982192711,0.060736294,24.07677507,24.351803,0.6678888888888888,0.0852247849607782,0.2245301717539742
84,1658458491,0.260409736,293.15625,0.07092056,0.089417498,19.09388583,19.31199444,0.6696666666666666,0.0861511070919764,0.2246810030475329
85,1658458496,0.279732677,293.1679688,1.016451035,0.064610076,24.58685639,22.72222219,0.6696666666666666,0.0861511070919764,0.2246810030475329
86,1658458501,0.279732677,293.1679688,1.016451035,0.064610076,20.54477637,19.2182989,0.6696666666666666,0.0861511070919764,0.2246810030475329
87,1658458506,0.26265217,293.1953125,1.716236151,0.0,24.41334466,24.53019978,0.6498666666666667,0.086782470931248,0.2247907868554049
88,1658458511,0.271093337,293.1953125,1.82014363,0.0,24.41334466,24.53019978,0.6498666666666667,0.086782470931248,0.2247907868554049
89,1658458516,0.271093337,293.1953125,1.82014363,0.0,24.41334466,24.53019978,0.6498666666666667,0.086782470931248,0.2247907868554049
90,1658458521,0.200902776,293.1953125,1.788112871,0.0,24.42095082,23.018719,0.6697555555555554,0.0886378756350969,0.2247914547878643
91,1658458526,0.214821831,291.8945313,2.98376999,0.035097695,25.13575044,23.30321327,0.6697555555555554,0.0886378756350969,0.2247914547878643
92,1658458531,0.273175009,291.3242188,4.163200602,0.069526604,25.13575044,23.30321327,0.6697555555555554,0.0886378756350969,0.2247914547878643
93,1658458536,0.272670897,291.328125,4.213390657,0.061837323,20.44749797,20.80181716,0.6856,0.09045908409473,0.2247224755811483
94,1658458541,0.274564609,291.1132813,4.752777201,0.083535173,20.56937324,20.92580431,0.6856,0.09045908409473,0.2247224755811483
95,1658458546,0.264012801,291.1367188,4.370656562,0.06726813,18.48246795,18.80273663,0.6856,0.09045908409473,0.2247224755811483
96,1658458551,0.262893543,291.1367188,5.366089488,0.063334259,16.39556267,16.67966894,0.7016444444444444,0.0915194346290443,0.224619978309197
97,1658458556,0.266144216,291.1367188,4.980483016,0.087327995,27.28895161,25.22963445,0.7016444444444444,0.0915194346290443,0.224619978309197
98,1658458561,0.283072936,291.03125,6.116454698,0.059320644,27.28895161,25.22963445,0.7016444444444444,0.0915194346290443,0.224619978309197
99,1658458566,0.197519452,291.03125,5.241931044,0.0,27.7684817,26.05900376,0.6833777777777778,0.0893175074183569,0.224685071363422
100,1658458571,0.2295855,291.03125,5.452581064,0.0,27.63806416,25.41660181,0.6833777777777778,0.0893175074183569,0.224685071363422
101,1658458576,0.283842862,292.7226563,3.584336244,0.032290319,27.63806416,25.41660181,0.6833777777777778,0.0893175074183569,0.224685071363422
102,1658458581,0.283842862,292.7226563,3.584336244,0.032290319,27.63806416,25.41660181,0.6839555555555555,0.0880968202574713,0.2247266653393027
103,1658458586,0.285429153,292.796875,3.476593465,0.042096091,18.84689118,16.69460568,0.6839555555555555,0.0880968202574713,0.2247266653393027
104,1658458591,0.292428362,293.1992188,0.882433154,0.089627332,21.3091662,18.74953465,0.6839555555555555,0.0880968202574713,0.2247266653393027
105,1658458596,0.292860689,293.1992188,1.092614248,0.097332286,27.55124519,24.24182258,0.7003555555555555,0.0895851284731849,0.2244406080832822
