,timestamp,frontend-875b86bb8-wvlvq&cpu_usage,frontend-875b86bb8-wvlvq&cpu_limit,frontend-875b86bb8-wvlvq&mem_usage,frontend-875b86bb8-wvlvq&mem_usage_rate,frontend-875b86bb8-wvlvq&mem_limit,frontend-875b86bb8-wvlvq&fs_usage,frontend-875b86bb8-wvlvq&net_receive,frontend-875b86bb8-wvlvq&net_trainsmit,(node)192.168.31.101:9100_network,(node)192.168.31.101:9100_cpu,(node)192.168.31.101:9100_memory
0,1658458071,0.009154638,0.5,115.0546875,0.005329616,2560.0,0.0,0.349068793,3.948717819,0.0634,0.0435533950572539,0.2174635677758049
1,1658458076,0.009161014,0.5,115.1796875,0.005175994,2560.0,0.000160625,0.294677596,2.494142328,0.0634,0.0435533950572539,0.2174635677758049
2,1658458081,0.009161014,0.5,115.1796875,0.005175994,2560.0,0.000160625,0.44593132,3.877086322,0.0634,0.0435533950572539,0.2174635677758049
3,1658458086,0.008715894,0.5,114.8164063,0.90586015,2560.0,0.000195312,0.44593132,3.877086322,0.0632222222222222,0.0426682776739892,0.2174554311440268
4,1658458091,0.008344878,0.5,114.8164063,0.905815591,2560.0,0.000195312,0.440221707,3.88053799,0.0632222222222222,0.0426682776739892,0.2174554311440268
5,1658458096,0.010507739,0.5,114.3945313,2.24726088,2560.0,0.000175716,0.445528132,3.9134861,0.0632222222222222,0.0426682776739892,0.2174554311440268
6,1658458101,0.01112272,0.5,114.3945313,3.002163172,2560.0,0.000175716,0.445528132,3.9134861,0.0635333333333333,0.0444057221550712,0.2170056089931883
7,1658458106,0.010041123,0.5,114.3945313,2.740494026,2560.0,0.000175716,0.445528132,3.9134861,0.0635333333333333,0.0444057221550712,0.2170056089931883
8,1658458111,0.010321113,0.5,114.96875,2.120643797,2560.0,0.000233725,0.235221354,2.051757813,0.0635333333333333,0.0444057221550712,0.2170056089931883
9,1658458116,0.010844575,0.5,114.96875,2.603731377,2560.0,0.000150255,0.235221354,2.051757813,0.0608222222222222,0.0443797795770966,0.2169525994443652
10,1658458121,0.010832953,0.5,114.96875,2.667980609,2560.0,0.0,0.235221354,2.051757813,0.0608222222222222,0.0443797795770966,0.2169525994443652
11,1658458126,0.010490428,0.5,115.0,2.139422501,2560.0,0.0,0.459377012,4.026066166,0.0608222222222222,0.0443797795770966,0.2169525994443652
12,1658458131,0.008005124,0.5,115.0,0.326709608,2560.0,0.0,0.459377012,4.026066166,0.0615111111111111,0.0650505902191179,0.2170697305092906
13,1658458136,0.009004929,0.5,115.0,0.017735993,2560.0,0.000204628,0.459377012,4.026066166,0.0615111111111111,0.0650505902191179,0.2170697305092906
14,1658458141,0.008153014,0.5,115.0,0.016001594,2560.0,0.000204628,0.460900692,4.049072909,0.0615111111111111,0.0650505902191179,0.2170697305092906
15,1658458146,0.006479246,0.5,115.125,0.009649978,2560.0,0.000204628,0.437925011,3.80815657,0.0605777777777777,0.0633044797930435,0.2171655484566479
16,1658458151,0.006454869,0.5,115.1289063,0.009323384,2560.0,0.000146376,0.437925011,3.80815657,0.0605777777777777,0.0633044797930435,0.2171655484566479
17,1658458156,0.008967209,0.5,115.1328125,0.004787014,2560.0,0.000224471,0.272382556,2.321646031,0.0605777777777777,0.0633044797930435,0.2171655484566479
18,1658458161,0.008967209,0.5,115.1328125,0.004787014,2560.0,0.000224471,0.305669356,2.605365254,0.0626444444444444,0.0626457613309345,0.2171192182324187
19,1658458166,0.007982231,0.5,115.1328125,0.003788317,2560.0,0.000224471,0.410920911,3.295843356,0.0626444444444444,0.0626457613309345,0.2171192182324187
20,1658458171,0.010685635,0.5,114.3828125,2.237850408,2560.0,0.000133902,0.410920911,3.295843356,0.0626444444444444,0.0626457613309345,0.2171192182324187
21,1658458176,0.010718204,0.5,114.3828125,2.237918197,2560.0,0.0,0.410920911,3.295843356,0.0605333333333333,0.0418681133349363,0.2171382846680779
22,1658458181,0.0102993,0.5,114.546875,1.812008166,2560.0,0.0,0.417459534,3.566414906,0.0605333333333333,0.0418681133349363,0.2171382846680779
23,1658458186,0.009265001,0.5,114.546875,2.739665271,2560.0,0.0,0.427126821,3.653218128,0.0605333333333333,0.0418681133349363,0.2171382846680779
24,1658458191,0.008996061,0.5,114.546875,2.623493768,2560.0,0.0,0.427126821,3.653218128,0.0615333333333333,0.0425824948002232,0.2171145427052029
25,1658458196,0.009920927,0.5,114.4765625,3.571021317,2560.0,0.000165652,0.345150506,2.952074239,0.0615333333333333,0.0425824948002232,0.2171145427052029
26,1658458201,0.009977458,0.5,114.5546875,3.429808864,2560.0,0.000165652,0.444469099,4.304078132,0.0615333333333333,0.0425824948002232,0.2171145427052029
27,1658458206,0.008839127,0.5,114.5546875,3.022750827,2560.0,0.000165652,0.456556539,4.889215411,0.0605777777777777,0.0416865776527736,0.2171400455809254
28,1658458211,0.008741779,0.5,114.6757813,2.112501769,2560.0,0.000161927,0.456556539,4.889215411,0.0605777777777777,0.0416865776527736,0.2171400455809254
29,1658458216,0.008104135,0.5,114.6757813,1.379289638,2560.0,0.000179216,0.46492783,4.785734782,0.0605777777777777,0.0416865776527736,0.2171400455809254
30,1658458221,0.008746704,0.5,114.875,1.382545186,2560.0,0.000207465,0.46492783,4.785734782,0.0623111111111111,0.0442992623814175,0.2173660496367327
31,1658458226,0.008053706,0.5,114.875,1.162803685,2560.0,0.00014957,0.459196821,3.852610352,0.0623111111111111,0.0442992623814175,0.2173660496367327
32,1658458231,0.00896387,0.5,115.0078125,1.137005593,2560.0,0.000193955,0.459196821,3.852610352,0.0623111111111111,0.0442992623814175,0.2173660496367327
33,1658458236,0.009012356,0.5,115.015625,1.134734239,2560.0,0.000193955,0.459196821,3.852610352,0.0816222222222222,0.0521007694147802,0.2173592488698734
34,1658458241,0.008893392,0.5,115.015625,0.011147432,2560.0,0.00013384,0.283520508,1.623632813,0.0816222222222222,0.0521007694147802,0.2173592488698734
35,1658458246,0.008876697,0.5,115.015625,0.011147432,2560.0,0.0,0.466142123,4.344584192,0.0816222222222222,0.0521007694147802,0.2173592488698734
36,1658458251,0.008876602,0.5,115.078125,0.010817616,2560.0,0.0,0.466142123,4.344584192,0.0900444444444444,0.0559470064554303,0.2174169339459124
37,1658458256,0.008971003,0.5,115.1445313,0.00997455,2560.0,0.000164228,0.450540819,3.575031337,0.0900444444444444,0.0559470064554303,0.2174169339459124
38,1658458261,0.009024758,0.5,115.1445313,0.006838138,2560.0,0.000164228,0.437683765,3.254529561,0.0900444444444444,0.0559470064554303,0.2174169339459124
39,1658458266,0.010012294,0.5,116.4765625,0.032140004,2560.0,0.000164228,0.437683765,3.254529561,0.0938888888888888,0.0552953257090876,0.2176513175180285
40,1658458271,0.009093476,0.5,116.4765625,0.033109309,2560.0,0.000170661,0.437109774,3.346945084,0.0938888888888888,0.0552953257090876,0.2176513175180285
41,1658458276,0.008864054,0.5,116.4765625,0.03214297,2560.0,0.000170661,0.445539301,4.128911278,0.0938888888888888,0.0552953257090876,0.2176513175180285
42,1658458281,0.009472645,0.5,117.1367188,0.0479158,2560.0,0.000170661,0.445539301,4.128911278,0.0782666666666666,0.0480681386946617,0.2184978308286169
43,1658458286,0.010029715,0.5,117.4296875,0.047607012,2560.0,0.000173696,0.367467482,2.598630889,0.0782666666666666,0.0480681386946617,0.2184978308286169
44,1658458291,0.010269686,0.5,117.4296875,0.054617383,2560.0,0.000173696,0.430624554,3.04526066,0.0782666666666666,0.0480681386946617,0.2184978308286169
45,1658458296,0.010458484,0.5,117.4296875,0.061197147,2560.0,0.000173696,0.430624554,3.04526066,0.0796444444444444,0.0459723237892599,0.2194639647705703
46,1658458301,0.010126253,0.5,117.40625,1.324625207,2560.0,0.0,0.440652818,3.359806854,0.0796444444444444,0.0459723237892599,0.2194639647705703
47,1658458306,0.010057348,0.5,117.40625,1.324625207,2560.0,0.0,0.453103596,4.034246575,0.0796444444444444,0.0459723237892599,0.2194639647705703
48,1658458311,0.009402773,0.5,117.40625,1.063230266,2560.0,0.0,0.453103596,4.034246575,0.0975777777777777,0.0495119138044497,0.2209830253466402
49,1658458316,0.00905512,0.5,117.40625,1.268119945,2560.0,0.0,0.374630228,3.49699588,0.0975777777777777,0.0495119138044497,0.2209830253466402
50,1658458321,0.008979246,0.5,117.40625,1.268119945,2560.0,0.000224394,0.448545604,4.767410551,0.0975777777777777,0.0495119138044497,0.2209830253466402
51,1658458326,0.008185572,0.5,117.40625,1.420697945,2560.0,0.000224394,0.448545604,4.767410551,0.1092666666666666,0.0496786080989622,0.2222567725467129
52,1658458331,0.008782777,0.5,117.40625,1.421657516,2560.0,0.000335473,0.445066178,4.907662161,0.1092666666666666,0.0496786080989622,0.2222567725467129
53,1658458336,0.008937338,0.5,117.4257813,1.41989603,2560.0,0.000335473,0.445066178,4.907662161,0.1092666666666666,0.0496786080989622,0.2222567725467129
54,1658458341,0.008211806,0.5,117.4453125,0.0041596,2560.0,0.000217336,0.451693935,4.405137421,0.1136666666666666,0.0521944432733104,0.2227042872945098
55,1658458346,0.009101386,0.5,117.4453125,0.000996642,2560.0,0.000310274,0.445436584,4.454246526,0.1136666666666666,0.0521944432733104,0.2227042872945098
56,1658458351,0.010788194,0.5,115.828125,0.859267681,2560.0,0.000310274,0.445436584,4.454246526,0.1136666666666666,0.0521944432733104,0.2227042872945098
57,1658458356,0.079927615,0.5,127.5664063,1.066757878,2560.0,0.000310274,17.15431633,47.56226375,0.2371333333333333,0.0582634865275375,0.223251141815359
58,1658458361,0.133611171,0.5,133.2265625,1.676700181,2560.0,0.000207658,27.96175533,74.8596288,0.2371333333333333,0.0582634865275375,0.223251141815359
59,1658458366,0.254340036,0.5,144.4570313,1.540242439,2560.0,0.0,27.96175533,74.8596288,0.2371333333333333,0.0582634865275375,0.223251141815359
60,1658458371,0.291834984,0.5,144.4570313,1.639582209,2560.0,0.0,27.96175533,74.8596288,0.4426,0.0731026707066075,0.2235458821933517
61,1658458376,0.540666447,0.5,147.71875,2.624212692,2560.0,0.06243066,51.44449539,197.435819,0.4426,0.0731026707066075,0.2235458821933517
62,1658458381,0.600461758,0.5,147.71875,3.255169264,2560.0,0.072481594,74.49700975,294.8350707,0.4426,0.0731026707066075,0.2235458821933517
63,1658458386,0.769952615,0.5,146.8046875,3.9277981,2560.0,0.068164393,80.40594656,331.7656738,0.6329333333333332,0.088572720336725,0.224387962861255
64,1658458391,0.816183656,0.5,146.7421875,5.272607813,2560.0,0.074148381,80.40594656,331.7656738,0.6329333333333332,0.088572720336725,0.224387962861255
65,1658458396,0.927875638,0.5,147.0429688,5.247311499,2560.0,0.074067737,80.40594656,331.7656738,0.6329333333333332,0.088572720336725,0.224387962861255
66,1658458401,1.022065483,0.5,149.3125,4.729481093,2560.0,0.066258807,91.84666472,426.4014433,0.7024222222222221,0.0945410832979494,0.2244484411093969
67,1658458406,1.038003723,0.5,149.3125,4.729481093,2560.0,0.072394605,71.10615704,330.1128907,0.7024222222222221,0.0945410832979494,0.2244484411093969
