,timestamp,shippingservice-589dc45c5d-sfzzg&cpu_usage,shippingservice-589dc45c5d-sfzzg&mem_usage,shippingservice-589dc45c5d-sfzzg&mem_usage_rate,shippingservice-589dc45c5d-sfzzg&fs_usage,shippingservice-589dc45c5d-sfzzg&net_receive,(node)192.168.31.101:9100_network,(node)192.168.31.101:9100_cpu,(node)192.168.31.101:9100_memory
0,1658458071,0.01791472,128.6484375,2.370930651,0.0,0.355374511,0.0634,0.0435533950572539,0.2174635677758049
1,1658458076,0.015221135,128.6484375,3.655786523,0.0,0.285974312,0.0634,0.0435533950572539,0.2174635677758049
2,1658458081,0.014702981,128.6484375,4.013001079,0.0,0.256359769,0.0634,0.0435533950572539,0.2174635677758049
3,1658458086,0.015790985,128.5976563,4.609764702,0.0,0.323346655,0.0632222222222222,0.0426682776739892,0.2174554311440268
4,1658458091,0.017487882,128.3515625,5.586673001,0.0,0.323346655,0.0632222222222222,0.0426682776739892,0.2174554311440268
5,1658458096,0.017733481,128.3515625,5.586698735,0.0,0.323346655,0.0632222222222222,0.0426682776739892,0.2174554311440268
6,1658458101,0.018194781,128.3476563,4.622508718,0.0,0.324084248,0.0635333333333333,0.0444057221550712,0.2170056089931883
7,1658458106,0.018194781,128.3476563,4.622508718,0.0,0.324084248,0.0635333333333333,0.0444057221550712,0.2170056089931883
8,1658458111,0.017591759,128.375,3.464505697,0.0,0.324084248,0.0635333333333333,0.0444057221550712,0.2170056089931883
9,1658458116,0.017555111,128.375,2.910748439,0.0,0.220704714,0.0608222222222222,0.0443797795770966,0.2169525994443652
10,1658458121,0.016521091,128.375,2.064131345,0.0,0.249760482,0.0608222222222222,0.0443797795770966,0.2169525994443652
11,1658458126,0.017367961,128.375,1.663795808,0.0,0.27151488,0.0608222222222222,0.0443797795770966,0.2169525994443652
12,1658458131,0.018140042,128.3476563,0.673623359,0.0,0.344541384,0.0615111111111111,0.0650505902191179,0.2170697305092906
13,1658458136,0.018264045,128.3476563,0.942904727,0.0,0.344541384,0.0615111111111111,0.0650505902191179,0.2170697305092906
14,1658458141,0.018100431,128.3476563,0.749590471,0.0,0.296786991,0.0615111111111111,0.0650505902191179,0.2170697305092906
15,1658458146,0.018491672,128.3476563,0.749590471,0.0,0.358169118,0.0605777777777777,0.0633044797930435,0.2171655484566479
16,1658458151,0.018218744,128.3476563,0.469184017,0.0,0.358169118,0.0605777777777777,0.0633044797930435,0.2171655484566479
17,1658458156,0.018380303,128.3476563,0.332232249,0.0,0.358169118,0.0605777777777777,0.0633044797930435,0.2171655484566479
18,1658458161,0.017501447,128.3476563,0.423271902,0.0,0.348685437,0.0626444444444444,0.0626457613309345,0.2171192182324187
19,1658458166,0.016158271,128.390625,0.345264119,0.0,0.344373884,0.0626444444444444,0.0626457613309345,0.2171192182324187
20,1658458171,0.017309961,128.4609375,0.002412506,0.0,0.344373884,0.0626444444444444,0.0626457613309345,0.2171192182324187
21,1658458176,0.01840647,128.53125,0.004117331,0.0,0.347582149,0.0605333333333333,0.0418681133349363,0.2171382846680779
