,timestamp,shippingservice-589dc45c5d-h7pnk&cpu_usage,shippingservice-589dc45c5d-h7pnk&mem_usage,shippingservice-589dc45c5d-h7pnk&mem_usage_rate,shippingservice-589dc45c5d-h7pnk&fs_usage,shippingservice-589dc45c5d-h7pnk&net_receive,(node)192.168.31.101:9100_network,(node)192.168.31.101:9100_cpu,(node)192.168.31.101:9100_memory
0,1658458071,0.022349039,124.4375,4.068837381,0.0,0.35652805,0.0634,0.0435533950572539,0.2174635677758049
1,1658458076,0.023320098,124.4414063,2.716513462,0.0,0.355922752,0.0634,0.0435533950572539,0.2174635677758049
2,1658458081,0.023434108,124.4414063,2.324967967,0.0,0.337506182,0.0634,0.0435533950572539,0.2174635677758049
3,1658458086,0.01925907,124.5390625,0.784281856,0.0,0.333240098,0.0632222222222222,0.0426682776739892,0.2174554311440268
4,1658458091,0.022142348,124.5390625,0.002601998,0.0,0.354640745,0.0632222222222222,0.0426682776739892,0.2174554311440268
5,1658458096,0.022514955,124.5390625,0.002627797,0.0,0.354640745,0.0632222222222222,0.0426682776739892,0.2174554311440268
6,1658458101,0.022855634,125.1953125,0.014207267,0.0,0.354640745,0.0635333333333333,0.0444057221550712,0.2170056089931883
7,1658458106,0.024149303,125.8632813,0.033366387,0.0,0.33356862,0.0635333333333333,0.0444057221550712,0.2170056089931883
8,1658458111,0.024149303,125.8632813,0.033366387,0.0,0.33356862,0.0635333333333333,0.0444057221550712,0.2170056089931883
9,1658458116,0.019464743,125.8632813,0.034246799,0.0,0.33356862,0.0608222222222222,0.0443797795770966,0.2169525994443652
10,1658458121,0.023225614,125.8632813,0.934785383,0.0,0.301714969,0.0608222222222222,0.0443797795770966,0.2169525994443652
11,1658458126,0.020772038,125.859375,1.356709417,0.0,0.366455427,0.0608222222222222,0.0443797795770966,0.2169525994443652
12,1658458131,0.021611237,125.90625,1.703332033,0.0,0.366455427,0.0615111111111111,0.0650505902191179,0.2170697305092906
13,1658458136,0.022303667,125.9492188,1.30678301,0.0,0.364905869,0.0615111111111111,0.0650505902191179,0.2170697305092906
14,1658458141,0.023890643,125.9492188,1.40291114,0.0,0.350824653,0.0615111111111111,0.0650505902191179,0.2170697305092906
15,1658458146,0.02299536,125.9492188,1.922452806,0.0,0.347800247,0.0605777777777777,0.0633044797930435,0.2171655484566479
16,1658458151,0.021491733,125.9570313,1.351228824,0.0,0.363836527,0.0605777777777777,0.0633044797930435,0.2171655484566479
17,1658458156,0.023380559,125.9570313,1.359386715,0.0,0.363836527,0.0605777777777777,0.0633044797930435,0.2171655484566479
18,1658458161,0.021693735,125.9570313,1.359721575,0.0,0.304887935,0.0626444444444444,0.0626457613309345,0.2171192182324187
19,1658458166,0.022759608,125.9648438,0.002654409,0.0,0.349051019,0.0626444444444444,0.0626457613309345,0.2171192182324187
20,1658458171,0.023413185,126.109375,0.00540072,0.0,0.349051019,0.0626444444444444,0.0626457613309345,0.2171192182324187
21,1658458176,0.023413185,126.109375,0.00540072,0.0,0.349051019,0.0605333333333333,0.0418681133349363,0.2171382846680779
22,1658458181,0.021504754,126.1210938,0.003758527,0.0,0.348739057,0.0605333333333333,0.0418681133349363,0.2171382846680779
23,1658458186,0.023437275,126.1328125,0.004788864,0.0,0.348739057,0.0605333333333333,0.0418681133349363,0.2171382846680779
24,1658458191,0.023195186,126.3671875,0.349292659,0.0,0.348739057,0.0615333333333333,0.0425824948002232,0.2171145427052029
25,1658458196,0.022832717,126.3671875,0.537266048,0.0,0.353143397,0.0615333333333333,0.0425824948002232,0.2171145427052029
26,1658458201,0.022832717,126.3671875,0.537266048,0.0,0.348849536,0.0615333333333333,0.0425824948002232,0.2171145427052029
27,1658458206,0.025492922,124.8398438,1.115636239,0.0,0.348590095,0.0605777777777777,0.0416865776527736,0.2171400455809254
28,1658458211,0.025462386,124.8398438,1.320889883,0.0,0.348590095,0.0605777777777777,0.0416865776527736,0.2171400455809254
29,1658458216,0.025644042,124.65625,1.889376468,0.0,0.353445888,0.0605777777777777,0.0416865776527736,0.2171400455809254
30,1658458221,0.024401353,123.1445313,2.813119303,0.0,0.353445888,0.0623111111111111,0.0442992623814175,0.2173660496367327
31,1658458226,0.025367134,123.1601563,3.196353752,0.0,0.351324136,0.0623111111111111,0.0442992623814175,0.2173660496367327
32,1658458231,0.024694524,123.1601563,3.130028773,0.0,0.337749551,0.0623111111111111,0.0442992623814175,0.2173660496367327
33,1658458236,0.026122625,123.15625,3.364218432,0.0,0.337749551,0.0816222222222222,0.0521007694147802,0.2173592488698734
34,1658458241,0.025516902,123.2460938,3.049292342,0.0,0.335486291,0.0816222222222222,0.0521007694147802,0.2173592488698734
35,1658458246,0.023655634,123.2421875,4.016473644,0.0,0.360553027,0.0816222222222222,0.0521007694147802,0.2173592488698734
36,1658458251,0.02207786,123.3085938,3.636105962,0.0,0.360553027,0.0900444444444444,0.0559470064554303,0.2174169339459124
37,1658458256,0.02207786,123.3085938,3.636105962,0.0,0.360553027,0.0900444444444444,0.0559470064554303,0.2174169339459124
38,1658458261,0.021830758,123.21875,3.858587067,0.0,0.346001909,0.0900444444444444,0.0559470064554303,0.2174169339459124
39,1658458266,0.020044973,123.21875,3.202722879,0.0,0.346001909,0.0938888888888888,0.0552953257090876,0.2176513175180285
40,1658458271,0.020027608,123.21875,3.377510319,0.0,0.346001909,0.0938888888888888,0.0552953257090876,0.2176513175180285
41,1658458276,0.02247838,123.1484375,3.578324758,0.0,0.290452467,0.0938888888888888,0.0552953257090876,0.2176513175180285
42,1658458281,0.022697563,123.1484375,4.663292577,0.0,0.259874178,0.0782666666666666,0.0480681386946617,0.2184978308286169
43,1658458286,0.021832582,123.1484375,3.682272592,0.0,0.229295889,0.0782666666666666,0.0480681386946617,0.2184978308286169
44,1658458291,0.022891627,123.8867188,3.69878341,0.0,0.334441593,0.0782666666666666,0.0480681386946617,0.2184978308286169
45,1658458296,0.020620672,123.8867188,3.165222801,0.0,0.334441593,0.0796444444444444,0.0459723237892599,0.2194639647705703
46,1658458301,0.020711261,123.890625,2.76806766,0.0,0.334441593,0.0796444444444444,0.0459723237892599,0.2194639647705703
47,1658458306,0.024247214,124.6835938,1.653152251,0.0,0.349135027,0.0796444444444444,0.0459723237892599,0.2194639647705703
48,1658458311,0.022192556,124.6835938,1.302790722,0.0,0.349135027,0.0975777777777777,0.0495119138044497,0.2209830253466402
49,1658458316,0.022529308,124.8085938,1.301288798,0.0,0.349135027,0.0975777777777777,0.0495119138044497,0.2209830253466402
50,1658458321,0.024096391,124.9296875,0.041119014,0.0,0.242249438,0.0975777777777777,0.0495119138044497,0.2209830253466402
51,1658458326,0.024096391,124.9296875,0.041119014,0.0,0.270546961,0.1092666666666666,0.0496786080989622,0.2222567725467129
52,1658458331,0.024375896,125.109375,0.03840192,0.0,0.33957028,0.1092666666666666,0.0496786080989622,0.2222567725467129
53,1658458336,0.019917475,125.109375,0.010357709,0.0,0.33957028,0.1092666666666666,0.0496786080989622,0.2222567725467129
