,timestamp,emailservice-8848674-j9hwb&cpu_usage,emailservice-8848674-j9hwb&cpu_limit,emailservice-8848674-j9hwb&mem_usage,emailservice-8848674-j9hwb&mem_usage_rate,emailservice-8848674-j9hwb&mem_limit,emailservice-8848674-j9hwb&fs_usage,emailservice-8848674-j9hwb&net_receive,emailservice-8848674-j9hwb&net_trainsmit,(node)192.168.31.101:9100_network,(node)192.168.31.101:9100_cpu,(node)192.168.31.101:9100_memory
0,1658458071,0.02982088,0.2,169.1640625,2.991527751,2304.0,0.000420751,0.347555682,7.002927998,0.0634,0.0435533950572539,0.2174635677758049
1,1658458076,0.030388406,0.2,169.1640625,2.696326696,2304.0,0.000420751,0.347555682,7.002927998,0.0634,0.0435533950572539,0.2174635677758049
2,1658458081,0.030230842,0.2,169.1640625,3.695026205,2304.0,0.000420751,0.300470329,6.45476818,0.0634,0.0435533950572539,0.2174635677758049
3,1658458086,0.029602034,0.2,169.5195313,3.489960899,2304.0,0.000462727,0.371180674,9.956835394,0.0632222222222222,0.0426682776739892,0.2174554311440268
4,1658458091,0.02624966,0.2,169.5195313,3.045176498,2304.0,0.000462727,0.371180674,9.956835394,0.0632222222222222,0.0426682776739892,0.2174554311440268
5,1658458096,0.029604291,0.2,169.875,2.526075826,2304.0,0.000462727,0.371180674,9.956835394,0.0632222222222222,0.0426682776739892,0.2174554311440268
6,1658458101,0.026245351,0.2,169.875,2.165471159,2304.0,0.0,0.292082555,6.347564318,0.0635333333333333,0.0444057221550712,0.2170056089931883
7,1658458106,0.026993306,0.2,170.046875,1.690835089,2304.0,0.0,0.352004346,7.20287462,0.0635333333333333,0.0444057221550712,0.2170056089931883
8,1658458111,0.030537208,0.2,170.375,1.695678117,2304.0,0.000293416,0.352004346,7.20287462,0.0635333333333333,0.0444057221550712,0.2170056089931883
9,1658458116,0.030820128,0.2,170.375,0.030969892,2304.0,0.000402095,0.375663874,10.18437294,0.0608222222222222,0.0443797795770966,0.2169525994443652
10,1658458121,0.030597089,0.2,170.375,0.034441345,2304.0,0.000402095,0.360367146,9.165268879,0.0608222222222222,0.0443797795770966,0.2169525994443652
11,1658458126,0.029890768,0.2,169.9765625,2.354187394,2304.0,0.000279727,0.360367146,9.165268879,0.0608222222222222,0.0443797795770966,0.2169525994443652
12,1658458131,0.026983367,0.2,169.9765625,3.159960116,2304.0,0.000363914,0.34347582,6.793082491,0.0615111111111111,0.0650505902191179,0.2170697305092906
13,1658458136,0.027809617,0.2,169.9765625,3.397109346,2304.0,0.000363914,0.355785666,7.008921985,0.0615111111111111,0.0650505902191179,0.2170697305092906
14,1658458141,0.030738205,0.2,170.140625,2.563595026,2304.0,0.000275214,0.355785666,7.008921985,0.0615111111111111,0.0650505902191179,0.2170697305092906
15,1658458146,0.02722363,0.2,170.140625,2.833758597,2304.0,0.0,0.355113636,7.267354755,0.0605777777777777,0.0633044797930435,0.2171655484566479
16,1658458151,0.028078196,0.2,170.140625,2.939278143,2304.0,0.0,0.352697738,7.55739401,0.0605777777777777,0.0633044797930435,0.2171655484566479
17,1658458156,0.027590804,0.2,169.984375,5.341456973,2304.0,0.0,0.352697738,7.55739401,0.0605777777777777,0.0633044797930435,0.2171655484566479
18,1658458161,0.025847753,0.2,169.984375,5.340420856,2304.0,0.0,0.359408967,7.94967731,0.0626444444444444,0.0626457613309345,0.2171192182324187
