,timestamp,paymentservice-6879f6c8c4-8pbjc&cpu_usage,paymentservice-6879f6c8c4-8pbjc&mem_usage,paymentservice-6879f6c8c4-8pbjc&mem_usage_rate,paymentservice-6879f6c8c4-8pbjc&fs_usage,paymentservice-6879f6c8c4-8pbjc&net_receive,paymentservice-6879f6c8c4-8pbjc&net_trainsmit,(node)192.168.31.101:9100_network,(node)192.168.31.101:9100_cpu,(node)192.168.31.101:9100_memory
0,1658540446,0.045704255,235.8945313,5.316062869,0.009675472,3.130400425,17.88107252,0.8246666666666667,0.0979703909192898,0.2235636127640921
1,1658540451,0.048864923,235.9726563,5.570381162,0.010344007,3.175404934,19.85867263,0.816,0.1010805306481282,0.223603506548258
2,1658540456,0.047760277,235.9882813,4.947560163,0.010344007,3.175404934,19.85867263,0.816,0.1010805306481282,0.223603506548258
3,1658540461,0.046610337,235.9882813,5.699622679,0.009138609,2.739527684,17.13273884,0.816,0.1010805306481282,0.223603506548258
4,1658540466,0.04655766,235.609375,7.130544019,0.008846181,2.916855766,16.53944976,0.8100222222222221,0.101245951717744,0.2235916052062542
5,1658540471,0.046580425,236.0234375,6.224748065,0.008846181,2.916855766,16.53944976,0.8100222222222221,0.101245951717744,0.2235916052062542
6,1658540476,0.04384117,236.0234375,4.976095345,0.008591202,2.916855766,16.53944976,0.8100222222222221,0.101245951717744,0.2235916052062542
7,1658540481,0.034421867,236.0234375,1.775245393,0.011413194,2.906204368,17.80154838,0.8052444444444444,0.1015130090495962,0.2237156584803042
8,1658540486,0.035373747,236.046875,1.283609482,0.009222994,2.906204368,17.80154838,0.8052444444444444,0.1015130090495962,0.2237156584803042
9,1658540491,0.041276553,235.359375,3.923477624,0.008604663,2.906204368,17.80154838,0.8052444444444444,0.1015130090495962,0.2237156584803042
10,1658540496,0.039817585,235.359375,3.956543735,0.005817263,2.812692787,17.62495701,0.8009777777777778,0.0991842053082772,0.2237418900096188
11,1658540501,0.045046519,235.3164063,4.463036595,0.008061187,2.812692787,17.62495701,0.8009777777777778,0.0991842053082772,0.2237418900096188
12,1658540506,0.046553725,235.3164063,5.562613101,0.00914882,2.812692787,17.62495701,0.8009777777777778,0.0991842053082772,0.2237418900096188
13,1658540511,0.045600276,234.6484375,5.443147537,0.002528266,1.893188477,13.32138672,0.7898,0.0990673516466003,0.2236948918529302
14,1658540516,0.047977965,235.3828125,6.786279297,0.002528266,2.835074134,17.52769279,0.7898,0.0990673516466003,0.2236948918529302
15,1658540521,0.04851484,235.3828125,7.176617895,0.003398586,2.835074134,17.52769279,0.7898,0.0990673516466003,0.2236948918529302
16,1658540526,0.043303295,235.3828125,6.200283336,0.003398586,2.805771304,16.03422977,0.7975777777777778,0.0990945104698928,0.2239479168127769
17,1658540531,0.05004056,236.7539063,5.060026752,0.007491503,2.301492366,13.15241101,0.7975777777777778,0.0990945104698928,0.2239479168127769
18,1658540536,0.045975317,236.7539063,4.070686105,0.005275152,2.823576602,15.38455311,0.7975777777777778,0.0990945104698928,0.2239479168127769
19,1658540541,0.046797141,237.3867188,3.828207642,0.00426905,2.801568869,14.0011772,0.7988666666666667,0.0995803128577175,0.223825867336105
20,1658540546,0.048653253,237.53125,3.427161836,0.005319178,2.887969043,16.40518242,0.7988666666666667,0.0995803128577175,0.223825867336105
21,1658540551,0.048392206,237.53125,3.859831796,0.005319178,2.887969043,16.40518242,0.7988666666666667,0.0995803128577175,0.223825867336105
22,1658540556,0.046067376,237.6757813,3.731021949,0.00486349,2.606248234,16.18459061,0.8255333333333333,0.1006995972013768,0.223860539102861
23,1658540561,0.047297948,237.6757813,1.55919221,0.005918995,3.046096041,18.9160099,0.8255333333333333,0.1006995972013768,0.223860539102861
24,1658540566,0.048265548,237.6328125,3.704716267,0.008373077,3.046096041,18.9160099,0.8255333333333333,0.1006995972013768,0.223860539102861
25,1658540571,0.042871096,237.109375,5.113169001,0.007506514,2.563653658,15.92008174,0.8510888888888889,0.103326876581705,0.2238763873184886
26,1658540576,0.049193891,237.109375,5.084701599,0.003849638,1.869848633,13.2901123,0.8510888888888889,0.103326876581705,0.2238763873184886
27,1658540581,0.049786597,236.5585938,7.044614334,0.00263287,3.180389509,17.96143489,0.8510888888888889,0.103326876581705,0.2238763873184886
28,1658540586,0.05034761,236.3164063,7.95010826,0.00263287,3.180389509,17.96143489,0.8770888888888888,0.1041056755342246,0.2238250779613802
29,1658540591,0.051720144,236.3164063,10.78479553,0.003909354,3.180389509,17.96143489,0.8770888888888888,0.1041056755342246,0.2238250779613802
30,1658540596,0.049284324,236.3203125,9.871741264,0.002730913,3.147005669,15.8077866,0.8770888888888888,0.1041056755342246,0.2238250779613802
31,1658540601,0.050411954,236.4101563,8.182527496,0.009026944,3.147005669,15.8077866,0.8640888888888888,0.103619026060521,0.2239324329239453
32,1658540606,0.050368641,236.4101563,7.141702358,0.009026944,3.13122779,14.21816974,0.8640888888888888,0.103619026060521,0.2239324329239453
33,1658540611,0.050478829,236.4101563,7.823974379,0.006296031,3.115296857,14.85877727,0.8640888888888888,0.103619026060521,0.2239324329239453
34,1658540616,0.048070754,236.53125,7.647563916,0.010865762,2.478343696,12.96815766,0.8630222222222221,0.1031279647697369,0.2237957496542994
35,1658540621,0.049048153,236.5195313,8.466124081,0.008749814,3.089481819,16.16599318,0.8630222222222221,0.1031279647697369,0.2237957496542994
36,1658540626,0.043493498,236.5195313,5.893724408,0.010072265,3.089481819,16.16599318,0.8630222222222221,0.1031279647697369,0.2237957496542994
37,1658540631,0.044650491,236.84375,4.585606326,0.010090677,2.453782316,12.83963801,0.8486444444444444,0.1023071479121507,0.2239381407104166
38,1658540636,0.048125888,237.4296875,3.69162915,0.008715537,2.196325498,11.49247191,0.8486444444444444,0.1023071479121507,0.2239381407104166
39,1658540641,0.04682111,237.4296875,4.117789841,0.003932181,3.088725126,18.95826094,0.8486444444444444,0.1023071479121507,0.2239381407104166
40,1658540646,0.04757205,210.90625,6.530547199,0.003932181,3.088725126,18.95826094,0.8714,0.103369163444727,0.2239705050741311
41,1658540651,0.048751553,185.234375,7.906779946,0.008647987,3.088725126,18.95826094,0.8714,0.103369163444727,0.2239705050741311
