,timestamp,productcatalogservice-5ff5f57dc8-8z7xf&cpu_usage,productcatalogservice-5ff5f57dc8-8z7xf&mem_usage,productcatalogservice-5ff5f57dc8-8z7xf&mem_usage_rate,productcatalogservice-5ff5f57dc8-8z7xf&fs_usage,productcatalogservice-5ff5f57dc8-8z7xf&net_receive,productcatalogservice-5ff5f57dc8-8z7xf&net_trainsmit,(node)192.168.31.101:9100_network,(node)192.168.31.101:9100_cpu,(node)192.168.31.101:9100_memory
0,1658540446,0.297206669,124.0703125,2.607515619,0.053342521,21.96279618,41.63101175,0.8246666666666667,0.0979703909192898,0.2235636127640921
1,1658540451,0.298959983,124.0625,3.21451317,0.038464578,24.54434635,46.52440257,0.816,0.1010805306481282,0.223603506548258
2,1658540456,0.299018009,123.6757813,5.704620832,0.0,30.97860198,58.72068986,0.816,0.1010805306481282,0.223603506548258
3,1658540461,0.297005569,123.5078125,5.868119707,0.0,30.97860198,58.72068986,0.816,0.1010805306481282,0.223603506548258
4,1658540466,0.295218487,123.5078125,5.868119707,0.0,30.90608114,63.6697886,0.8100222222222221,0.101245951717744,0.2235916052062542
5,1658540471,0.287371845,123.5078125,5.29839315,0.0,30.90608114,63.6697886,0.8100222222222221,0.101245951717744,0.2235916052062542
6,1658540476,0.293036099,123.5117188,4.883765732,0.0,30.96733893,64.20043698,0.8100222222222221,0.101245951717744,0.2235916052062542
7,1658540481,0.292459965,123.4140625,4.784729797,0.045305554,30.96733893,64.20043698,0.8052444444444444,0.1015130090495962,0.2237156584803042
8,1658540486,0.291258647,124.2578125,4.48147773,0.045305554,30.23355131,63.25832117,0.8052444444444444,0.1015130090495962,0.2237156584803042
9,1658540491,0.289206698,124.2578125,4.866791711,0.045305554,30.23355131,63.25832117,0.8052444444444444,0.1015130090495962,0.2237156584803042
10,1658540496,0.293317558,127.3671875,3.307027557,0.041652545,30.6266887,64.07233132,0.8009777777777778,0.0991842053082772,0.2237418900096188
