,timestamp,emailservice-8848674-b7vr4&cpu_usage,emailservice-8848674-b7vr4&cpu_limit,emailservice-8848674-b7vr4&mem_usage,emailservice-8848674-b7vr4&mem_usage_rate,emailservice-8848674-b7vr4&mem_limit,emailservice-8848674-b7vr4&fs_usage,emailservice-8848674-b7vr4&net_receive,emailservice-8848674-b7vr4&net_trainsmit,(node)192.168.31.101:9100_network,(node)192.168.31.101:9100_cpu,(node)192.168.31.101:9100_memory
0,1658540446,0.046749085,0.2,172.546875,3.368992593,2304,0.004046833,2.221207166,13.63730665,0.8246666666666667,0.0979703909192898,0.2235636127640921
1,1658540451,0.04580304,0.2,172.4882813,1.832567882,2304,0.003126033,1.823629593,11.1963424,0.816,0.1010805306481282,0.223603506548258
2,1658540456,0.04655452,0.2,171.4726563,3.276738375,2304,0.003945967,2.159353658,13.43535824,0.816,0.1010805306481282,0.223603506548258
3,1658540461,0.050856561,0.2,170.4492188,4.309592689,2304,0.005488335,2.241657334,16.95978161,0.816,0.1010805306481282,0.223603506548258
4,1658540466,0.049009589,0.2,170.4492188,4.817137381,2304,0.005118183,2.241657334,16.95978161,0.8100222222222221,0.101245951717744,0.2235916052062542
5,1658540471,0.051839807,0.2,170.4492188,5.63834109,2304,0.006628926,1.813310926,13.35433167,0.8100222222222221,0.101245951717744,0.2235916052062542
6,1658540476,0.0518111,0.2,171.46875,4.317533448,2304,0.005837523,7.976876815,20.72579821,0.8100222222222221,0.101245951717744,0.2235916052062542
7,1658540481,0.050307561,0.2,171.46875,4.846663014,2304,0.005190315,7.976876815,20.72579821,0.8052444444444444,0.1015130090495962,0.2237156584803042
8,1658540486,0.047039313,0.2,171.46875,3.107225923,2304,0.0,7.729656232,15.77538203,0.8052444444444444,0.1015130090495962,0.2237156584803042
9,1658540491,0.046018871,0.2,171.4023438,4.028522908,2304,0.0,7.729656232,15.77538203,0.8052444444444444,0.1015130090495962,0.2237156584803042
10,1658540496,0.045029577,0.2,171.4023438,3.256864134,2304,0.0,7.389278393,15.33078849,0.8009777777777778,0.0991842053082772,0.2237418900096188
11,1658540501,0.044750113,0.2,171.4023438,2.529598626,2304,0.003259088,8.956429675,18.58221083,0.8009777777777778,0.0991842053082772,0.2237418900096188
12,1658540506,0.046400159,0.2,172.2539063,1.655559423,2304,0.004595386,8.956429675,18.58221083,0.8009777777777778,0.0991842053082772,0.2237418900096188
13,1658540511,0.046008677,0.2,172.2539063,1.655559423,2304,0.00598765,7.268597609,18.58084859,0.7898,0.0990673516466003,0.2236948918529302
14,1658540516,0.044967153,0.2,172.2539063,2.507169503,2304,0.00598765,1.722621044,11.49634484,0.7898,0.0990673516466003,0.2236948918529302
15,1658540521,0.041358799,0.2,172.9726563,2.512000103,2304,0.005015821,1.955805207,15.49044557,0.7898,0.0990673516466003,0.2236948918529302
16,1658540526,0.038836489,0.2,173.8359375,1.722248688,2304,0.006768451,1.955805207,15.49044557,0.7975777777777778,0.0990945104698928,0.2239479168127769
17,1658540531,0.047007254,0.2,173.8398438,1.722336978,2304,0.005007914,1.955805207,15.49044557,0.7975777777777778,0.0990945104698928,0.2239479168127769
18,1658540536,0.048545416,0.2,173.8398438,0.068243104,2304,0.005438653,1.775081872,16.99648143,0.7975777777777778,0.0990945104698928,0.2239479168127769
19,1658540541,0.048662159,0.2,173.8710938,0.048111577,2304,0.004891814,2.186601101,18.36059226,0.7988666666666667,0.0995803128577175,0.223825867336105
20,1658540546,0.049678288,0.2,174.2109375,0.055486643,2304,0.0,2.050627396,17.56526552,0.7988666666666667,0.0995803128577175,0.223825867336105
21,1658540551,0.050405591,0.2,174.2109375,0.058029773,2304,0.0,2.050627396,17.56526552,0.7988666666666667,0.0995803128577175,0.223825867336105
22,1658540556,0.047276659,0.2,173.7617188,2.541458747,2304,0.003066578,2.13342641,16.53697338,0.8255333333333333,0.1006995972013768,0.223860539102861
23,1658540561,0.040633121,0.2,173.7617188,2.770433621,2304,0.004161981,2.13342641,16.53697338,0.8255333333333333,0.1006995972013768,0.223860539102861
24,1658540566,0.045133257,0.2,172.8007813,5.092240299,2304,0.006309434,2.13342641,16.53697338,0.8255333333333333,0.1006995972013768,0.223860539102861
25,1658540571,0.045728375,0.2,170.8710938,5.922747885,2304,0.005804242,2.301996376,15.29883201,0.8510888888888889,0.103326876581705,0.2238763873184886
26,1658540576,0.051149847,0.2,170.8710938,5.842214367,2304,0.005422062,2.301996376,15.29883201,0.8510888888888889,0.103326876581705,0.2238763873184886
27,1658540581,0.051210586,0.2,169.9023438,6.942266624,2304,0.005359504,2.319807944,16.05534534,0.8510888888888889,0.103326876581705,0.2238763873184886
28,1658540586,0.046474661,0.2,169.9335938,7.623891969,2304,0.004649259,2.319807944,16.05534534,0.8770888888888888,0.1041056755342246,0.2238250779613802
29,1658540591,0.048914047,0.2,169.875,8.283688273,2304,0.005643065,2.293039456,15.17190498,0.8770888888888888,0.1041056755342246,0.2238250779613802
30,1658540596,0.048914047,0.2,169.875,8.283688273,2304,0.005643065,2.293039456,15.17190498,0.8770888888888888,0.1041056755342246,0.2238250779613802
31,1658540601,0.044399182,0.2,170.0742188,6.992022516,2304,0.003044346,2.310707152,16.97543245,0.8640888888888888,0.103619026060521,0.2239324329239453
32,1658540606,0.048749058,0.2,171.1914063,5.637589663,2304,0.0,2.310707152,16.97543245,0.8640888888888888,0.103619026060521,0.2239324329239453
33,1658540611,0.048749058,0.2,171.1914063,5.637589663,2304,0.0,2.310707152,16.97543245,0.8640888888888888,0.103619026060521,0.2239324329239453
34,1658540616,0.044504522,0.2,172.0664063,4.414127821,2304,0.003781618,2.230419173,16.80668092,0.8630222222222221,0.1031279647697369,0.2237957496542994
35,1658540621,0.04688356,0.2,172.0664063,4.717247831,2304,0.004574861,2.230419173,16.80668092,0.8630222222222221,0.1031279647697369,0.2237957496542994
36,1658540626,0.046958208,0.2,172.0664063,3.59672559,2304,0.004574861,2.230419173,16.80668092,0.8630222222222221,0.1031279647697369,0.2237957496542994
