,timestamp,shippingservice-589dc45c5d-h7pnk&cpu_usage,shippingservice-589dc45c5d-h7pnk&mem_usage,shippingservice-589dc45c5d-h7pnk&mem_usage_rate,shippingservice-589dc45c5d-h7pnk&fs_usage,shippingservice-589dc45c5d-h7pnk&net_receive,shippingservice-589dc45c5d-h7pnk&net_trainsmit,(node)192.168.31.101:9100_network,(node)192.168.31.101:9100_cpu,(node)192.168.31.101:9100_memory
0,1658540446,0.064531818,141.953125,3.86813854,0.005096761,4.438983122,22.51735594,0.8246666666666667,0.0979703909192898,0.2235636127640921
1,1658540451,0.065525352,139.5585938,5.508432012,0.0,4.438983122,22.51735594,0.816,0.1010805306481282,0.223603506548258
2,1658540456,0.069097838,139.5585938,5.949960565,0.0,4.438983122,22.51735594,0.816,0.1010805306481282,0.223603506548258
3,1658540461,0.067820978,140.078125,4.969469308,0.0,4.293973545,21.03507077,0.816,0.1010805306481282,0.223603506548258
4,1658540466,0.059567574,140.7460938,3.949061476,0.007690458,3.419684748,16.75215507,0.8100222222222221,0.101245951717744,0.2235916052062542
5,1658540471,0.062883175,140.7460938,4.648059658,0.008783297,3.061853619,14.99923251,0.8100222222222221,0.101245951717744,0.2235916052062542
6,1658540476,0.069541213,141.5507813,4.670450427,0.011036793,4.210889297,24.69428953,0.8100222222222221,0.101245951717744,0.2235916052062542
7,1658540481,0.066701191,141.5507813,3.390380722,0.00975364,4.210889297,24.69428953,0.8052444444444444,0.1015130090495962,0.2237156584803042
8,1658540486,0.063631135,141.5507813,2.908502879,0.009193643,4.146357439,25.58059971,0.8052444444444444,0.1015130090495962,0.2237156584803042
9,1658540491,0.062908512,141.5546875,0.524371434,0.009355533,4.146357439,25.58059971,0.8052444444444444,0.1015130090495962,0.2237156584803042
10,1658540496,0.063860031,141.734375,0.525415937,0.009392397,3.960956093,26.1383771,0.8009777777777778,0.0991842053082772,0.2237418900096188
11,1658540501,0.063860031,141.734375,0.525415937,0.009392397,3.960956093,26.1383771,0.8009777777777778,0.0991842053082772,0.2237418900096188
12,1658540506,0.059989131,141.734375,0.520273249,0.009392397,2.801294533,15.33882245,0.8009777777777778,0.0991842053082772,0.2237418900096188
13,1658540511,0.058128117,140.0898438,1.068665947,0.0,3.141581643,17.20210512,0.7898,0.0990673516466003,0.2236948918529302
14,1658540516,0.06342832,138.2617188,2.37019577,0.0,3.43249927,20.88524163,0.7898,0.0990673516466003,0.2236948918529302
15,1658540521,0.066695897,138.3554688,2.765322189,0.002910096,4.090894678,24.89128682,0.7898,0.0990673516466003,0.2236948918529302
16,1658540526,0.064972811,138.3554688,4.119488931,0.003828852,4.090894678,24.89128682,0.7975777777777778,0.0990945104698928,0.2239479168127769
17,1658540531,0.06749409,140.09375,2.619437819,0.009403588,4.064107909,23.38562102,0.7975777777777778,0.0990945104698928,0.2239479168127769
18,1658540536,0.068550142,140.09375,2.962568459,0.009403588,4.100744513,22.0514776,0.7975777777777778,0.0990945104698928,0.2239479168127769
19,1658540541,0.067726996,142.2539063,2.255535511,0.010343633,4.100744513,22.0514776,0.7988666666666667,0.0995803128577175,0.223825867336105
20,1658540546,0.067352261,142.2539063,2.528272218,0.010343633,3.385962901,21.54931969,0.7988666666666667,0.0995803128577175,0.223825867336105
21,1658540551,0.065896356,142.1679688,1.983420846,0.009152666,4.075626899,25.93855561,0.7988666666666667,0.0995803128577175,0.223825867336105
22,1658540556,0.059521482,142.1796875,0.800574771,0.004360799,4.1573546,26.18661167,0.8255333333333333,0.1006995972013768,0.223860539102861
23,1658540561,0.065178166,142.1796875,0.808990074,0.004360799,4.1573546,26.18661167,0.8255333333333333,0.1006995972013768,0.223860539102861
24,1658540566,0.065672096,142.2773438,0.592604635,0.004360799,4.168432867,24.6389067,0.8255333333333333,0.1006995972013768,0.223860539102861
25,1658540571,0.064270334,141.6210938,1.844682529,0.0,4.306970902,23.80374751,0.8510888888888889,0.103326876581705,0.2238763873184886
26,1658540576,0.06919903,140.8671875,3.606652029,0.007746537,4.439930652,25.52394639,0.8510888888888889,0.103326876581705,0.2238763873184886
27,1658540581,0.064087614,140.8671875,3.372119628,0.009037076,4.439930652,25.52394639,0.8510888888888889,0.103326876581705,0.2238763873184886
28,1658540586,0.064892501,141.0039063,2.733470451,0.008790323,3.709574393,21.32532811,0.8770888888888888,0.1041056755342246,0.2238250779613802
29,1658540591,0.063920282,141.0039063,3.260483241,0.009326712,3.461104882,18.22851897,0.8770888888888888,0.1041056755342246,0.2238250779613802
30,1658540596,0.069514253,141.0078125,3.215773072,0.008942622,4.466732569,20.1840822,0.8770888888888888,0.1041056755342246,0.2238250779613802
31,1658540601,0.070318654,141.28125,3.883094965,0.008999896,4.466732569,20.1840822,0.8640888888888888,0.103619026060521,0.2239324329239453
32,1658540606,0.069639593,141.4335938,2.988848001,0.008191699,4.523490983,20.74473189,0.8640888888888888,0.103619026060521,0.2239324329239453
33,1658540611,0.069339119,141.4335938,3.112307974,0.009270402,4.523490983,20.74473189,0.8640888888888888,0.103619026060521,0.2239324329239453
34,1658540616,0.064399754,141.0625,1.767961847,0.003467435,4.468244364,22.75090627,0.8630222222222221,0.1031279647697369,0.2237957496542994
35,1658540621,0.068819419,140.9453125,3.316471224,0.003467435,4.468244364,22.75090627,0.8630222222222221,0.1031279647697369,0.2237957496542994
36,1658540626,0.069226821,140.9453125,3.040097298,0.0,4.468244364,22.75090627,0.8630222222222221,0.1031279647697369,0.2237957496542994
