timestamp,details-v1-b788479c5-lf9kc_cpu,details-v1-b788479c5-bbg6t_cpu,productpage-v1-7fb564989f-hm9g2_cpu,ratings-v1-5b6b66f9b5-n4ddg_cpu,reviews-v1-7b76c4f45d-x9mxc_cpu,reviews-v3-5fd56449d8-tv4wp_cpu,reviews-v2-6ccf99c555-fqvhb_cpu,details-v1-b788479c5-lf9kc_memory,details-v1-b788479c5-bbg6t_memory,productpage-v1-7fb564989f-hm9g2_memory,ratings-v1-5b6b66f9b5-n4ddg_memory,reviews-v1-7b76c4f45d-x9mxc_memory,reviews-v3-5fd56449d8-tv4wp_memory,reviews-v2-6ccf99c555-fqvhb_memory,productpage-v1-7fb564989f-hm9g2_network,reviews-v2-6ccf99c555-fqvhb_network,details-v1-b788479c5-bbg6t_network,reviews-v1-7b76c4f45d-x9mxc_network,details-v1-b788479c5-lf9kc_network,ratings-v1-5b6b66f9b5-n4ddg_network,reviews-v3-5fd56449d8-tv4wp_network
2024-03-05 13:34:00,-1.0,5.128062766668033,47.24237100000058,1.8714958333333698,1.1296938000000978,4.3919770000002245,2.450416733333327,-1.0,17.272832,53.137408,12.693504,87.691264,191.299584,180.068352,969.2844444444444,78.61777777777779,161.29,45.78777777777778,-1.0,72.25,49.0
2024-03-05 13:34:05,-1.0,5.490496133340153,49.87655959999604,1.8714958333333698,1.1296938000000978,4.3919770000002245,2.450416733333327,-1.0,17.272832,53.1456,12.693504,87.691264,191.299584,180.068352,3150.95111111111,78.61777777777779,166.40999999999997,45.78777777777778,-1.0,72.25,49.0
2024-03-05 13:34:10,-1.0,5.490496133340154,49.87655959999605,1.8714958333333698,1.1296938000000978,4.3919770000002245,4.411143500000018,-1.0,17.272832,53.1456,12.693504,87.691264,191.299584,180.191232,3150.951111111111,123.9511111111111,166.41,45.78777777777778,-1.0,72.25,49.0
2024-03-05 13:34:15,-1.0,5.490496133340154,49.87655959999605,1.8714958333333698,1.1296938000000978,4.3919770000002245,4.411143500000018,-1.0,17.272832,53.1456,12.693504,87.691264,191.299584,180.191232,3150.951111111111,123.9511111111111,166.41,45.78777777777778,-1.0,72.25,49.0
2024-03-05 13:34:20,-1.0,5.490496133340154,49.87655959999605,1.8714958333333698,1.1296938000000978,4.3919770000002245,4.411143500000018,-1.0,17.272832,53.1456,12.693504,87.691264,191.299584,180.191232,3150.951111111111,123.9511111111111,166.41,45.78777777777778,-1.0,72.25,49.0
2024-03-05 13:34:25,-1.0,5.490496133340154,49.87655959999605,1.8714958333333698,1.1296938000000978,4.3919770000002245,4.411143500000018,-1.0,17.272832,53.1456,12.693504,87.691264,191.299584,180.191232,3150.951111111111,123.9511111111111,166.41,45.78777777777778,-1.0,72.25,49.0
2024-03-05 13:34:30,-1.0,5.490496133340154,49.87655959999605,1.5027328666666524,2.4319318333335596,3.331757966666752,4.411143500000018,-1.0,17.272832,53.1456,12.98432,87.691264,191.299584,180.191232,3150.951111111111,123.9511111111111,166.41,38.85444444444445,-1.0,15.47111111111111,236.13444444444445
2024-03-05 13:34:35,-1.0,5.86900159999762,38.3656412666672,1.5027328666666524,2.4319318333335596,3.331757966666752,4.411143500000018,-1.0,17.272832,53.1456,12.98432,87.691264,191.299584,180.191232,5426.7777777777765,123.9511111111111,86.48999999999998,38.85444444444445,-1.0,15.47111111111111,236.13444444444445
2024-03-05 13:34:40,-1.0,5.869001599997621,38.365641266667204,1.5027328666666524,2.4319318333335596,3.331757966666752,4.514651833333497,-1.0,17.272832,53.1456,12.98432,87.691264,191.299584,180.342784,5426.777777777778,124.69444444444443,86.49000000000001,38.85444444444445,-1.0,15.47111111111111,236.13444444444445
2024-03-05 13:34:45,-1.0,5.869001599997621,38.365641266667204,1.5027328666666524,2.4319318333335596,3.331757966666752,4.514651833333497,-1.0,17.272832,53.1456,12.98432,87.691264,191.299584,180.342784,5426.777777777778,124.69444444444443,86.49000000000001,38.85444444444445,-1.0,15.47111111111111,236.13444444444445
