timestamp,details-v1-b788479c5-bbg6t_cpu,productpage-v1-7fb564989f-lvdk6_cpu,ratings-v1-5b6b66f9b5-lmszw_cpu,ratings-v1-5b6b66f9b5-7bln6_cpu,reviews-v1-7b76c4f45d-x9mxc_cpu,reviews-v3-5fd56449d8-tv4wp_cpu,reviews-v2-6ccf99c555-fqvhb_cpu,details-v1-b788479c5-bbg6t_memory,productpage-v1-7fb564989f-lvdk6_memory,ratings-v1-5b6b66f9b5-lmszw_memory,ratings-v1-5b6b66f9b5-7bln6_memory,reviews-v1-7b76c4f45d-x9mxc_memory,reviews-v3-5fd56449d8-tv4wp_memory,reviews-v2-6ccf99c555-fqvhb_memory,details-v1-b788479c5-bbg6t_network,reviews-v3-5fd56449d8-tv4wp_network,ratings-v1-5b6b66f9b5-lmszw_network,productpage-v1-7fb564989f-lvdk6_network,reviews-v2-6ccf99c555-fqvhb_network,ratings-v1-5b6b66f9b5-7bln6_network,reviews-v1-7b76c4f45d-x9mxc_network
2024-03-06 02:30:03,7.107268833336397,45.75895986666486,-1.0,3.1305697000000006,2.2713109333333628,4.782438900000822,5.37458123333181,24.1664,55.64416,-1.0,6.262784,87.216128,340.39808,336.62976,197.8711111111111,161.29,-1.0,3778.1511111111113,88.98777777777778,40.96000000000001,33.64
2024-03-06 02:30:08,7.107268833336397,45.75895986666486,-1.0,3.1305697000000006,2.2713109333333628,4.782438900000822,5.37458123333181,24.1664,55.64416,-1.0,6.262784,87.216128,340.39808,336.62976,197.8711111111111,161.29,-1.0,3778.1511111111113,88.98777777777778,40.96000000000001,33.64
2024-03-06 02:30:13,7.107268833336397,45.75895986666486,-1.0,3.1305697000000006,2.2713109333333628,4.782438900000822,5.37458123333181,24.1664,55.64416,-1.0,6.262784,87.216128,340.39808,336.62976,197.8711111111111,161.29,-1.0,3778.1511111111113,88.98777777777778,40.96000000000001,33.64
2024-03-06 02:30:18,5.049529325510304,42.7777181085045,-1.0,1.1846572580645154,2.2713109333333628,4.782438900000822,3.9829262000012027,24.1664,55.758848,-1.0,6.26688,87.216128,340.39808,336.707584,141.5345048660622,161.29,-1.0,3335.208762600656,131.48444444444445,68.85327335797629,33.64
2024-03-06 02:30:23,5.049529325510304,42.7777181085045,-1.0,1.1846572580645154,1.8813697000003533,5.546970866665409,3.9829262000012027,24.1664,55.758848,-1.0,6.26688,87.027712,340.340736,336.707584,141.5345048660622,119.53777777777778,-1.0,3335.208762600656,131.48444444444445,68.85327335797629,22.404444444444444
2024-03-06 02:30:28,5.049529325510304,42.7777181085045,-1.0,1.1846572580645154,1.8813697000003533,5.546970866665409,3.9829262000012027,24.1664,55.758848,-1.0,6.26688,87.027712,340.340736,336.707584,141.5345048660622,119.53777777777778,-1.0,3335.208762600656,131.48444444444445,68.85327335797629,22.404444444444444
2024-03-06 02:30:33,5.049529325510304,42.7777181085045,-1.0,1.1846572580645154,1.8813697000003533,5.546970866665409,3.9829262000012027,24.1664,55.758848,-1.0,6.26688,87.027712,340.340736,336.707584,141.5345048660622,119.53777777777778,-1.0,3335.208762600656,131.48444444444445,68.85327335797629,22.404444444444444
2024-03-06 02:30:38,5.049529325510304,42.7777181085045,-1.0,1.1846572580645154,1.8813697000003533,5.546970866665409,3.9829262000012027,24.1664,55.758848,-1.0,6.26688,87.027712,340.340736,336.707584,141.5345048660622,119.53777777777778,-1.0,3335.208762600656,131.48444444444445,68.85327335797629,22.404444444444444
2024-03-06 02:30:43,5.049529325510304,42.7777181085045,-1.0,1.1846572580645154,1.8813697000003533,5.546970866665409,3.9829262000012027,24.1664,55.758848,-1.0,6.26688,87.027712,340.340736,336.707584,141.5345048660622,119.53777777777778,-1.0,3335.208762600656,131.48444444444445,68.85327335797629,22.404444444444444
2024-03-06 02:30:48,5.521837123235839,52.34074796612616,-1.0,2.176089590557482,1.8813697000003533,5.546970866665409,4.278744833332364,24.1664,55.529472,-1.0,6.770688,87.027712,340.340736,336.809984,169.09016939948992,119.53777777777778,-1.0,4676.494909178592,115.20444444444442,126.25510485555995,22.404444444444444
2024-03-06 02:30:53,5.521837123235839,52.34074796612616,-1.0,2.176089590557482,2.5279473333332207,5.819554066668313,4.278744833332364,24.1664,55.529472,-1.0,6.770688,86.970368,340.283392,336.809984,169.09016939948992,98.01,-1.0,4676.494909178592,115.20444444444442,126.25510485555995,51.361111111111114
2024-03-06 02:30:58,5.521837123235839,52.34074796612616,-1.0,2.176089590557482,2.5279473333332207,5.819554066668313,4.278744833332364,24.1664,55.529472,-1.0,6.770688,86.970368,340.283392,336.809984,169.09016939948992,98.01,-1.0,4676.494909178592,115.20444444444442,126.25510485555995,51.361111111111114
