timestamp,details-v1-b788479c5-bbg6t_cpu,productpage-v1-7fb564989f-lvdk6_cpu,ratings-v1-5b6b66f9b5-7bln6_cpu,reviews-v1-7b76c4f45d-sgb8d_cpu,reviews-v1-7b76c4f45d-zfc5k_cpu,reviews-v3-5fd56449d8-tv4wp_cpu,reviews-v2-6ccf99c555-fqvhb_cpu,details-v1-b788479c5-bbg6t_memory,productpage-v1-7fb564989f-lvdk6_memory,ratings-v1-5b6b66f9b5-7bln6_memory,reviews-v1-7b76c4f45d-sgb8d_memory,reviews-v1-7b76c4f45d-zfc5k_memory,reviews-v3-5fd56449d8-tv4wp_memory,reviews-v2-6ccf99c555-fqvhb_memory,reviews-v3-5fd56449d8-tv4wp_network,reviews-v1-7b76c4f45d-zfc5k_network,productpage-v1-7fb564989f-lvdk6_network,reviews-v1-7b76c4f45d-sgb8d_network,details-v1-b788479c5-bbg6t_network,ratings-v1-5b6b66f9b5-7bln6_network,reviews-v2-6ccf99c555-fqvhb_network
2024-03-06 14:42:03,5.221465066658008,48.93667756665916,1.693824799997401,-1.0,11.800305666666647,6.325829833334258,4.756806399999884,24.666112,57.544704,9.908224,-1.0,90.886144,510.558208,465.289216,178.6677777777778,22.404444444444444,3680.4444444444443,-1.0,142.40444444444444,64.0,133.78777777777776
2024-03-06 14:42:08,5.221465066658008,48.93667756665916,1.693824799997401,-1.0,11.800305666666647,6.325829833334258,4.756806399999884,24.666112,57.544704,9.908224,-1.0,90.886144,510.558208,465.289216,178.6677777777778,22.404444444444444,3680.4444444444443,-1.0,142.40444444444444,64.0,133.78777777777776
2024-03-06 14:42:13,5.221465066658008,48.93667756665916,1.693824799997401,-1.0,11.800305666666647,6.325829833334258,4.756806399999884,24.666112,57.544704,9.908224,-1.0,90.886144,510.558208,465.289216,178.6677777777778,22.404444444444444,3680.4444444444443,-1.0,142.40444444444444,64.0,133.78777777777776
2024-03-06 14:42:18,5.2351840666688085,42.580467066666955,1.4116973666659762,-1.0,11.800305666666647,6.325829833334258,4.083964533333528,24.666112,57.52832,9.191424,-1.0,90.886144,510.558208,465.38752,178.6677777777778,22.404444444444444,2908.8044444444463,-1.0,179.56000000000012,108.85444444444448,133.01777777777778
2024-03-06 14:42:23,5.2351840666688085,42.580467066666955,1.4116973666659762,-1.0,15.914462600000036,3.903284300001057,4.083964533333528,24.666112,57.52832,9.191424,-1.0,92.844032,509.906944,465.38752,102.68444444444444,41.38777777777778,2908.8044444444463,-1.0,179.56000000000012,108.85444444444448,133.01777777777778
2024-03-06 14:42:28,5.235184066668808,42.58046706666695,1.411697366665976,-1.0,15.914462600000036,3.903284300001057,4.083964533333528,24.666112,57.52832,9.191424,-1.0,92.844032,509.906944,465.38752,102.68444444444444,41.38777777777778,2908.804444444444,-1.0,179.56,108.85444444444445,133.01777777777778
2024-03-06 14:42:33,5.235184066668808,42.58046706666695,1.411697366665976,-1.0,15.914462600000036,3.903284300001057,4.083964533333528,24.666112,57.52832,9.191424,-1.0,92.844032,509.906944,465.38752,102.68444444444444,41.38777777777778,2908.804444444444,-1.0,179.56,108.85444444444445,133.01777777777778
2024-03-06 14:42:38,5.235184066668808,42.58046706666695,1.411697366665976,-1.0,15.914462600000036,3.903284300001057,4.083964533333528,24.666112,57.52832,9.191424,-1.0,92.844032,509.906944,465.38752,102.68444444444444,41.38777777777778,2908.804444444444,-1.0,179.56,108.85444444444445,133.01777777777778
2024-03-06 14:42:43,5.235184066668808,42.58046706666695,1.411697366665976,-1.0,15.914462600000036,3.903284300001057,4.083964533333528,24.666112,57.52832,9.191424,-1.0,92.844032,509.906944,465.38752,102.68444444444444,41.38777777777778,2908.804444444444,-1.0,179.56,108.85444444444445,133.01777777777778
2024-03-06 14:42:48,6.921245099996063,44.31152820000838,1.62880430000314,-1.0,15.914462600000036,3.903284300001057,4.043743566667976,24.682496,57.52832,9.822208,-1.0,92.844032,509.906944,465.465344,102.68444444444444,41.38777777777778,2941.254444444446,-1.0,272.2500000000001,94.73777777777784,128.44444444444446
