timestamp,details-v1-b788479c5-bbg6t_cpu,productpage-v1-7fb564989f-8nllv_cpu,productpage-v1-7fb564989f-hm9g2_cpu,ratings-v1-5b6b66f9b5-n4ddg_cpu,reviews-v1-7b76c4f45d-x9mxc_cpu,reviews-v3-5fd56449d8-tv4wp_cpu,reviews-v2-6ccf99c555-fqvhb_cpu,details-v1-b788479c5-bbg6t_memory,productpage-v1-7fb564989f-8nllv_memory,productpage-v1-7fb564989f-hm9g2_memory,ratings-v1-5b6b66f9b5-n4ddg_memory,reviews-v1-7b76c4f45d-x9mxc_memory,reviews-v3-5fd56449d8-tv4wp_memory,reviews-v2-6ccf99c555-fqvhb_memory,productpage-v1-7fb564989f-8nllv_network,details-v1-b788479c5-bbg6t_network,reviews-v1-7b76c4f45d-x9mxc_network,reviews-v2-6ccf99c555-fqvhb_network,ratings-v1-5b6b66f9b5-n4ddg_network,productpage-v1-7fb564989f-hm9g2_network,reviews-v3-5fd56449d8-tv4wp_network
2024-03-05 17:45:01,5.840622533332862,-1.0,51.48543779999575,1.733143000000344,1.7024628333331293,4.97559899999942,4.794834299999215,18.61632,-1.0,53.354496,22.728704,89.501696,234.041344,227.930112,-1.0,110.25,61.88444444444444,114.48999999999998,87.11111111111113,3492.81,104.03999999999999
2024-03-05 17:45:06,5.840622533332862,-1.0,51.48543779999575,1.733143000000344,1.7024628333331293,4.97559899999942,4.794834299999215,18.61632,-1.0,53.354496,22.728704,89.501696,234.041344,227.930112,-1.0,110.25,61.88444444444444,114.48999999999998,87.11111111111113,3492.81,104.03999999999999
2024-03-05 17:45:11,5.840622533332862,-1.0,51.48543779999575,1.733143000000344,1.7024628333331293,4.97559899999942,4.794834299999215,18.61632,-1.0,53.354496,22.728704,89.501696,234.041344,227.930112,-1.0,110.25,61.88444444444444,114.48999999999998,87.11111111111113,3492.81,104.03999999999999
2024-03-05 17:45:16,5.9688435000074005,-1.0,46.77481596666743,1.733143000000344,1.7024628333331293,4.97559899999942,4.794834299999215,18.61632,-1.0,53.354496,22.728704,89.501696,234.041344,227.930112,-1.0,162.98777777777784,61.88444444444444,114.48999999999998,87.11111111111113,3761.7777777777796,104.03999999999999
2024-03-05 17:45:21,5.9688435000074005,-1.0,46.77481596666743,1.733143000000344,1.7024628333331293,4.97559899999942,3.964103700000502,18.61632,-1.0,53.354496,22.728704,89.501696,234.041344,227.975168,-1.0,162.98777777777784,61.88444444444444,149.65444444444444,87.11111111111113,3761.7777777777796,104.03999999999999
2024-03-05 17:45:26,5.9688435000074,-1.0,46.774815966667425,1.428182899999797,2.691392233333545,5.203281633333745,3.964103700000502,18.61632,-1.0,53.354496,22.77376,89.300992,234.012672,227.975168,-1.0,162.9877777777778,16.267777777777777,149.65444444444444,121.0,3761.7777777777783,121.0
2024-03-05 17:45:31,5.9688435000074,-1.0,46.774815966667425,1.428182899999797,2.691392233333545,5.203281633333745,3.964103700000502,18.61632,-1.0,53.354496,22.77376,89.300992,234.012672,227.975168,-1.0,162.9877777777778,16.267777777777777,149.65444444444444,121.0,3761.7777777777783,121.0
2024-03-05 17:45:36,5.9688435000074,-1.0,46.774815966667425,1.428182899999797,2.691392233333545,5.203281633333745,3.964103700000502,18.61632,-1.0,53.354496,22.77376,89.300992,234.012672,227.975168,-1.0,162.9877777777778,16.267777777777777,149.65444444444444,121.0,3761.7777777777783,121.0
2024-03-05 17:45:41,5.9688435000074,-1.0,46.774815966667425,1.428182899999797,2.691392233333545,5.203281633333745,3.964103700000502,18.61632,-1.0,53.354496,22.77376,89.300992,234.012672,227.975168,-1.0,162.9877777777778,16.267777777777777,149.65444444444444,121.0,3761.7777777777783,121.0
2024-03-05 17:45:46,5.921255299987632,-1.0,49.797129499999464,1.428182899999797,2.691392233333545,5.203281633333745,3.964103700000502,18.61632,-1.0,53.583872,22.77376,89.300992,234.012672,227.975168,-1.0,159.60111111111115,16.267777777777777,149.65444444444444,121.0,3006.694444444446,121.0
