timestamp,details-v1,productpage-v1,ratings-v1,reviews-v1,reviews-v2,reviews-v3
2024-03-11 00:53:04,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-11 00:53:09,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-11 00:53:14,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-11 00:53:19,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-11 00:53:24,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-11 00:53:29,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-11 00:53:34,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-11 00:53:39,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-11 00:53:44,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-11 00:53:49,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-11 00:53:54,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-11 00:53:59,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-11 00:54:04,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-11 00:54:09,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-11 00:54:14,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-11 00:54:19,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-11 00:54:24,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-11 00:54:29,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-11 00:54:34,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-11 00:54:39,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-11 00:54:44,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-11 00:54:49,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-11 00:54:54,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-11 00:54:59,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-11 00:55:04,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-11 00:55:09,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-11 00:55:14,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-11 00:55:19,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-11 00:55:24,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-11 00:55:29,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-11 00:55:34,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-11 00:55:39,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-11 00:55:44,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-11 00:55:49,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-11 00:55:54,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-11 00:55:59,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-11 00:56:04,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-11 00:56:09,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-11 00:56:14,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-11 00:56:19,1.0,1.0,1.0,1.0,1.0,1.0
