timestamp,details-v1-b788479c5-bbg6t_cpu,productpage-v1-7fb564989f-lvdk6_cpu,ratings-v1-5b6b66f9b5-7bln6_cpu,reviews-v1-7b76c4f45d-s5dnq_cpu,reviews-v3-5fd56449d8-tv4wp_cpu,reviews-v2-7b4f9d8cb4-hnbzm_cpu,reviews-v2-7b4f9d8cb4-h79qd_cpu,details-v1-b788479c5-bbg6t_memory,productpage-v1-7fb564989f-lvdk6_memory,ratings-v1-5b6b66f9b5-7bln6_memory,reviews-v1-7b76c4f45d-s5dnq_memory,reviews-v3-5fd56449d8-tv4wp_memory,reviews-v2-7b4f9d8cb4-hnbzm_memory,reviews-v2-7b4f9d8cb4-h79qd_memory,ratings-v1-5b6b66f9b5-7bln6_network,reviews-v2-7b4f9d8cb4-h79qd_network,reviews-v2-7b4f9d8cb4-hnbzm_network,details-v1-b788479c5-bbg6t_network,reviews-v3-5fd56449d8-tv4wp_network,productpage-v1-7fb564989f-lvdk6_network,reviews-v1-7b76c4f45d-s5dnq_network
2024-03-07 05:44:01,5.975272466669898,27.621146733326896,1.6280337333341777,2.0562405666661716,523.0765464000038,2.4139967999985856,-1.0,24.92416,56.348672,13.488128,93.53216,627.703808,103.317504,-1.0,98.01,-1.0,121.0,165.5511111111111,162.9877777777778,3317.76,33.254444444444445
2024-03-07 05:44:06,5.975272466669898,27.621146733326896,1.6280337333341777,2.0562405666661716,523.0765464000038,2.4139967999985856,-1.0,24.92416,56.348672,13.488128,93.53216,627.703808,103.317504,-1.0,98.01,-1.0,121.0,165.5511111111111,162.9877777777778,3317.76,33.254444444444445
2024-03-07 05:44:11,5.975272466669898,27.621146733326896,1.6280337333341777,2.0562405666661716,523.0765464000038,2.4139967999985856,-1.0,24.92416,56.348672,13.488128,93.53216,627.703808,103.317504,-1.0,98.01,-1.0,121.0,165.5511111111111,162.9877777777778,3317.76,33.254444444444445
2024-03-07 05:44:16,3.3905559666739777,52.52875503332084,1.265719633333144,2.0562405666661716,523.0765464000038,3.8578450333337373,-1.0,24.92416,56.446976,13.705216,93.53216,627.703808,103.387136,-1.0,113.7777777777778,-1.0,108.16000000000004,51.840000000000025,162.9877777777778,2952.111111111113,33.254444444444445
2024-03-07 05:44:21,3.3905559666739777,52.52875503332084,1.265719633333144,2.0562405666661716,523.0765464000038,3.8578450333337373,-1.0,24.92416,56.446976,13.705216,93.53216,627.703808,103.387136,-1.0,113.7777777777778,-1.0,108.16000000000004,51.840000000000025,162.9877777777778,2952.111111111113,33.254444444444445
2024-03-07 05:44:26,3.3905559666739764,52.52875503332082,1.2657196333331437,1.8891626666667587,802.8560822999983,3.8578450333337364,-1.0,24.92416,56.446976,13.705216,93.53216,627.703808,103.387136,-1.0,113.77777777777777,-1.0,108.16000000000001,51.84,251.75111111111113,2952.1111111111113,28.444444444444443
2024-03-07 05:44:31,3.3905559666739764,52.52875503332082,1.2657196333331437,1.8891626666667587,802.8560822999983,3.8578450333337364,-1.0,24.92416,56.446976,13.705216,93.53216,627.703808,103.387136,-1.0,113.77777777777777,-1.0,108.16000000000001,51.84,251.75111111111113,2952.1111111111113,28.444444444444443
2024-03-07 05:44:36,3.3905559666739764,52.52875503332082,1.2657196333331437,1.8891626666667587,802.8560822999983,3.8578450333337364,-1.0,24.92416,56.446976,13.705216,93.53216,627.703808,103.387136,-1.0,113.77777777777777,-1.0,108.16000000000001,51.84,251.75111111111113,2952.1111111111113,28.444444444444443
2024-03-07 05:44:41,3.3905559666739764,52.52875503332082,1.2657196333331437,1.8891626666667587,802.8560822999983,3.8578450333337364,-1.0,24.92416,56.446976,13.705216,93.53216,627.703808,103.387136,-1.0,113.77777777777777,-1.0,108.16000000000001,51.84,251.75111111111113,2952.1111111111113,28.444444444444443
2024-03-07 05:44:46,6.2033047333291815,49.23160736667949,1.32753606666635,1.8891626666667587,802.8560822999983,3.9844060333318048,-1.0,24.92416,56.348672,14.041088,93.53216,627.703808,103.579648,-1.0,87.73444444444449,-1.0,53.29000000000002,254.93444444444455,251.75111111111113,4143.067777777781,28.444444444444443
2024-03-07 05:44:51,6.2033047333291815,49.23160736667949,1.32753606666635,1.8891626666667587,802.8560822999983,3.9844060333318048,-1.0,24.92416,56.348672,14.041088,93.53216,627.703808,103.579648,-1.0,87.73444444444449,-1.0,53.29000000000002,254.93444444444455,251.75111111111113,4143.067777777781,28.444444444444443
