timestamp,details-v1-b788479c5-bbg6t_cpu,productpage-v1-7fb564989f-lvdk6_cpu,ratings-v1-5b6b66f9b5-7bln6_cpu,reviews-v1-7b76c4f45d-44qvv_cpu,reviews-v1-7b76c4f45d-zfc5k_cpu,reviews-v3-5fd56449d8-tv4wp_cpu,reviews-v2-6ccf99c555-fqvhb_cpu,details-v1-b788479c5-bbg6t_memory,productpage-v1-7fb564989f-lvdk6_memory,ratings-v1-5b6b66f9b5-7bln6_memory,reviews-v1-7b76c4f45d-44qvv_memory,reviews-v1-7b76c4f45d-zfc5k_memory,reviews-v3-5fd56449d8-tv4wp_memory,reviews-v2-6ccf99c555-fqvhb_memory,details-v1-b788479c5-bbg6t_network,reviews-v1-7b76c4f45d-44qvv_network,ratings-v1-5b6b66f9b5-7bln6_network,reviews-v2-6ccf99c555-fqvhb_network,reviews-v3-5fd56449d8-tv4wp_network,productpage-v1-7fb564989f-lvdk6_network,reviews-v1-7b76c4f45d-zfc5k_network
2024-03-06 10:30:05,5.495219166671934,40.16609343332978,2.056325433333465,-1.0,9.993314566666692,4.221231033333576,4.00847183333326,24.530944,56.451072,8.392704,-1.0,82.743296,442.08128,425.734144,190.43999999999997,-1.0,63.46777777777776,129.96,266.7777777777777,2281.6544444444435,16.81
2024-03-06 10:30:10,5.4952191666719346,40.166093433329785,2.056325433333465,-1.0,9.993314566666692,4.221231033333576,4.482689999999441,24.530944,56.451072,8.392704,-1.0,82.743296,442.08128,425.897984,190.44000000000003,-1.0,63.467777777777776,158.76,266.7777777777777,2281.6544444444444,16.81
2024-03-06 10:30:15,5.4952191666719346,40.166093433329785,2.056325433333465,-1.0,9.993314566666692,4.221231033333576,4.482689999999441,24.530944,56.451072,8.392704,-1.0,82.743296,442.08128,425.897984,190.44000000000003,-1.0,63.467777777777776,158.76,266.7777777777777,2281.6544444444444,16.81
2024-03-06 10:30:20,5.4952191666719346,40.166093433329785,2.056325433333465,-1.0,9.993314566666692,4.221231033333576,4.482689999999441,24.530944,56.451072,8.392704,-1.0,82.743296,442.08128,425.897984,190.44000000000003,-1.0,63.467777777777776,158.76,266.7777777777777,2281.6544444444444,16.81
2024-03-06 10:30:25,5.4952191666719346,40.166093433329785,2.056325433333465,-1.0,9.993314566666692,4.221231033333576,4.482689999999441,24.530944,56.451072,8.392704,-1.0,82.743296,442.08128,425.897984,190.44000000000003,-1.0,63.467777777777776,158.76,266.7777777777777,2281.6544444444444,16.81
2024-03-06 10:30:30,5.4952191666719346,40.166093433329785,2.056325433333465,-1.0,15.300187333333307,4.036847633331794,4.482689999999441,24.530944,56.451072,8.392704,-1.0,84.959232,443.154432,425.897984,190.44000000000003,-1.0,63.467777777777776,158.76,126.18777777777775,2281.6544444444444,24.010000000000005
2024-03-06 10:30:35,4.762764866654833,41.33820226667618,0.9340292999998684,-1.0,15.300187333333307,4.036847633331794,4.482689999999441,24.530944,56.459264,8.364032,-1.0,84.959232,443.154432,425.897984,154.58777777777775,-1.0,100.66777777777774,158.76,126.18777777777775,4040.7211111111096,24.010000000000005
2024-03-06 10:30:40,4.762764866654834,41.338202266676184,0.9340292999998685,-1.0,15.300187333333307,4.036847633331794,1.9937295000014883,24.530944,56.459264,8.364032,-1.0,84.959232,443.154432,425.94304,154.58777777777777,-1.0,100.66777777777777,115.92111111111113,126.18777777777775,4040.7211111111114,24.010000000000005
2024-03-06 10:30:45,4.762764866654834,41.338202266676184,0.9340292999998685,-1.0,15.300187333333307,4.036847633331794,1.9937295000014883,24.530944,56.459264,8.364032,-1.0,84.959232,443.154432,425.94304,154.58777777777777,-1.0,100.66777777777777,115.92111111111113,126.18777777777775,4040.7211111111114,24.010000000000005
2024-03-06 10:30:50,4.762764866654834,41.338202266676184,0.9340292999998685,-1.0,15.300187333333307,4.036847633331794,1.9937295000014883,24.530944,56.459264,8.364032,-1.0,84.959232,443.154432,425.94304,154.58777777777777,-1.0,100.66777777777777,115.92111111111113,126.18777777777775,4040.7211111111114,24.010000000000005
