timestamp,details-v1-b788479c5-bbg6t_cpu,productpage-v1-7fb564989f-lvdk6_cpu,ratings-v1-5b6b66f9b5-7bln6_cpu,reviews-v1-7b76c4f45d-s5dnq_cpu,reviews-v2-7b4f9d8cb4-rgbs6_cpu,reviews-v3-5fd56449d8-tv4wp_cpu,reviews-v2-7b4f9d8cb4-r2dhw_cpu,details-v1-b788479c5-bbg6t_memory,productpage-v1-7fb564989f-lvdk6_memory,ratings-v1-5b6b66f9b5-7bln6_memory,reviews-v1-7b76c4f45d-s5dnq_memory,reviews-v2-7b4f9d8cb4-rgbs6_memory,reviews-v3-5fd56449d8-tv4wp_memory,reviews-v2-7b4f9d8cb4-r2dhw_memory,reviews-v1-7b76c4f45d-s5dnq_network,reviews-v2-7b4f9d8cb4-r2dhw_network,productpage-v1-7fb564989f-lvdk6_network,details-v1-b788479c5-bbg6t_network,ratings-v1-5b6b66f9b5-7bln6_network,reviews-v3-5fd56449d8-tv4wp_network,reviews-v2-7b4f9d8cb4-rgbs6_network
2024-03-07 09:59:02,2.446814166675419,47.2674199000115,0.8673603999985365,2.543540933333096,3.309875166667098,0.4620090999803021,-1.0,24.9856,56.881152,12.627968,95.543296,113.917952,662.421504,-1.0,36.0,-1.0,6277.921111111112,210.25,38.02777777777778,393.3611111111111,126.9377777777778
2024-03-07 09:59:07,2.446814166675419,47.2674199000115,0.8673603999985365,2.543540933333096,3.309875166667098,0.4620090999803021,-1.0,24.9856,56.881152,12.627968,95.543296,113.917952,662.421504,-1.0,36.0,-1.0,6277.921111111112,210.25,38.02777777777778,393.3611111111111,126.9377777777778
2024-03-07 09:59:12,2.446814166675419,47.2674199000115,0.8673603999985365,2.543540933333096,3.309875166667098,0.4620090999803021,-1.0,24.9856,56.881152,12.627968,95.543296,113.917952,662.421504,-1.0,36.0,-1.0,6277.921111111112,210.25,38.02777777777778,393.3611111111111,126.9377777777778
2024-03-07 09:59:17,5.636432666657736,44.31341286666188,0.9637372000004994,2.543540933333096,3.309875166667098,0.4620090999803021,-1.0,24.9856,56.963072,12.509184,95.543296,113.917952,662.421504,-1.0,36.0,-1.0,8118.010000000001,37.617777777777796,165.55111111111123,393.3611111111111,126.9377777777778
2024-03-07 09:59:22,5.636432666657736,44.31341286666188,0.9637372000004994,2.543540933333096,3.309875166667098,0.4620090999803021,-1.0,24.9856,56.963072,12.509184,95.543296,113.917952,662.421504,-1.0,36.0,-1.0,8118.010000000001,37.617777777777796,165.55111111111123,393.3611111111111,126.9377777777778
2024-03-07 09:59:27,5.636432666657735,44.31341286666187,0.9637372000004992,2.247042700000179,6.62454529999934,48.34399430001213,-1.0,24.9856,56.963072,12.509184,95.543296,114.003968,662.421504,-1.0,118.81,-1.0,8118.009999999999,37.61777777777778,165.5511111111111,816.0544444444445,287.86777777777775
2024-03-07 09:59:32,5.636432666657735,44.31341286666187,0.9637372000004992,2.247042700000179,6.62454529999934,48.34399430001213,-1.0,24.9856,56.963072,12.509184,95.543296,114.003968,662.421504,-1.0,118.81,-1.0,8118.009999999999,37.61777777777778,165.5511111111111,816.0544444444445,287.86777777777775
2024-03-07 09:59:37,5.636432666657735,44.31341286666187,0.9637372000004992,2.247042700000179,6.62454529999934,48.34399430001213,-1.0,24.9856,56.963072,12.509184,95.543296,114.003968,662.421504,-1.0,118.81,-1.0,8118.009999999999,37.61777777777778,165.5511111111111,816.0544444444445,287.86777777777775
2024-03-07 09:59:42,5.636432666657735,44.31341286666187,0.9637372000004992,2.247042700000179,6.62454529999934,48.34399430001213,-1.0,24.9856,56.963072,12.509184,95.543296,114.003968,662.421504,-1.0,118.81,-1.0,8118.009999999999,37.61777777777778,165.5511111111111,816.0544444444445,287.86777777777775
2024-03-07 09:59:47,4.442706600002567,48.92213403333397,0.8572930333343722,2.247042700000179,6.62454529999934,48.34399430001213,-1.0,24.9856,57.28256,12.279808,95.543296,114.003968,662.421504,-1.0,118.81,-1.0,6950.001111111114,214.13444444444454,36.000000000000014,816.0544444444445,287.86777777777775
