timestamp,details-v1-b788479c5-bbg6t_cpu,productpage-v1-7fb564989f-xslvc_cpu,ratings-v1-5b6b66f9b5-xwzrp_cpu,ratings-v1-5b6b66f9b5-7bln6_cpu,reviews-v1-7b76c4f45d-phxww_cpu,reviews-v2-7b4f9d8cb4-prbfv_cpu,reviews-v3-5fd56449d8-npw75_cpu,details-v1-b788479c5-bbg6t_memory,productpage-v1-7fb564989f-xslvc_memory,ratings-v1-5b6b66f9b5-xwzrp_memory,ratings-v1-5b6b66f9b5-7bln6_memory,reviews-v1-7b76c4f45d-phxww_memory,reviews-v2-7b4f9d8cb4-prbfv_memory,reviews-v3-5fd56449d8-npw75_memory,reviews-v2-7b4f9d8cb4-prbfv_network,ratings-v1-5b6b66f9b5-xwzrp_network,reviews-v1-7b76c4f45d-phxww_network,reviews-v3-5fd56449d8-npw75_network,details-v1-b788479c5-bbg6t_network,productpage-v1-7fb564989f-xslvc_network,ratings-v1-5b6b66f9b5-7bln6_network
2024-03-11 07:54:01,6.21165674178952,66.61422409999128,-1.0,1.8346874499904757,1.6064823000003041,4.4548037333337716,5.823186633333913,25.227264,55.676928,-1.0,15.007744,83.730432,260.288512,258.093056,144.8011111111111,-1.0,25.67111111111111,160.44444444444443,186.8774324526907,5913.610000000001,128.51297555937563
2024-03-11 07:54:06,6.21165674178952,66.61422409999128,-1.0,1.8346874499904757,1.6064823000003041,4.4548037333337716,5.823186633333913,25.227264,55.676928,-1.0,15.007744,83.730432,260.288512,258.093056,144.8011111111111,-1.0,25.67111111111111,160.44444444444443,186.8774324526907,5913.610000000001,128.51297555937563
2024-03-11 07:54:11,6.21165674178952,66.61422409999128,-1.0,1.8346874499904757,1.6064823000003041,4.4548037333337716,5.823186633333913,25.227264,55.676928,-1.0,15.007744,83.730432,260.288512,258.093056,144.8011111111111,-1.0,25.67111111111111,160.44444444444443,186.8774324526907,5913.610000000001,128.51297555937563
2024-03-11 07:54:16,7.791455933329418,66.61422409999128,-1.0,1.9058421999943682,1.6064823000003041,4.4548037333337716,5.823186633333913,25.23136,55.676928,-1.0,14.426112,83.730432,260.288512,258.093056,144.8011111111111,-1.0,25.67111111111111,160.44444444444443,106.77777777777783,5913.610000000001,123.21000000000004
2024-03-11 07:54:21,7.791455933329418,66.61422409999128,-1.0,1.9058421999943682,1.6064823000003041,4.4548037333337716,5.823186633333913,25.23136,55.676928,-1.0,14.426112,83.730432,260.288512,258.093056,144.8011111111111,-1.0,25.67111111111111,160.44444444444443,106.77777777777783,5913.610000000001,123.21000000000004
2024-03-11 07:54:26,7.791455933329416,84.02735953333527,-1.0,1.9058421999943675,1.860389999999749,4.746050766666106,5.267339333333136,25.23136,55.939072,-1.0,14.426112,83.730432,260.411392,258.125824,109.55111111111111,-1.0,50.41,26.351111111111116,106.77777777777779,4391.271111111111,123.21
2024-03-11 07:54:31,7.791455933329416,84.02735953333527,-1.0,1.9058421999943675,1.860389999999749,4.746050766666106,5.267339333333136,25.23136,55.939072,-1.0,14.426112,83.730432,260.411392,258.125824,109.55111111111111,-1.0,50.41,26.351111111111116,106.77777777777779,4391.271111111111,123.21
2024-03-11 07:54:36,7.791455933329416,84.02735953333527,-1.0,1.9058421999943675,1.860389999999749,4.746050766666106,5.267339333333136,25.23136,55.939072,-1.0,14.426112,83.730432,260.411392,258.125824,109.55111111111111,-1.0,50.41,26.351111111111116,106.77777777777779,4391.271111111111,123.21
2024-03-11 07:54:41,7.791455933329416,84.02735953333527,-1.0,1.9058421999943675,1.860389999999749,4.746050766666106,5.267339333333136,25.23136,55.939072,-1.0,14.426112,83.730432,260.411392,258.125824,109.55111111111111,-1.0,50.41,26.351111111111116,106.77777777777779,4391.271111111111,123.21
2024-03-11 07:54:46,7.964143599989865,84.02735953333527,-1.0,1.8651981333429533,1.860389999999749,4.746050766666106,5.267339333333136,25.214976,55.939072,-1.0,15.048704,83.730432,260.411392,258.125824,109.55111111111111,-1.0,50.41,26.351111111111116,169.00000000000009,4391.271111111111,82.81000000000003
