,timestamp,checkoutservice-7d8cb45794-hc2rj&cpu_usage,checkoutservice-7d8cb45794-hc2rj&cpu_limit,checkoutservice-7d8cb45794-hc2rj&mem_usage,checkoutservice-7d8cb45794-hc2rj&mem_usage_rate,checkoutservice-7d8cb45794-hc2rj&fs_usage,checkoutservice-7d8cb45794-hc2rj&net_receive,checkoutservice-7d8cb45794-hc2rj&net_trainsmit,(node)192.168.31.101:9100_network,(node)192.168.31.101:9100_cpu,(node)192.168.31.101:9100_memory
0,1658458071,0.015797573,0.5,107.5195313,1.586671275,0.0,0.352193606,4.015280934,0.0634,0.0435533950572539,0.2174635677758049
1,1658458076,0.014562961,0.5,107.5195313,1.358806451,0.0,0.344810368,4.179499487,0.0634,0.0435533950572539,0.2174635677758049
2,1658458081,0.013919141,0.5,107.5195313,1.239980386,0.0,0.340930486,3.97666026,0.0634,0.0435533950572539,0.2174635677758049
3,1658458086,0.015329884,0.5,107.6757813,1.247252326,0.0,0.340930486,3.97666026,0.0632222222222222,0.0426682776739892,0.2174554311440268
4,1658458091,0.01626699,0.5,107.9570313,1.169415628,0.0,0.356532932,3.937506372,0.0632222222222222,0.0426682776739892,0.2174554311440268
5,1658458096,0.016327679,0.5,107.9570313,0.164367194,0.0,0.276565567,3.054356506,0.0632222222222222,0.0426682776739892,0.2174554311440268
6,1658458101,0.015676392,0.5,107.9570313,0.21976444,0.0,0.246854489,2.726230975,0.0635333333333333,0.0444057221550712,0.2170056089931883
7,1658458106,0.017249035,0.5,107.9296875,1.244102556,0.0,0.333437477,4.406827313,0.0635333333333333,0.0444057221550712,0.2170056089931883
8,1658458111,0.017507071,0.5,107.9296875,1.245123388,0.0,0.333437477,4.406827313,0.0635333333333333,0.0444057221550712,0.2170056089931883
9,1658458116,0.017507071,0.5,107.9296875,1.245123388,0.0,0.333437477,4.406827313,0.0608222222222222,0.0443797795770966,0.2169525994443652
10,1658458121,0.015046691,0.5,107.9414063,1.077059805,0.0,0.335477295,4.20024299,0.0608222222222222,0.0443797795770966,0.2169525994443652
11,1658458126,0.014405535,0.5,107.953125,1.162482164,0.0,0.340329201,4.040249276,0.0608222222222222,0.0443797795770966,0.2169525994443652
12,1658458131,0.017500127,0.5,107.953125,1.488018134,0.0,0.340329201,4.040249276,0.0615111111111111,0.0650505902191179,0.2170697305092906
13,1658458136,0.017095952,0.5,107.9570313,1.432550629,0.0,0.223605659,2.517579643,0.0615111111111111,0.0650505902191179,0.2170697305092906
14,1658458141,0.018532004,0.5,106.9335938,2.961436705,0.0,0.250779533,2.823530722,0.0615111111111111,0.0650505902191179,0.2170697305092906
15,1658458146,0.018397142,0.5,106.9335938,3.512973977,0.0,0.326086491,3.671412947,0.0605777777777777,0.0633044797930435,0.2171655484566479
16,1658458151,0.018121868,0.5,106.9335938,3.200189025,0.0,0.326086491,3.671412947,0.0605777777777777,0.0633044797930435,0.2171655484566479
17,1658458156,0.017908698,0.5,107.2226563,2.64291166,0.0,0.335941982,3.477133982,0.0605777777777777,0.0633044797930435,0.2171655484566479
18,1658458161,0.017731853,0.5,107.2304688,2.08842966,0.0,0.335941982,3.477133982,0.0626444444444444,0.0626457613309345,0.2171192182324187
19,1658458166,0.018234726,0.5,107.2304688,2.844954706,0.0,0.333850574,3.381747959,0.0626444444444444,0.0626457613309345,0.2171192182324187
20,1658458171,0.018305577,0.5,107.1328125,2.573222281,0.0,0.333850574,3.381747959,0.0626444444444444,0.0626457613309345,0.2171192182324187
21,1658458176,0.018599265,0.5,107.5078125,2.167625005,0.0,0.338688219,4.319849413,0.0605333333333333,0.0418681133349363,0.2171382846680779
22,1658458181,0.018292783,0.5,107.5078125,1.178937856,0.0,0.35009792,4.600971244,0.0605333333333333,0.0418681133349363,0.2171382846680779
23,1658458186,0.017052022,0.5,107.4804688,0.329580055,0.0,0.35009792,4.600971244,0.0605333333333333,0.0418681133349363,0.2171382846680779
24,1658458191,0.017636169,0.5,107.8984375,0.333671986,0.0,0.347496978,4.744978068,0.0615333333333333,0.0425824948002232,0.2171145427052029
25,1658458196,0.017706997,0.5,107.8984375,0.48490848,0.0,0.277273405,4.637456679,0.0615333333333333,0.0425824948002232,0.2171145427052029
26,1658458201,0.016654586,0.5,107.8945313,0.520467137,0.0,0.344298228,5.7584611,0.0615333333333333,0.0425824948002232,0.2171145427052029
27,1658458206,0.020171524,0.5,106.578125,2.599288438,0.0,0.326813348,4.690536445,0.0605777777777777,0.0416865776527736,0.2171400455809254
28,1658458211,0.020171524,0.5,106.578125,2.599288438,0.0,0.326813348,4.690536445,0.0605777777777777,0.0416865776527736,0.2171400455809254
29,1658458216,0.020806855,0.5,106.578125,2.792005859,0.0,0.256635583,3.140339786,0.0605777777777777,0.0416865776527736,0.2171400455809254
30,1658458221,0.019142126,0.5,106.578125,3.112183916,0.0,0.334445284,4.084199714,0.0623111111111111,0.0442992623814175,0.2173660496367327
31,1658458226,0.019573355,0.5,106.7070313,2.30832217,0.0,0.334445284,4.084199714,0.0623111111111111,0.0442992623814175,0.2173660496367327
32,1658458231,0.019210078,0.5,106.7070313,2.624709239,0.0,0.334445284,4.084199714,0.0623111111111111,0.0442992623814175,0.2173660496367327
33,1658458236,0.01960751,0.5,106.5859375,3.964657537,0.0,0.333044917,3.6863939,0.0816222222222222,0.0521007694147802,0.2173592488698734
34,1658458241,0.019234388,0.5,106.59375,3.480506317,0.0,0.333763098,3.666763888,0.0816222222222222,0.0521007694147802,0.2173592488698734
35,1658458246,0.017742399,0.5,106.59375,2.744934557,0.0,0.333763098,3.666763888,0.0816222222222222,0.0521007694147802,0.2173592488698734
36,1658458251,0.015378931,0.5,106.59375,1.271805098,0.0,0.356079449,4.074166308,0.0900444444444444,0.0559470064554303,0.2174169339459124
37,1658458256,0.016359749,0.5,106.59375,1.271805098,0.0,0.358526413,3.828667569,0.0900444444444444,0.0559470064554303,0.2174169339459124
38,1658458261,0.016092073,0.5,106.7304688,0.99639694,0.0,0.358526413,3.828667569,0.0900444444444444,0.0559470064554303,0.2174169339459124
39,1658458266,0.01453148,0.5,106.7304688,1.257331906,0.0,0.349049896,3.519255674,0.0938888888888888,0.0552953257090876,0.2176513175180285
40,1658458271,0.014925271,0.5,106.7304688,1.334933539,0.0,0.353220216,3.638772403,0.0938888888888888,0.0552953257090876,0.2176513175180285
41,1658458276,0.014641249,0.5,106.609375,2.105014607,0.0,0.353220216,3.638772403,0.0938888888888888,0.0552953257090876,0.2176513175180285
42,1658458281,0.016611567,0.5,106.609375,1.879210419,0.0,0.362713126,3.64349116,0.0782666666666666,0.0480681386946617,0.2184978308286169
43,1658458286,0.016380534,0.5,106.6679688,1.445479904,0.0,0.349896213,3.724047556,0.0782666666666666,0.0480681386946617,0.2184978308286169
44,1658458291,0.016455647,0.5,106.6640625,1.966280378,0.0,0.349896213,3.724047556,0.0782666666666666,0.0480681386946617,0.2184978308286169
45,1658458296,0.016902326,0.5,106.8632813,1.970527363,0.0,0.349896213,3.724047556,0.0796444444444444,0.0459723237892599,0.2194639647705703
46,1658458301,0.015366097,0.5,106.8007813,3.21389962,0.0,0.341543217,3.932127393,0.0796444444444444,0.0459723237892599,0.2194639647705703
