timestamp,adservice-7659d48d84-xdcfs,cartservice-75d494679c-qdl5c,cartservice-75d494679c-vfldf,checkoutservice-7d8cb45794-hc2rj,checkoutservice-7d8cb45794-vfnmh,currencyservice-588fc9584d-c9hrl,currencyservice-588fc9584d-cl9dm,currencyservice-588fc9584d-l8vxn,emailservice-8848674-b7vr4,emailservice-8848674-j9hwb,frontend-875b86bb8-lq7z8,frontend-875b86bb8-wvlvq,paymentservice-6879f6c8c4-8pbjc,productcatalogservice-5ff5f57dc8-8z7xf,productcatalogservice-5ff5f57dc8-9zfh2,productcatalogservice-5ff5f57dc8-mpw5r,productcatalogservice-5ff5f57dc8-sckzn,productcatalogservice-5ff5f57dc8-sv4x2,recommendationservice-689548cfbd-ml8h2,shippingservice-589dc45c5d-h7pnk,shippingservice-589dc45c5d-sfzzg,shippingservice-589dc45c5d-xdx28
1658458376,15.619863333333335,9.767133333333332,15.112906666666666,0.6836133333333334,1.0750400000000002,24.18245,18.803359999999998,18.547653333333336,1.0427844444444443,0.8772666666666668,9.878663333333334,14.893111111111114,1.3901,25.081377777777774,35.78273555555556,24.92157888888889,34.464216666666665,29.64464222222222,20.82455,2.708693333333333,2.710364444444444,2.7056933333333335
1658458381,18.947641111111114,12.57268888888889,17.79624,0.8836133333333334,1.2528177777777778,29.48800555555555,24.49224888888889,24.319875555555555,1.2150066666666668,1.0439333333333332,12.89533,17.604222222222223,1.8012111111111113,30.45915555555555,41.104957777777784,30.316023333333334,39.780883333333335,34.78908666666666,24.407883333333334,3.3086933333333333,3.2881422222222225,3.305693333333333
1658458386,22.275418888888893,15.378244444444444,20.479573333333335,1.0836133333333333,1.4305955555555556,34.7935611111111,30.181137777777774,30.092097777777777,1.3872288888888886,1.2106,15.911996666666667,20.31533333333333,2.212322222222222,35.836933333333334,46.42717999999999,35.71046777777778,45.09755,39.93353111111111,27.991216666666666,3.908693333333334,3.86592,3.9056933333333337
1658458391,24.83247166666667,17.77468,22.602786666666667,1.2002605555555552,1.6267333333333334,41.010061666666665,35.785301666666676,35.57878666666667,1.6123277777777778,1.3590344444444444,18.371715000000002,21.54140277777778,2.421533333333333,40.14905,39.84178388888889,39.952209999999994,39.69906944444445,44.791445555555555,31.316125000000003,4.241308888888889,4.251002222222223,4.257588333333334
1658458396,28.06302722222222,20.513568888888884,25.194453333333332,1.3863716666666663,1.807288888888889,46.45728388888889,41.460301666666666,41.33712,1.792883333333333,1.5229233333333334,21.296715,24.01084722222222,2.799311111111111,45.365716666666664,44.839006111111104,45.16887666666667,44.685180555555554,49.885889999999996,34.85779166666667,4.802420000000001,4.798224444444445,4.821477222222223
1658458401,31.293582777777786,23.252457777777778,27.786119999999997,1.5724827777777777,1.9878444444444445,51.90450611111111,47.13530166666666,47.095453333333325,1.9734388888888887,1.6868122222222224,24.221715,26.48029166666667,3.177088888888889,50.58238333333334,49.836228333333345,50.38554333333333,49.67129166666666,54.98033444444444,38.39945833333333,5.3635311111111115,5.345446666666667,5.385366111111112
1658458406,33.92684666666667,25.094586666666665,29.94757333333333,1.8669440740740741,2.2306844444444445,57.79704333333332,52.14463888888889,51.92682666666666,2.1972592592592592,2.0720807407407404,26.571109074074073,28.79413888888889,3.756133333333333,55.35967222222222,60.186049999999994,55.290648518518516,60.14130555555555,59.510686666666665,41.64290555555556,5.979506666666667,6.039158518518519,5.976673333333333
1658458411,37.04166148148149,27.735327407407404,30.53333333333333,2.0650922222222223,2.2444444444444445,63.291487777777775,57.74649074074075,57.5675674074074,2.222222222222222,2.2444444444444445,29.43314611111111,29.422222222222224,4.156133333333333,60.53189444444445,60.21382777777777,60.47768555555555,60.16908333333333,60.397290000000005,42.111111111111114,6.546173333333334,6.602121481481482,6.543340000000001
1658458416,38.02222222222222,30.376068148148146,30.53333333333333,2.2632403703703705,2.2444444444444445,65.93333333333332,63.348342592592594,63.20830814814815,2.222222222222222,2.2444444444444445,32.29518314814814,29.422222222222224,4.556133333333333,62.019749999999995,60.24160555555555,62.17750555555555,60.196861111111104,60.400000000000006,42.11111111111111,6.8,6.755555555555555,6.8
1658458421,36.511111111111106,30.177777777777777,29.71111111111111,2.2444444444444445,2.2444444444444445,64.86666666666666,64.82222222222222,64.6,2.311111111111111,2.2444444444444445,31.755555555555553,27.866666666666664,4.488888888888889,59.28357777777777,57.89160555555554,59.410116296296295,58.113527777777776,59.73375629629629,41.68888888888889,6.444444444444445,6.3999999999999995,6.488888888888889
1658458426,36.511111111111106,30.177777777777777,29.71111111111111,2.2444444444444445,2.2444444444444445,64.86666666666666,64.82222222222222,64.6,2.311111111111111,2.2444444444444445,31.755555555555553,27.866666666666664,4.488888888888889,59.288888888888884,57.91111111111111,59.43604222222221,58.133333333333326,59.75555555555555,41.68888888888889,6.444444444444445,6.3999999999999995,6.488888888888889
1658458431,36.511111111111106,30.177777777777777,29.71111111111111,2.2444444444444445,2.2444444444444445,64.86666666666666,64.82222222222222,64.6,2.311111111111111,2.2444444444444445,31.755555555555553,27.866666666666664,4.488888888888889,59.288888888888884,57.91111111111111,59.44444444444444,58.133333333333326,59.75555555555555,41.68888888888888,6.444444444444445,6.3999999999999995,6.488888888888889
