timestamp,details-v1-b788479c5-bbg6t_cpu,productpage-v1-7fb564989f-xslvc_cpu,ratings-v1-5b6b66f9b5-7bln6_cpu,reviews-v1-7b76c4f45d-phxww_cpu,reviews-v2-7b4f9d8cb4-qcktl_cpu,reviews-v3-5fd56449d8-79dvv_cpu,reviews-v3-5fd56449d8-s5wkv_cpu,details-v1-b788479c5-bbg6t_memory,productpage-v1-7fb564989f-xslvc_memory,ratings-v1-5b6b66f9b5-7bln6_memory,reviews-v1-7b76c4f45d-phxww_memory,reviews-v2-7b4f9d8cb4-qcktl_memory,reviews-v3-5fd56449d8-79dvv_memory,reviews-v3-5fd56449d8-s5wkv_memory,reviews-v3-5fd56449d8-79dvv_network,reviews-v3-5fd56449d8-s5wkv_network,details-v1-b788479c5-bbg6t_network,ratings-v1-5b6b66f9b5-7bln6_network,reviews-v2-7b4f9d8cb4-qcktl_network,reviews-v1-7b76c4f45d-phxww_network,productpage-v1-7fb564989f-xslvc_network
2024-03-11 11:19:03,6.623264030136385,52.12329490000229,1.458735769782167,1.759141533333756,5.22687973333357,-1.0,14.929982393543122,25.214976,55.627776,14.700544,92.033024,148.963328,-1.0,98.172928,-1.0,50.44698767531133,121.088782160537,113.15073977445732,85.25444444444443,36.80444444444444,4462.24
2024-03-11 11:19:08,6.623264030136385,52.12329490000229,1.458735769782167,1.759141533333756,5.22687973333357,-1.0,14.929982393543122,25.214976,55.627776,14.700544,92.033024,148.963328,-1.0,98.172928,-1.0,50.44698767531133,121.088782160537,113.15073977445732,85.25444444444443,36.80444444444444,4462.24
2024-03-11 11:19:13,6.623264030136385,52.12329490000229,1.458735769782167,1.759141533333756,5.22687973333357,-1.0,14.929982393543122,25.214976,55.627776,14.700544,92.033024,148.963328,-1.0,98.172928,-1.0,50.44698767531133,121.088782160537,113.15073977445732,85.25444444444443,36.80444444444444,4462.24
2024-03-11 11:19:18,6.949801366681643,52.12329490000229,1.5343775333349188,1.759141533333756,5.22687973333357,-1.0,12.175862033332882,25.214976,55.627776,15.151104,92.033024,148.963328,-1.0,98.353152,-1.0,162.13777777777784,80.40111111111115,54.26777777777781,85.25444444444443,36.80444444444444,4462.24
2024-03-11 11:19:23,6.949801366681643,67.38090313333487,1.5343775333349188,2.3039942666666016,4.565441633333004,-1.0,12.175862033332882,25.214976,55.857152,15.151104,92.033024,149.127168,-1.0,98.353152,-1.0,162.13777777777784,80.40111111111115,54.26777777777781,150.47111111111113,49.467777777777776,6555.601111111111
2024-03-11 11:19:28,6.9498013666816405,67.38090313333487,1.5343775333349186,2.3039942666666016,4.565441633333004,-1.0,12.17586203333288,25.214976,55.857152,15.151104,92.033024,149.127168,-1.0,98.353152,-1.0,162.13777777777776,80.4011111111111,54.26777777777777,150.47111111111113,49.467777777777776,6555.601111111111
2024-03-11 11:19:33,6.9498013666816405,67.38090313333487,1.5343775333349186,2.3039942666666016,4.565441633333004,-1.0,12.17586203333288,25.214976,55.857152,15.151104,92.033024,149.127168,-1.0,98.353152,-1.0,162.13777777777776,80.4011111111111,54.26777777777777,150.47111111111113,49.467777777777776,6555.601111111111
2024-03-11 11:19:38,6.9498013666816405,67.38090313333487,1.5343775333349186,2.3039942666666016,4.565441633333004,-1.0,12.17586203333288,25.214976,55.857152,15.151104,92.033024,149.127168,-1.0,98.353152,-1.0,162.13777777777776,80.4011111111111,54.26777777777777,150.47111111111113,49.467777777777776,6555.601111111111
2024-03-11 11:19:43,6.9498013666816405,67.38090313333487,1.5343775333349186,2.3039942666666016,4.565441633333004,-1.0,12.17586203333288,25.214976,55.857152,15.151104,92.033024,149.127168,-1.0,98.353152,-1.0,162.13777777777776,80.4011111111111,54.26777777777777,150.47111111111113,49.467777777777776,6555.601111111111
2024-03-11 11:19:48,4.494124700007282,67.38090313333487,1.738087033330279,2.3039942666666016,4.565441633333004,-1.0,10.556760600000343,25.214976,55.857152,14.721024,92.033024,149.127168,-1.0,98.422784,-1.0,122.47111111111114,236.13444444444457,147.2177777777778,150.47111111111113,49.467777777777776,6555.601111111111
