timestamp,details-v1-b788479c5-bbg6t_cpu,productpage-v1-7fb564989f-lvdk6_cpu,ratings-v1-5b6b66f9b5-7bln6_cpu,reviews-v1-7b76c4f45d-s5dnq_cpu,reviews-v2-7b4f9d8cb4-rgbs6_cpu,reviews-v3-5fd56449d8-tv4wp_cpu,reviews-v3-5fd56449d8-gbpqt_cpu,details-v1-b788479c5-bbg6t_memory,productpage-v1-7fb564989f-lvdk6_memory,ratings-v1-5b6b66f9b5-7bln6_memory,reviews-v1-7b76c4f45d-s5dnq_memory,reviews-v2-7b4f9d8cb4-rgbs6_memory,reviews-v3-5fd56449d8-tv4wp_memory,reviews-v3-5fd56449d8-gbpqt_memory,productpage-v1-7fb564989f-lvdk6_network,reviews-v3-5fd56449d8-tv4wp_network,reviews-v1-7b76c4f45d-s5dnq_network,ratings-v1-5b6b66f9b5-7bln6_network,reviews-v3-5fd56449d8-gbpqt_network,details-v1-b788479c5-bbg6t_network,reviews-v2-7b4f9d8cb4-rgbs6_network
2024-03-07 12:44:03,4.799012066663029,44.174525899992055,0.9417695333316564,1.7022161999998768,4.477365900000526,0.19458996666799067,-1.0,24.969216,56.860672,12.71808,90.488832,149.377024,639.639552,-1.0,8034.134444444446,400.0,58.26777777777778,57.25444444444444,-1.0,135.33444444444444,158.76
2024-03-07 12:44:08,4.799012066663029,44.174525899992055,0.9417695333316564,1.7022161999998768,4.477365900000526,0.19458996666799067,-1.0,24.969216,56.860672,12.71808,90.488832,149.377024,639.639552,-1.0,8034.134444444446,400.0,58.26777777777778,57.25444444444444,-1.0,135.33444444444444,158.76
2024-03-07 12:44:13,4.799012066663029,44.174525899992055,0.9417695333316564,1.7022161999998768,4.477365900000526,0.19458996666799067,-1.0,24.969216,56.860672,12.71808,90.488832,149.377024,639.639552,-1.0,8034.134444444446,400.0,58.26777777777778,57.25444444444444,-1.0,135.33444444444444,158.76
2024-03-07 12:44:18,3.6417601666623045,42.815537500003614,0.8588126666685035,1.7022161999998768,4.477365900000526,0.19458996666799067,-1.0,24.9856,57.212928,12.570624,90.488832,149.377024,639.639552,-1.0,6262.084444444447,400.0,58.26777777777778,45.7877777777778,-1.0,120.26777777777782,158.76
2024-03-07 12:44:23,3.6417601666623045,42.815537500003614,0.8588126666685035,2.3521798333329493,6.791770866666032,0.24123799997444925,-1.0,24.9856,57.212928,12.570624,90.488832,152.211456,639.639552,-1.0,6262.084444444447,412.09000000000003,21.159999999999997,45.7877777777778,-1.0,120.26777777777782,52.321111111111115
2024-03-07 12:44:28,3.6417601666623036,42.8155375000036,0.8588126666685033,2.3521798333329493,6.791770866666032,0.24123799997444925,-1.0,24.9856,57.212928,12.570624,90.488832,152.211456,639.639552,-1.0,6262.084444444446,412.09000000000003,21.159999999999997,45.78777777777778,-1.0,120.26777777777778,52.321111111111115
2024-03-07 12:44:33,3.6417601666623036,42.8155375000036,0.8588126666685033,2.3521798333329493,6.791770866666032,0.24123799997444925,-1.0,24.9856,57.212928,12.570624,90.488832,152.211456,639.639552,-1.0,6262.084444444446,412.09000000000003,21.159999999999997,45.78777777777778,-1.0,120.26777777777778,52.321111111111115
2024-03-07 12:44:38,3.6417601666623036,42.8155375000036,0.8588126666685033,2.3521798333329493,6.791770866666032,0.24123799997444925,-1.0,24.9856,57.212928,12.570624,90.488832,152.211456,639.639552,-1.0,6262.084444444446,412.09000000000003,21.159999999999997,45.78777777777778,-1.0,120.26777777777778,52.321111111111115
2024-03-07 12:44:43,3.6417601666623036,42.8155375000036,0.8588126666685033,2.3521798333329493,6.791770866666032,0.24123799997444925,-1.0,24.9856,57.212928,12.570624,90.488832,152.211456,639.639552,-1.0,6262.084444444446,412.09000000000003,21.159999999999997,45.78777777777778,-1.0,120.26777777777778,52.321111111111115
2024-03-07 12:44:48,5.337159366672496,51.69284186664907,1.0032077999994728,2.3521798333329493,6.791770866666032,0.24123799997444925,-1.0,24.9856,56.901632,12.468224,90.488832,152.211456,639.639552,-1.0,4138.777777777779,412.09000000000003,21.159999999999997,45.7877777777778,-1.0,113.7777777777778,52.321111111111115
