timestamp,details-v1&p50,productpage-v1&p50,ratings-v1&p50,reviews-v1&p50,reviews-v2&p50,reviews-v3&p50,details-v1&p90,productpage-v1&p90,ratings-v1&p90,reviews-v1&p90,reviews-v2&p90,reviews-v3&p90,details-v1&p99,productpage-v1&p99,ratings-v1&p99,reviews-v1&p99,reviews-v2&p99,reviews-v3&p99
2024-03-07 12:59:03,0.3962264150943396,23.404255319148938,0.25,0.29285714285714287,7.2368421052631575,3281.25,38.333333333333336,4421.052631578948,0.45,2.266666666666665,9.447368421052632,4656.25,48.83333333333333,8950.0,0.495,4.726666666666666,9.944736842105263,4965.625
2024-03-07 12:59:08,0.3962264150943396,23.404255319148938,0.25,0.29285714285714287,7.2368421052631575,3281.25,38.333333333333336,4421.052631578948,0.45,2.266666666666665,9.447368421052632,4656.25,48.83333333333333,8950.0,0.495,4.726666666666666,9.944736842105263,4965.625
2024-03-07 12:59:13,0.4035087719298246,23.404255319148938,0.25,0.3161764705882353,7.2368421052631575,3437.5,35.62500000000001,4421.052631578948,0.45,3.0888888888888895,9.447368421052632,4687.5,48.56249999999999,8950.0,0.495,4.808888888888889,9.944736842105263,4968.75
2024-03-07 12:59:18,0.4035087719298246,22.735849056603776,0.25,0.3161764705882353,6.724137931034482,3437.5,35.62500000000001,5000.0,0.45,3.0888888888888895,9.482758620689655,4687.5,48.56249999999999,9499.999999999996,0.495,4.808888888888889,18.99999999999994,4968.75
2024-03-07 12:59:23,0.4035087719298246,22.735849056603776,0.25,0.3161764705882353,6.724137931034482,3437.5,35.62500000000001,5000.0,0.45,3.0888888888888895,9.482758620689655,4687.5,48.56249999999999,9499.999999999996,0.495,4.808888888888889,18.99999999999994,4968.75
2024-03-07 12:59:28,0.423076923076923,22.735849056603776,0.25,0.3088235294117647,6.724137931034482,3200.0,31.666666666666657,5000.0,0.45,2.9000000000000012,9.482758620689655,4640.0,48.16666666666667,9499.999999999996,0.495,4.789999999999999,18.99999999999994,4964.0
2024-03-07 12:59:33,0.423076923076923,60.71428571428572,0.25,0.3088235294117647,7.105263157894736,3200.0,31.666666666666657,4350.000000000002,0.45,2.9000000000000012,9.421052631578949,4640.0,48.16666666666667,8849.999999999996,0.495,4.789999999999999,9.942105263157895,4964.0
2024-03-07 12:59:38,0.423076923076923,60.71428571428572,0.25,0.3088235294117647,7.105263157894736,3200.0,31.666666666666657,4350.000000000002,0.45,2.9000000000000012,9.421052631578949,4640.0,48.16666666666667,8849.999999999996,0.495,4.789999999999999,9.942105263157895,4964.0
2024-03-07 12:59:43,0.4017857142857143,60.71428571428572,0.25,0.3055555555555555,7.105263157894736,3020.833333333333,37.50000000000001,4350.000000000002,0.45,2.799999999999999,9.421052631578949,4604.166666666666,48.749999999999986,8849.999999999996,0.495,4.780000000000001,9.942105263157895,4960.416666666667
2024-03-07 12:59:48,0.4017857142857143,24.375,0.25,0.3055555555555555,7.307692307692308,3020.833333333333,37.50000000000001,4500.000000000001,0.45,2.799999999999999,9.461538461538462,4604.166666666666,48.749999999999986,9079.999999999996,0.495,4.780000000000001,9.946153846153846,4960.416666666667
2024-03-07 12:59:53,0.4017857142857143,24.375,0.25,0.3055555555555555,7.307692307692308,3020.833333333333,37.50000000000001,4500.000000000001,0.45,2.799999999999999,9.461538461538462,4604.166666666666,48.749999999999986,9079.999999999996,0.495,4.780000000000001,9.946153846153846,4960.416666666667
2024-03-07 12:59:58,0.3903508771929825,24.375,0.25,0.2785714285714286,7.307692307692308,3522.7272727272725,36.09375000000002,4500.000000000001,0.45,1.1000000000000023,9.461538461538462,4704.545454545455,48.60937500000001,9079.999999999996,0.495,4.609999999999996,9.946153846153846,4970.454545454545
2024-03-07 13:00:03,0.3903508771929825,22.599999999999998,0.25,0.2785714285714286,6.838235294117647,3522.7272727272725,36.09375000000002,4468.75,0.45,1.1000000000000023,9.367647058823529,4704.545454545455,48.60937500000001,9160.0,0.495,4.609999999999996,9.936764705882354,4970.454545454545
2024-03-07 13:00:08,0.3903508771929825,22.599999999999998,0.25,0.2785714285714286,6.838235294117647,3522.7272727272725,36.09375000000002,4468.75,0.45,1.1000000000000023,9.367647058823529,4704.545454545455,48.60937500000001,9160.0,0.495,4.609999999999996,9.936764705882354,4970.454545454545
2024-03-07 13:00:13,0.38333333333333336,22.599999999999998,0.25,0.3382352941176471,6.838235294117647,3125.0,4.96521739130435,4468.75,0.45,3.960000000000002,9.367647058823529,4625.0,47.44444444444443,9160.0,0.495,18.09999999999998,9.936764705882354,4962.5
2024-03-07 13:00:18,0.38333333333333336,24.6875,0.25,0.3382352941176471,7.55813953488372,3125.0,4.96521739130435,4468.75,0.45,3.960000000000002,9.604651162790697,4625.0,47.44444444444443,9216.666666666664,0.495,18.09999999999998,18.400000000000006,4962.5
2024-03-07 13:00:23,0.38333333333333336,24.6875,0.25,0.3382352941176471,7.55813953488372,3125.0,4.96521739130435,4468.75,0.44999999999999996,3.960000000000002,9.604651162790697,4625.0,47.44444444444443,9216.666666666664,0.495,18.09999999999998,18.400000000000006,4962.5
2024-03-07 13:00:28,0.35937500000000006,24.6875,0.25,0.3620689655172414,7.55813953488372,3427.4193548387098,36.47058823529412,4468.75,0.44999999999999996,4.52,9.604651162790697,4685.483870967742,48.647058823529406,9216.666666666664,0.495,186.99999999999972,18.400000000000006,4968.548387096775
