timestamp,details-v1-b788479c5-2bz44_cpu,details-v1-b788479c5-bbg6t_cpu,productpage-v1-7fb564989f-hm9g2_cpu,ratings-v1-5b6b66f9b5-n4ddg_cpu,reviews-v1-7b76c4f45d-x9mxc_cpu,reviews-v3-5fd56449d8-tv4wp_cpu,reviews-v2-6ccf99c555-fqvhb_cpu,details-v1-b788479c5-2bz44_memory,details-v1-b788479c5-bbg6t_memory,productpage-v1-7fb564989f-hm9g2_memory,ratings-v1-5b6b66f9b5-n4ddg_memory,reviews-v1-7b76c4f45d-x9mxc_memory,reviews-v3-5fd56449d8-tv4wp_memory,reviews-v2-6ccf99c555-fqvhb_memory,productpage-v1-7fb564989f-hm9g2_network,reviews-v2-6ccf99c555-fqvhb_network,details-v1-b788479c5-bbg6t_network,reviews-v1-7b76c4f45d-x9mxc_network,ratings-v1-5b6b66f9b5-n4ddg_network,details-v1-b788479c5-2bz44_network,reviews-v3-5fd56449d8-tv4wp_network
2024-03-05 14:34:00,-1.0,5.42133769999964,35.74258310000005,1.4212229999998272,2.054842000000197,4.9443350666668575,4.17865526666598,-1.0,17.313792,53.346304,17.59232,91.041792,200.33536,189.345792,2580.64,66.69444444444443,230.02777777777777,20.25,50.88444444444445,-1.0,114.48999999999998
2024-03-05 14:34:05,-1.0,2.939611266659388,36.36734869999903,1.4212229999998272,2.054842000000197,4.9443350666668575,4.17865526666598,-1.0,17.313792,53.32992,17.59232,91.041792,200.33536,189.345792,969.2844444444441,66.69444444444443,63.46777777777776,20.25,50.88444444444445,-1.0,114.48999999999998
2024-03-05 14:34:10,-1.0,2.9396112666593885,36.367348699999035,1.4212229999998272,2.054842000000197,4.9443350666668575,5.304429700000431,-1.0,17.313792,53.32992,17.59232,91.041792,200.33536,189.468672,969.2844444444444,90.25,63.467777777777776,20.25,50.88444444444445,-1.0,114.48999999999998
2024-03-05 14:34:15,-1.0,2.9396112666593885,36.367348699999035,1.4212229999998272,2.054842000000197,4.9443350666668575,5.304429700000431,-1.0,17.313792,53.32992,17.59232,91.041792,200.33536,189.468672,969.2844444444444,90.25,63.467777777777776,20.25,50.88444444444445,-1.0,114.48999999999998
2024-03-05 14:34:20,-1.0,2.9396112666593885,36.367348699999035,1.4212229999998272,2.054842000000197,4.9443350666668575,5.304429700000431,-1.0,17.313792,53.32992,17.59232,91.041792,200.33536,189.468672,969.2844444444444,90.25,63.467777777777776,20.25,50.88444444444445,-1.0,114.48999999999998
2024-03-05 14:34:25,-1.0,2.9396112666593885,36.367348699999035,1.4212229999998272,2.054842000000197,4.9443350666668575,5.304429700000431,-1.0,17.313792,53.32992,17.59232,91.041792,200.33536,189.468672,969.2844444444444,90.25,63.467777777777776,20.25,50.88444444444445,-1.0,114.48999999999998
2024-03-05 14:34:30,-1.0,2.9396112666593885,36.367348699999035,1.858154933333367,1.9692556666664514,5.413029599999201,5.304429700000431,-1.0,17.313792,53.32992,17.891328,90.796032,202.268672,189.468672,969.2844444444444,90.25,63.467777777777776,59.290000000000006,53.77777777777777,-1.0,224.0011111111111
2024-03-05 14:34:35,-1.0,5.885449666675412,42.385721233335964,1.858154933333367,1.9692556666664514,5.413029599999201,5.304429700000431,-1.0,17.330176,53.32992,17.891328,90.796032,202.268672,189.468672,6240.999999999998,90.25,126.93777777777771,59.290000000000006,53.77777777777777,-1.0,224.0011111111111
2024-03-05 14:34:40,-1.0,5.885449666675413,42.38572123333597,1.858154933333367,1.9692556666664514,5.413029599999201,1.8055486999998038,-1.0,17.330176,53.32992,17.891328,90.796032,202.268672,189.489152,6241.0,142.40444444444444,126.9377777777778,59.290000000000006,53.77777777777777,-1.0,224.0011111111111
2024-03-05 14:34:45,-1.0,5.885449666675413,42.38572123333597,1.858154933333367,1.9692556666664514,5.413029599999201,1.8055486999998038,-1.0,17.330176,53.32992,17.891328,90.796032,202.268672,189.489152,6241.0,142.40444444444444,126.9377777777778,59.290000000000006,53.77777777777777,-1.0,224.0011111111111
