,timestamp,shippingservice-589dc45c5d-sfzzg&cpu_usage,shippingservice-589dc45c5d-sfzzg&mem_usage,shippingservice-589dc45c5d-sfzzg&mem_usage_rate,shippingservice-589dc45c5d-sfzzg&fs_usage,shippingservice-589dc45c5d-sfzzg&net_receive,shippingservice-589dc45c5d-sfzzg&net_trainsmit,(node)192.168.31.101:9100_network,(node)192.168.31.101:9100_cpu,(node)192.168.31.101:9100_memory
0,1658540446,0.050353757,148.0507813,3.697861943,0.008078407,4.502822075,23.16114333,0.8246666666666667,0.0979703909192898,0.2235636127640921
1,1658540451,0.047696427,148.0507813,3.129357658,0.008543702,4.502822075,23.16114333,0.816,0.1010805306481282,0.223603506548258
2,1658540456,0.055613417,148.0976563,3.281886191,0.008543702,4.502822075,23.16114333,0.816,0.1010805306481282,0.223603506548258
3,1658540461,0.050275987,147.90625,3.302653974,0.008614668,4.32114902,21.71522716,0.816,0.1010805306481282,0.223603506548258
4,1658540466,0.051673627,147.90625,3.42973616,0.009140472,3.312952935,16.64870274,0.8100222222222221,0.101245951717744,0.2235916052062542
5,1658540471,0.054408215,147.9101563,1.526102403,0.010139883,2.952857183,14.83910048,0.8100222222222221,0.101245951717744,0.2235916052062542
6,1658540476,0.054408215,147.9101563,1.526102403,0.010139883,4.185673757,23.03601148,0.8100222222222221,0.101245951717744,0.2235916052062542
7,1658540481,0.052349011,147.90625,1.94452121,0.0040347,4.185673757,23.03601148,0.8052444444444444,0.1015130090495962,0.2237156584803042
8,1658540486,0.04219891,148.4921875,2.944817282,0.0,4.185673757,23.03601148,0.8052444444444444,0.1015130090495962,0.2237156584803042
9,1658540491,0.047522141,148.4921875,3.067366544,0.0,4.120061076,24.0797728,0.8052444444444444,0.1015130090495962,0.2237156584803042
10,1658540496,0.048437556,149.0234375,2.273787851,0.0,4.120061076,24.0797728,0.8009777777777778,0.0991842053082772,0.2237418900096188
11,1658540501,0.055586868,150.0,2.293563014,0.00349006,4.120061076,24.0797728,0.8009777777777778,0.0991842053082772,0.2237418900096188
12,1658540506,0.055764784,150.0,1.698354235,0.00349006,4.352434325,22.89847382,0.8009777777777778,0.0991842053082772,0.2237418900096188
13,1658540511,0.052868199,150.0,1.367880775,0.00531479,4.352434325,22.89847382,0.7898,0.0990673516466003,0.2236948918529302
14,1658540516,0.050708546,150.0,1.227121635,0.00531479,4.233258929,24.98316188,0.7898,0.0990673516466003,0.2236948918529302
15,1658540521,0.052838059,151.0273438,0.075287775,0.009497104,4.233258929,24.98316188,0.7898,0.0990673516466003,0.2236948918529302
16,1658540526,0.051897779,151.0273438,0.075257577,0.009054205,4.192400739,19.98265989,0.7975777777777778,0.0990945104698928,0.2239479168127769
17,1658540531,0.051516796,151.0273438,0.073099603,0.011136705,4.192400739,19.98265989,0.7975777777777778,0.0990945104698928,0.2239479168127769
18,1658540536,0.056699817,151.1484375,0.487776021,0.007034005,2.742382661,13.33758739,0.7975777777777778,0.0990945104698928,0.2239479168127769
19,1658540541,0.056870986,151.1484375,0.74688335,0.004639792,3.083559902,14.99690406,0.7988666666666667,0.0995803128577175,0.223825867336105
20,1658540546,0.056212944,151.1484375,0.510932018,0.004639792,3.424737143,16.65622073,0.7988666666666667,0.0995803128577175,0.223825867336105
21,1658540551,0.057058789,148.9414063,1.983774533,0.004639792,3.458854867,16.82215239,0.7988666666666667,0.0995803128577175,0.223825867336105
22,1658540556,0.058568778,146.8554688,3.320245768,0.005519067,4.141190119,20.20619758,0.8255333333333333,0.1006995972013768,0.223860539102861
23,1658540561,0.053629662,146.8554688,3.687047906,0.005519067,4.141190119,20.20619758,0.8255333333333333,0.1006995972013768,0.223860539102861
24,1658540566,0.056814204,147.4296875,2.913695099,0.009455295,4.204260539,17.38021707,0.8255333333333333,0.1006995972013768,0.223860539102861
25,1658540571,0.057797891,147.4296875,2.913695099,0.00991915,4.348403976,18.43123735,0.8510888888888889,0.103326876581705,0.2238763873184886
26,1658540576,0.06060459,147.8828125,3.261316288,0.009253634,4.422422902,22.48557244,0.8510888888888889,0.103326876581705,0.2238763873184886
27,1658540581,0.060145644,147.765625,4.597045873,0.009027045,4.422422902,22.48557244,0.8510888888888889,0.103326876581705,0.2238763873184886
28,1658540586,0.060145644,147.765625,4.597045873,0.009027045,4.470208965,20.90330111,0.8770888888888888,0.1041056755342246,0.2238250779613802
29,1658540591,0.059539965,147.765625,4.193511048,0.007404333,4.543074526,26.65547235,0.8770888888888888,0.1041056755342246,0.2238250779613802
30,1658540596,0.053584484,147.8515625,2.034698984,0.003507438,4.688222827,29.45053315,0.8770888888888888,0.1041056755342246,0.2238250779613802
31,1658540601,0.051116651,147.8515625,1.827445726,0.003507438,4.565878283,22.99746893,0.8640888888888888,0.103619026060521,0.2239324329239453
32,1658540606,0.058777334,148.515625,1.313108568,0.0,4.565878283,22.99746893,0.8640888888888888,0.103619026060521,0.2239324329239453
33,1658540611,0.058420521,149.0585938,1.805439688,0.0,4.617456023,23.7853407,0.8640888888888888,0.103619026060521,0.2239324329239453
34,1658540616,0.057887601,148.546875,3.309629379,0.003702249,4.584796175,24.92541528,0.8630222222222221,0.1031279647697369,0.2237957496542994
35,1658540621,0.057887601,148.546875,3.309629379,0.003702249,4.584796175,24.92541528,0.8630222222222221,0.1031279647697369,0.2237957496542994
36,1658540626,0.058805573,148.2539063,3.493645675,0.008645652,3.828062831,20.81140625,0.8630222222222221,0.1031279647697369,0.2237957496542994
37,1658540631,0.058805573,148.2539063,3.493645675,0.008645652,3.86289532,14.81140999,0.8486444444444444,0.1023071479121507,0.2239381407104166
38,1658540636,0.058196827,148.5664063,3.351322154,0.010834454,4.509230949,17.28963971,0.8486444444444444,0.1023071479121507,0.2239381407104166
39,1658540641,0.046969135,148.5664063,4.001735417,0.012050335,4.509230949,17.28963971,0.8486444444444444,0.1023071479121507,0.2239381407104166
40,1658540646,0.047152901,148.5703125,3.670623909,0.009027868,4.578211391,23.02950749,0.8714,0.103369163444727,0.2239705050741311
41,1658540651,0.047215712,148.5703125,4.77875024,0.013544127,4.666274997,27.54361844,0.8714,0.103369163444727,0.2239705050741311
42,1658540656,0.055794602,148.421875,4.364460497,0.00496801,4.666274997,27.54361844,0.8714,0.103369163444727,0.2239705050741311
43,1658540661,0.055535189,148.421875,4.364457302,0.00496801,4.62000437,27.89819387,0.8576444444444444,0.1026138148678087,0.2238840381812053
44,1658540666,0.054425743,148.421875,3.210313045,0.00496801,4.560804985,25.23868159,0.8576444444444444,0.1026138148678087,0.2238840381812053
45,1658540671,0.058439113,148.40625,4.311255245,0.0,4.587826148,27.85626411,0.8576444444444444,0.1026138148678087,0.2238840381812053
46,1658540676,0.059735103,148.40625,5.84422667,0.0,4.587826148,27.85626411,0.8851111111111111,0.1045352339740204,0.2239292147039137
47,1658540681,0.059735103,148.40625,5.91999039,0.0,4.695552906,26.2997306,0.8851111111111111,0.1045352339740204,0.2239292147039137
48,1658540686,0.051121519,148.40625,7.318430445,0.0,4.695552906,26.2997306,0.8851111111111111,0.1045352339740204,0.2239292147039137
49,1658540691,0.051286013,148.9453125,5.890885004,0.0,4.677403525,21.06143888,0.8939333333333332,0.1050868065375076,0.2239658295469153
50,1658540696,0.061811014,149.046875,3.774951232,0.009188816,4.653184691,22.14653541,0.8939333333333332,0.1050868065375076,0.2239658295469153
51,1658540701,0.061811014,149.046875,3.774951232,0.009188816,4.653184691,22.14653541,0.8939333333333332,0.1050868065375076,0.2239658295469153
52,1658540706,0.062993236,148.6210938,4.273748019,0.012506444,3.861242058,19.843778,0.9219555555555556,0.105283995305645,0.2239459130153987
53,1658540711,0.06198158,148.6171875,4.811199466,0.010157358,4.596747138,23.62370148,0.9219555555555556,0.105283995305645,0.2239459130153987
54,1658540716,0.0605072,148.7851563,2.240805326,0.009841444,4.596747138,23.62370148,0.9219555555555556,0.105283995305645,0.2239459130153987
55,1658540721,0.0605072,148.7851563,2.240805326,0.009841444,4.596747138,23.62370148,0.8874444444444445,0.1029272364569398,0.2238746264056411
56,1658540726,0.059632343,147.8671875,3.03137468,0.007601416,4.328576945,22.0548328,0.8874444444444445,0.1029272364569398,0.2238746264056411
57,1658540731,0.039764891,147.8671875,3.745130871,0.0,4.328576945,22.0548328,0.8874444444444445,0.1029272364569398,0.2238746264056411
58,1658540736,0.051392104,146.9648438,5.460031054,0.0,4.328576945,22.0548328,0.8433777777777778,0.100696947848997,0.223846633963479
59,1658540741,0.054918437,147.2617188,4.955428704,0.008658127,4.172132806,21.33403577,0.8433777777777778,0.100696947848997,0.223846633963479
60,1658540746,0.05389901,147.5507813,4.259950163,0.008658127,4.172132806,21.33403577,0.8433777777777778,0.100696947848997,0.223846633963479
61,1658540751,0.052518308,147.5507813,3.355888133,0.008658127,4.172132806,21.33403577,0.7948444444444445,0.0982132760372397,0.2239344367213235
62,1658540756,0.049384283,148.171875,2.82588138,0.010154269,4.150354205,20.3362869,0.7948444444444445,0.0982132760372397,0.2239344367213235
63,1658540761,0.050022295,148.7929688,2.573027963,0.009554125,4.228012973,19.29784851,0.7948444444444445,0.0982132760372397,0.2239344367213235
64,1658540766,0.050217812,148.2617188,3.661252444,0.007971833,4.236424038,19.5629991,0.8015777777777778,0.0981016239458753,0.2240960763764979
65,1658540771,0.053498922,148.2578125,4.123585856,0.007937793,4.236424038,19.5629991,0.8015777777777778,0.0981016239458753,0.2240960763764979
