,timestamp,currencyservice-588fc9584d-cl9dm&cpu_usage,currencyservice-588fc9584d-cl9dm&mem_usage,currencyservice-588fc9584d-cl9dm&mem_usage_rate,currencyservice-588fc9584d-cl9dm&fs_usage,currencyservice-588fc9584d-cl9dm&net_receive,currencyservice-588fc9584d-cl9dm&net_trainsmit,(node)192.168.31.101:9100_network,(node)192.168.31.101:9100_cpu,(node)192.168.31.101:9100_memory
0,1658540446,0.318125509,192.0234375,1.292386724,0.083702045,29.64967144,29.25639108,0.8246666666666667,0.0979703909192898,0.2235636127640921
1,1658540451,0.324220952,191.640625,3.166657273,0.083702045,29.70005431,33.17939602,0.816,0.1010805306481282,0.223603506548258
2,1658540456,0.325481103,191.671875,3.166952346,0.042287214,29.70005431,33.17939602,0.816,0.1010805306481282,0.223603506548258
3,1658540461,0.335003781,191.671875,4.874734641,0.0,23.37294619,22.75678339,0.816,0.1010805306481282,0.223603506548258
4,1658540466,0.333472347,191.9882813,4.513042459,0.0,30.95720293,30.14110227,0.8100222222222221,0.101245951717744,0.2235916052062542
5,1658540471,0.319598385,191.9882813,4.512059578,0.0,30.95720293,30.14110227,0.8100222222222221,0.101245951717744,0.2235916052062542
6,1658540476,0.334325209,192.0703125,6.28077018,0.042047901,30.60531288,30.31926056,0.8100222222222221,0.101245951717744,0.2235916052062542
7,1658540481,0.331977457,191.9335938,6.28476091,0.080973251,30.60531288,30.31926056,0.8052444444444444,0.1015130090495962,0.2237156584803042
8,1658540486,0.326483641,191.9492188,5.396874906,0.106431165,30.72266247,29.78109937,0.8052444444444444,0.1015130090495962,0.2237156584803042
9,1658540491,0.3191156,191.9921875,3.668247789,0.102356437,30.72266247,29.78109937,0.8052444444444444,0.1015130090495962,0.2237156584803042
10,1658540496,0.3191156,191.9921875,3.668247789,0.102356437,35.52996,34.75264695,0.8009777777777778,0.0991842053082772,0.2237418900096188
11,1658540501,0.321035989,193.3359375,2.391190494,0.08135066,37.80507151,37.97363208,0.8009777777777778,0.0991842053082772,0.2237418900096188
12,1658540506,0.321386574,187.1953125,2.36553389,0.096106924,37.80507151,37.97363208,0.8009777777777778,0.0991842053082772,0.2237418900096188
13,1658540511,0.31911208,187.3164063,1.95616818,0.082958189,35.06521286,35.22548347,0.7898,0.0990673516466003,0.2236948918529302
14,1658540516,0.323725007,181.4023438,4.331954806,0.042773612,35.06521286,35.22548347,0.7898,0.0990673516466003,0.2236948918529302
15,1658540521,0.311985776,181.4023438,4.159896442,0.042773612,35.55175718,36.94033268,0.7898,0.0990673516466003,0.2236948918529302
16,1658540526,0.282928914,183.1601563,3.913816627,0.0,35.55175718,36.94033268,0.7975777777777778,0.0990945104698928,0.2239479168127769
17,1658540531,0.337031115,185.2304688,4.185744618,0.032801925,35.55175718,36.94033268,0.7975777777777778,0.0990945104698928,0.2239479168127769
18,1658540536,0.340257396,185.2304688,4.397198019,0.045706379,29.80466853,32.31108184,0.7975777777777778,0.0990945104698928,0.2239479168127769
19,1658540541,0.309772443,185.6992188,4.039569567,0.087950321,30.27066994,31.69995376,0.7988666666666667,0.0995803128577175,0.223825867336105
20,1658540546,0.350075612,186.1484375,4.397596654,0.087950321,30.27066994,31.69995376,0.7988666666666667,0.0995803128577175,0.223825867336105
21,1658540551,0.353559143,186.1484375,3.689718304,0.083400487,30.27066994,31.69995376,0.7988666666666667,0.0995803128577175,0.223825867336105
22,1658540556,0.356627383,186.1171875,4.479924766,0.074589539,24.75961538,26.51577409,0.8255333333333333,0.1006995972013768,0.223860539102861
