,timestamp,recommendationservice-689548cfbd-ml8h2&cpu_usage,recommendationservice-689548cfbd-ml8h2&mem_usage,recommendationservice-689548cfbd-ml8h2&mem_usage_rate,recommendationservice-689548cfbd-ml8h2&mem_limit,recommendationservice-689548cfbd-ml8h2&fs_usage,recommendationservice-689548cfbd-ml8h2&net_receive,recommendationservice-689548cfbd-ml8h2&net_trainsmit,(node)192.168.31.101:9100_network,(node)192.168.31.101:9100_cpu,(node)192.168.31.101:9100_memory
0,1658540446,0.627085161,255.9257813,7.517389594,3948.0,0.129839191,104.3182033,51.65009639,0.8246666666666667,0.0979703909192898,0.2235636127640921
1,1658540451,0.623817734,255.7890625,8.313050003,3948.0,0.132788158,104.647216,51.97931267,0.816,0.1010805306481282,0.223603506548258
2,1658540456,0.514749427,253.9023438,11.09536349,3948.0,0.14647474,104.647216,51.97931267,0.816,0.1010805306481282,0.223603506548258
3,1658540461,0.540357185,251.4492188,12.19679573,3948.0,0.119247139,80.16325572,39.81788615,0.816,0.1010805306481282,0.223603506548258
4,1658540466,0.567263358,251.4414063,15.76995158,3948.0,0.150735128,71.44265438,35.48627676,0.8100222222222221,0.101245951717744,0.2235916052062542
5,1658540471,0.626417225,251.4414063,16.23066974,3948.0,0.150735128,104.7738532,57.75051336,0.8100222222222221,0.101245951717744,0.2235916052062542
6,1658540476,0.558355713,252.3125,13.73744829,3948.0,0.13098043,104.7738532,57.75051336,0.8100222222222221,0.101245951717744,0.2235916052062542
7,1658540481,0.529378163,252.3125,11.39658656,3948.0,0.057748992,104.7738532,57.75051336,0.8052444444444444,0.1015130090495962,0.2237156584803042
8,1658540486,0.607832483,252.5898438,7.79694753,3948.0,0.0,102.9323283,52.79412157,0.8052444444444444,0.1015130090495962,0.2237156584803042
9,1658540491,0.587747652,252.5898438,7.521771773,3948.0,0.0,102.9323283,52.79412157,0.8052444444444444,0.1015130090495962,0.2237156584803042
10,1658540496,0.614400232,253.7148438,5.490365335,3948.0,0.071465952,102.9323283,52.79412157,0.8009777777777778,0.0991842053082772,0.2237418900096188
11,1658540501,0.610483397,253.7148438,2.731204694,3948.0,0.071465952,43.03460286,12.98264974,0.8009777777777778,0.0991842053082772,0.2237418900096188
12,1658540506,0.617675709,254.8046875,1.700277536,3948.0,0.071465952,73.21628045,37.15575307,0.8009777777777778,0.0991842053082772,0.2237418900096188
13,1658540511,0.593152065,254.578125,1.699487395,3948.0,0.071961884,81.69387026,41.45795514,0.7898,0.0990673516466003,0.2236948918529302
14,1658540516,0.527670429,255.1289063,1.707338116,3948.0,0.124813277,100.6835164,51.66274832,0.7898,0.0990673516466003,0.2236948918529302
15,1658540521,0.547181678,255.421875,1.35200424,3948.0,0.125433441,100.6835164,51.66274832,0.7898,0.0990673516466003,0.2236948918529302
16,1658540526,0.624285116,255.421875,1.839921295,3948.0,0.146625052,100.6835164,51.66274832,0.7975777777777778,0.0990945104698928,0.2239479168127769
17,1658540531,0.624285116,255.421875,1.839921295,3948.0,0.146625052,103.2237732,52.61398343,0.7975777777777778,0.0990945104698928,0.2239479168127769
18,1658540536,0.541359134,254.8476563,2.875663653,3948.0,0.13692055,103.2237732,52.61398343,0.7975777777777778,0.0990945104698928,0.2239479168127769
19,1658540541,0.544961014,254.8476563,3.045571029,3948.0,0.072262521,103.2237732,52.61398343,0.7988666666666667,0.0995803128577175,0.223825867336105
20,1658540546,0.513782724,254.9804688,2.723753056,3948.0,0.056278404,103.1311617,46.10835878,0.7988666666666667,0.0995803128577175,0.223825867336105
21,1658540551,0.638368643,254.5546875,5.521747739,3948.0,0.056278404,103.1311617,46.10835878,0.7988666666666667,0.0995803128577175,0.223825867336105
22,1658540556,0.624976951,254.7226563,4.415649818,3948.0,0.067255806,103.1311617,46.10835878,0.8255333333333333,0.1006995972013768,0.223860539102861
23,1658540561,0.655538336,254.8710938,4.059521033,3948.0,0.131442394,105.0575181,48.62755575,0.8255333333333333,0.1006995972013768,0.223860539102861
24,1658540566,0.669398594,254.7265625,6.772560488,3948.0,0.119628915,107.3273074,47.55223256,0.8255333333333333,0.1006995972013768,0.223860539102861
25,1658540571,0.673700891,254.7265625,7.084036928,3948.0,0.133527303,107.3273074,47.55223256,0.8510888888888889,0.103326876581705,0.2238763873184886
26,1658540576,0.676448475,251.9023438,7.073437459,3948.0,0.13604169,110.0070084,55.77985377,0.8510888888888889,0.103326876581705,0.2238763873184886
27,1658540581,0.617892419,249.6015625,7.305278437,3948.0,0.1467791,110.0070084,55.77985377,0.8510888888888889,0.103326876581705,0.2238763873184886
28,1658540586,0.68104271,249.8398438,8.594953319,3948.0,0.127232726,109.7872161,56.47530052,0.8770888888888888,0.1041056755342246,0.2238250779613802
29,1658540591,0.683421486,249.8515625,7.293460006,3948.0,0.127232726,112.1414815,58.23645788,0.8770888888888888,0.1041056755342246,0.2238250779613802
