,timestamp,emailservice-8848674-j9hwb&cpu_usage,emailservice-8848674-j9hwb&mem_usage,emailservice-8848674-j9hwb&mem_usage_rate,emailservice-8848674-j9hwb&fs_usage,emailservice-8848674-j9hwb&net_receive,emailservice-8848674-j9hwb&net_trainsmit,(node)192.168.31.101:9100_network,(node)192.168.31.101:9100_cpu,(node)192.168.31.101:9100_memory
0,1658540446,0.050264625,172.1835938,1.704266157,0.005982108,2.232848391,15.98129456,0.8246666666666667,0.0979703909192898,0.2235636127640921
1,1658540451,0.048614776,172.1835938,1.706859193,0.007759029,2.232848391,15.98129456,0.816,0.1010805306481282,0.223603506548258
2,1658540456,0.053922085,172.2148438,0.024373325,0.005562524,1.775647698,15.67492842,0.816,0.1010805306481282,0.223603506548258
3,1658540461,0.052645453,172.140625,1.77557218,0.005562524,2.073971167,18.30844578,0.816,0.1010805306481282,0.223603506548258
4,1658540466,0.052744536,172.1132813,2.417406848,0.005379849,2.020417961,14.78953997,0.8100222222222221,0.101245951717744,0.2235916052062542
5,1658540471,0.051229181,172.1132813,3.073255844,0.006204561,2.020417961,14.78953997,0.8100222222222221,0.101245951717744,0.2235916052062542
6,1658540476,0.051398874,172.109375,3.974091589,0.005488824,1.988548579,13.17025273,0.8100222222222221,0.101245951717744,0.2235916052062542
7,1658540481,0.040764082,172.109375,4.198120053,0.0,2.012940759,17.46836,0.8052444444444444,0.1015130090495962,0.2237156584803042
8,1658540486,0.044087456,172.109375,4.512642451,0.0,1.950538329,17.9289717,0.8052444444444444,0.1015130090495962,0.2237156584803042
9,1658540491,0.05224523,172.109375,4.662097669,0.003111841,1.950538329,17.9289717,0.8052444444444444,0.1015130090495962,0.2237156584803042
10,1658540496,0.048055697,171.609375,4.539263825,0.00411626,1.950538329,17.9289717,0.8009777777777778,0.0991842053082772,0.2237418900096188
11,1658540501,0.045988704,171.609375,5.483299061,0.006075378,1.549767334,13.57417125,0.8009777777777778,0.0991842053082772,0.2237418900096188
12,1658540506,0.055627819,171.1757813,5.309854824,0.006075378,1.972848981,14.44097878,0.8009777777777778,0.0991842053082772,0.2237418900096188
13,1658540511,0.055673872,171.40625,4.303402385,0.004142177,1.972848981,14.44097878,0.7898,0.0990673516466003,0.2236948918529302
14,1658540516,0.056294115,171.40625,3.213432167,0.005538651,2.01351215,17.78805558,0.7898,0.0990673516466003,0.2236948918529302
15,1658540521,0.05685731,171.40625,4.399945238,0.005538651,1.963617847,17.23255493,0.7898,0.0990673516466003,0.2236948918529302
16,1658540526,0.049923733,171.1757813,5.579363762,0.001256891,1.916231197,12.89847804,0.7975777777777778,0.0990945104698928,0.2239479168127769
17,1658540531,0.051316801,171.1757813,5.670441725,0.001256891,1.916231197,12.89847804,0.7975777777777778,0.0990945104698928,0.2239479168127769
18,1658540536,0.050591523,171.5117188,3.972180109,0.0,1.916231197,12.89847804,0.7975777777777778,0.0990945104698928,0.2239479168127769
19,1658540541,0.042453559,171.4453125,3.544385832,0.0,1.499221407,16.41831856,0.7988666666666667,0.0995803128577175,0.223825867336105
20,1658540546,0.043873988,171.4453125,3.778427368,0.0,1.984595609,21.73376311,0.7988666666666667,0.0995803128577175,0.223825867336105
21,1658540551,0.050166727,171.78125,5.166742931,0.00126541,1.984595609,21.73376311,0.7988666666666667,0.0995803128577175,0.223825867336105
22,1658540556,0.052247731,171.828125,3.714803545,0.001692564,1.984595609,21.73376311,0.8255333333333333,0.1006995972013768,0.223860539102861
23,1658540561,0.056137337,171.828125,3.177812474,0.00500141,7.431319782,19.28374808,0.8255333333333333,0.1006995972013768,0.223860539102861
24,1658540566,0.058642107,171.875,1.47935334,0.00456492,9.825840087,20.78648477,0.8255333333333333,0.1006995972013768,0.223860539102861
25,1658540571,0.059554792,171.875,1.073671588,0.006397291,9.825840087,20.78648477,0.8510888888888889,0.103326876581705,0.2238763873184886
26,1658540576,0.053763578,171.875,0.70891369,0.004754004,7.626618304,19.46893601,0.8510888888888889,0.103326876581705,0.2238763873184886
27,1658540581,0.058252639,172.0,0.708452276,0.004754004,10.55479461,15.50193261,0.8510888888888889,0.103326876581705,0.2238763873184886
28,1658540586,0.055150202,172.1289063,0.007768961,0.004330768,8.367242317,17.01932693,0.8770888888888888,0.1041056755342246,0.2238250779613802
29,1658540591,0.056282952,172.2109375,0.009833428,0.003247348,8.367242317,17.01932693,0.8770888888888888,0.1041056755342246,0.2238250779613802
30,1658540596,0.050799632,172.0859375,2.004226233,0.003247348,8.367242317,17.01932693,0.8770888888888888,0.1041056755342246,0.2238250779613802
31,1658540601,0.055114117,171.9570313,3.496200807,0.0,1.72904989,10.73126235,0.8640888888888888,0.103619026060521,0.2239324329239453
32,1658540606,0.05505252,172.0,3.49627462,0.0,2.058277016,12.77459417,0.8640888888888888,0.103619026060521,0.2239324329239453
33,1658540611,0.055959028,171.7539063,4.784900669,0.0,2.058277016,12.77459417,0.8640888888888888,0.103619026060521,0.2239324329239453
