,timestamp,productcatalogservice-5ff5f57dc8-sv4x2&cpu_usage,productcatalogservice-5ff5f57dc8-sv4x2&mem_usage,productcatalogservice-5ff5f57dc8-sv4x2&mem_usage_rate,productcatalogservice-5ff5f57dc8-sv4x2&fs_usage,productcatalogservice-5ff5f57dc8-sv4x2&net_receive,productcatalogservice-5ff5f57dc8-sv4x2&net_trainsmit,(node)192.168.31.101:9100_network,(node)192.168.31.101:9100_cpu,(node)192.168.31.101:9100_memory
0,1658540446,0.293602626,127.1914063,2.780045798,0.04651593,30.61158885,58.96423799,0.8246666666666667,0.0979703909192898,0.2235636127640921
1,1658540451,0.294060902,127.1875,3.615098612,0.04651593,30.80178419,58.10192118,0.816,0.1010805306481282,0.223603506548258
2,1658540456,0.291408804,127.1992188,2.724902765,0.03589043,30.80178419,58.10192118,0.816,0.1010805306481282,0.223603506548258
3,1658540461,0.289533364,127.3710938,3.055819446,0.0,30.80178419,58.10192118,0.816,0.1010805306481282,0.223603506548258
4,1658540466,0.265423066,127.1171875,4.362048403,0.0,31.03628013,60.3535063,0.8100222222222221,0.101245951717744,0.2235916052062542
5,1658540471,0.285875246,126.8203125,4.671234542,0.0,30.862294,60.1099856,0.8100222222222221,0.101245951717744,0.2235916052062542
6,1658540476,0.289482742,126.5976563,5.311439797,0.0,30.862294,60.1099856,0.8100222222222221,0.101245951717744,0.2235916052062542
7,1658540481,0.289482742,126.5976563,5.311439797,0.0,30.68511148,59.68094655,0.8052444444444444,0.1015130090495962,0.2237156584803042
8,1658540486,0.278148371,126.6132813,4.89724721,0.036812535,24.57775146,47.80244882,0.8052444444444444,0.1015130090495962,0.2237156584803042
9,1658540491,0.246930253,126.6132813,4.51504223,0.047975803,30.25435961,63.52006543,0.8052444444444444,0.1015130090495962,0.2237156584803042
10,1658540496,0.247010663,126.6171875,3.746541764,0.037486229,30.0024839,65.15180386,0.8009777777777778,0.0991842053082772,0.2237418900096188
11,1658540501,0.234118786,126.6171875,5.180309012,0.048825809,30.0024839,65.15180386,0.8009777777777778,0.0991842053082772,0.2237418900096188
12,1658540506,0.287535598,124.1171875,5.276535906,0.048825809,24.5936611,53.40629095,0.8009777777777778,0.0991842053082772,0.2237418900096188
13,1658540511,0.278692228,121.5429688,5.797669578,0.034977975,22.29474629,52.38847605,0.7898,0.0990673516466003,0.2236948918529302
14,1658540516,0.272180483,121.5078125,5.195376927,0.050532519,29.96457122,64.21347628,0.7898,0.0990673516466003,0.2236948918529302
15,1658540521,0.282304081,121.5078125,4.98007006,0.050532519,29.96457122,64.21347628,0.7898,0.0990673516466003,0.2236948918529302
16,1658540526,0.288519744,122.25,3.428330555,0.037515604,29.96457122,64.21347628,0.7975777777777778,0.0990945104698928,0.2239479168127769
17,1658540531,0.291187237,122.25,3.688269515,0.0,30.2314693,60.51650777,0.7975777777777778,0.0990945104698928,0.2239479168127769
18,1658540536,0.225029325,122.25,2.717040225,0.0,30.6713605,59.46944699,0.7975777777777778,0.0990945104698928,0.2239479168127769
19,1658540541,0.243393206,121.9570313,3.400412846,0.0,30.6713605,59.46944699,0.7988666666666667,0.0995803128577175,0.223825867336105
20,1658540546,0.268877187,121.6679688,4.75750244,0.041139817,30.6713605,59.46944699,0.7988666666666667,0.0995803128577175,0.223825867336105
21,1658540551,0.290495019,121.6679688,5.222292597,0.041139817,23.46165856,44.05332141,0.7988666666666667,0.0995803128577175,0.223825867336105
22,1658540556,0.291236286,121.6796875,4.089325501,0.063042213,26.10129972,49.00970419,0.8255333333333333,0.1006995972013768,0.223860539102861
23,1658540561,0.302410632,121.6796875,3.577127091,0.04314414,31.67569392,59.47659334,0.8255333333333333,0.1006995972013768,0.223860539102861
24,1658540566,0.285110187,121.6796875,2.452451291,0.04314414,32.21088588,60.59418198,0.8255333333333333,0.1006995972013768,0.223860539102861
25,1658540571,0.308460415,122.5234375,2.648988555,0.062395432,32.21088588,60.59418198,0.8510888888888889,0.103326876581705,0.2238763873184886
26,1658540576,0.309724425,123.4765625,2.311215298,0.039056325,32.66611707,62.15971258,0.8510888888888889,0.103326876581705,0.2238763873184886
27,1658540581,0.309210837,123.4765625,2.311215298,0.039056325,32.41093704,61.67239662,0.8510888888888889,0.103326876581705,0.2238763873184886
28,1658540586,0.315464154,123.4335938,1.439612342,0.0,32.41093704,61.67239662,0.8770888888888888,0.1041056755342246,0.2238250779613802
29,1658540591,0.315263807,123.4335938,1.439612342,0.0,32.41093704,61.67239662,0.8770888888888888,0.1041056755342246,0.2238250779613802
30,1658540596,0.315310017,123.296875,2.429678544,0.042086978,32.61326969,61.80460361,0.8770888888888888,0.1041056755342246,0.2238250779613802
31,1658540601,0.311886141,123.2929688,3.634363486,0.042086978,32.5491785,61.02311386,0.8640888888888888,0.103619026060521,0.2239324329239453
32,1658540606,0.311130308,123.2929688,4.033894795,0.05859481,32.5491785,61.02311386,0.8640888888888888,0.103619026060521,0.2239324329239453
33,1658540611,0.311130308,123.2929688,4.033894795,0.05859481,32.34604,63.11894077,0.8640888888888888,0.103619026060521,0.2239324329239453
34,1658540616,0.272460203,122.953125,5.578680344,0.045673189,32.34604,63.11894077,0.8630222222222221,0.1031279647697369,0.2237957496542994
35,1658540621,0.277568881,122.953125,6.541435785,0.083342335,32.34604,63.11894077,0.8630222222222221,0.1031279647697369,0.2237957496542994
36,1658540626,0.309564568,122.7382813,6.763065246,0.046432007,26.34889613,52.12146942,0.8630222222222221,0.1031279647697369,0.2237957496542994
37,1658540631,0.308107713,122.8828125,4.997836677,0.046432007,32.60211333,62.22038146,0.8486444444444444,0.1023071479121507,0.2239381407104166
38,1658540636,0.307025142,122.8828125,4.583875209,0.0,32.60211333,62.22038146,0.8486444444444444,0.1023071479121507,0.2239381407104166
39,1658540641,0.307025142,122.8828125,4.583875209,0.0,28.15714959,55.16222874,0.8486444444444444,0.1023071479121507,0.2239381407104166
40,1658540646,0.308467959,123.2109375,3.196042781,0.0,32.95739403,64.5663121,0.8714,0.103369163444727,0.2239705050741311
41,1658540651,0.29183872,123.2109375,3.196042781,0.0,32.95739403,64.5663121,0.8714,0.103369163444727,0.2239705050741311
42,1658540656,0.295051413,123.5234375,1.418791224,0.075842998,28.04179871,54.93624665,0.8714,0.103369163444727,0.2239705050741311
43,1658540661,0.297861425,123.421875,1.300174295,0.075842998,32.90835239,60.80458329,0.8576444444444444,0.1026138148678087,0.2238840381812053
44,1658540666,0.307505753,123.28125,2.506820709,0.052072274,32.90835239,60.80458329,0.8576444444444444,0.1026138148678087,0.2238840381812053
45,1658540671,0.308014255,123.28125,2.506820709,0.052072274,33.54097018,64.71886585,0.8576444444444444,0.1026138148678087,0.2238840381812053
46,1658540676,0.309796708,123.28125,3.2663142,0.052072274,33.54097018,64.71886585,0.8851111111111111,0.1045352339740204,0.2239292147039137
47,1658540681,0.275036866,123.28125,2.792012759,0.052072274,33.54097018,64.71886585,0.8851111111111111,0.1045352339740204,0.2239292147039137
48,1658540686,0.278646064,122.7890625,5.173923755,0.0,27.80481209,53.65068136,0.8851111111111111,0.1045352339740204,0.2239292147039137
49,1658540691,0.286793791,122.7890625,6.240754704,0.0,25.09225441,47.83516633,0.8939333333333332,0.1050868065375076,0.2239658295469153
