,timestamp,shippingservice-589dc45c5d-xdx28&cpu_usage,shippingservice-589dc45c5d-xdx28&mem_usage,shippingservice-589dc45c5d-xdx28&mem_usage_rate,shippingservice-589dc45c5d-xdx28&fs_usage,shippingservice-589dc45c5d-xdx28&net_receive,(node)192.168.31.101:9100_network,(node)192.168.31.101:9100_cpu,(node)192.168.31.101:9100_memory
0,1658540446,0.058301506,122.2695313,2.619859636,0.0,4.521790545,0.8246666666666667,0.0979703909192898,0.2235636127640921
1,1658540451,0.063305753,122.2734375,2.670960281,0.007664448,4.418780253,0.816,0.1010805306481282,0.223603506548258
2,1658540456,0.062725775,122.2734375,1.800372039,0.008922891,4.418780253,0.816,0.1010805306481282,0.223603506548258
3,1658540461,0.061572257,122.0664063,2.453207129,0.008922891,4.418780253,0.816,0.1010805306481282,0.223603506548258
4,1658540466,0.062302343,122.0625,2.304458726,0.008185908,4.418780253,0.8100222222222221,0.101245951717744,0.2235916052062542
5,1658540471,0.062210261,122.0625,2.295705122,0.009405492,10.36014831,0.8100222222222221,0.101245951717744,0.2235916052062542
6,1658540476,0.056680528,122.0625,1.971240487,0.009405492,10.36014831,0.8100222222222221,0.101245951717744,0.2235916052062542
7,1658540481,0.051453801,122.3242188,1.620778339,0.009541705,10.36014831,0.8052444444444444,0.1015130090495962,0.2237156584803042
8,1658540486,0.06023992,122.6015625,1.579930988,0.00835021,10.20466274,0.8052444444444444,0.1015130090495962,0.2237156584803042
9,1658540491,0.059936927,122.8632813,1.583263104,0.007406131,10.20466274,0.8052444444444444,0.1015130090495962,0.2237156584803042
10,1658540496,0.059882922,122.8632813,1.7181206,0.0,10.20466274,0.8009777777777778,0.0991842053082772,0.2237418900096188
11,1658540501,0.06081345,123.3671875,0.450159092,0.0,10.09380115,0.8009777777777778,0.0991842053082772,0.2237418900096188
12,1658540506,0.060534364,123.6289063,0.452074094,0.0,10.09380115,0.8009777777777778,0.0991842053082772,0.2237418900096188
13,1658540511,0.059842272,124.9023438,0.328950143,0.0,3.35240485,0.7898,0.0990673516466003,0.2236948918529302
14,1658540516,0.059667016,124.9023438,0.253950089,0.003240325,4.033911846,0.7898,0.0990673516466003,0.2236948918529302
15,1658540521,0.046874406,126.171875,0.275725665,0.006726401,4.033911846,0.7898,0.0990673516466003,0.2236948918529302
16,1658540526,0.051067874,126.1679688,1.746293968,0.010135994,4.045222287,0.7975777777777778,0.0990945104698928,0.2239479168127769
17,1658540531,0.053514247,126.1679688,1.896216854,0.010135994,4.136434056,0.7975777777777778,0.0990945104698928,0.2239479168127769
18,1658540536,0.050515289,126.1679688,1.784155906,0.00735375,4.139074094,0.7975777777777778,0.0990945104698928,0.2239479168127769
19,1658540541,0.057837512,126.1796875,1.436457672,0.007563253,4.139074094,0.7988666666666667,0.0995803128577175,0.223825867336105
20,1658540546,0.056885767,126.1796875,1.559685464,0.009368789,4.133114987,0.7988666666666667,0.0995803128577175,0.223825867336105
21,1658540551,0.055193394,126.1796875,1.564089404,0.01005265,3.503894153,0.7988666666666667,0.0995803128577175,0.223825867336105
22,1658540556,0.055591095,126.3476563,1.201716094,0.007656691,3.159467905,0.8255333333333333,0.1006995972013768,0.223860539102861
23,1658540561,0.058355796,126.3476563,1.459996088,0.003880305,4.309296078,0.8255333333333333,0.1006995972013768,0.223860539102861
24,1658540566,0.058397415,126.3476563,1.436031894,0.0,4.309296078,0.8255333333333333,0.1006995972013768,0.223860539102861
25,1658540571,0.055037172,128.421875,0.041402958,0.003151472,4.38438821,0.8510888888888889,0.103326876581705,0.2238763873184886
26,1658540576,0.061255993,128.4179688,1.329880164,0.004687296,4.469811615,0.8510888888888889,0.103326876581705,0.2238763873184886
27,1658540581,0.061679246,128.4179688,1.33376378,0.004687296,4.469811615,0.8510888888888889,0.103326876581705,0.2238763873184886
28,1658540586,0.061435985,126.3945313,3.358437514,0.008175032,4.549469286,0.8770888888888888,0.1041056755342246,0.2238250779613802
29,1658540591,0.060262903,126.4492188,2.640228796,0.008175032,4.549469286,0.8770888888888888,0.1041056755342246,0.2238250779613802
30,1658540596,0.056790681,126.4492188,2.642984196,0.008216575,3.211857518,0.8770888888888888,0.1041056755342246,0.2238250779613802
31,1658540601,0.053542273,126.4492188,3.458293398,0.010121028,3.4814695,0.8640888888888888,0.103619026060521,0.2239324329239453
32,1658540606,0.053100887,126.4492188,3.336122235,0.009943492,3.853389582,0.8640888888888888,0.103619026060521,0.2239324329239453
33,1658540611,0.059377023,122.2929688,4.497620801,0.00839613,3.883738261,0.8640888888888888,0.103619026060521,0.2239324329239453
34,1658540616,0.061444317,122.2929688,4.494798438,0.008715267,4.59321301,0.8630222222222221,0.1031279647697369,0.2237957496542994
35,1658540621,0.060764499,122.296875,3.950365488,0.004210311,4.553365219,0.8630222222222221,0.1031279647697369,0.2237957496542994
36,1658540626,0.060764499,122.296875,3.950365488,0.004210311,4.553365219,0.8630222222222221,0.1031279647697369,0.2237957496542994
37,1658540631,0.055282752,122.296875,2.755877801,0.004044958,4.527170519,0.8486444444444444,0.1023071479121507,0.2239381407104166
38,1658540636,0.06491765,122.3828125,3.377395376,0.008435589,4.545474846,0.8486444444444444,0.1023071479121507,0.2239381407104166
39,1658540641,0.065487299,122.3867188,3.377462702,0.007622275,4.545474846,0.8486444444444444,0.1023071479121507,0.2239381407104166
40,1658540646,0.060885951,122.3867188,3.199401892,0.00838952,4.620483808,0.8714,0.103369163444727,0.2239705050741311
41,1658540651,0.062302951,122.3867188,2.735182657,0.008863929,4.620483808,0.8714,0.103369163444727,0.2239705050741311
