,timestamp,productcatalogservice-5ff5f57dc8-mpw5r&cpu_usage,productcatalogservice-5ff5f57dc8-mpw5r&mem_usage,productcatalogservice-5ff5f57dc8-mpw5r&mem_usage_rate,productcatalogservice-5ff5f57dc8-mpw5r&fs_usage,productcatalogservice-5ff5f57dc8-mpw5r&net_receive,productcatalogservice-5ff5f57dc8-mpw5r&net_trainsmit,(node)192.168.31.101:9100_network,(node)192.168.31.101:9100_cpu,(node)192.168.31.101:9100_memory
0,1658540446,0.302839193,123.9882813,1.210102285,0.04633663,30.61834719,60.95768449,0.8246666666666667,0.0979703909192898,0.2235636127640921
1,1658540451,0.303327826,123.6796875,2.279753092,0.04633663,31.02450038,61.62788359,0.816,0.1010805306481282,0.223603506548258
2,1658540456,0.29949785,123.6796875,2.607715269,0.04633663,31.02450038,61.62788359,0.816,0.1010805306481282,0.223603506548258
3,1658540461,0.296593289,123.6796875,2.538691546,0.0,30.60808871,60.4929283,0.816,0.1010805306481282,0.223603506548258
4,1658540466,0.296973791,123.6796875,3.126796227,0.0,30.60808871,60.4929283,0.8100222222222221,0.101245951717744,0.2235916052062542
5,1658540471,0.292907523,124.0664063,2.388388222,0.0,30.69592442,60.0780195,0.8100222222222221,0.101245951717744,0.2235916052062542
6,1658540476,0.262666039,124.4726563,1.266065217,0.043719423,30.69592442,60.0780195,0.8100222222222221,0.101245951717744,0.2235916052062542
7,1658540481,0.26958755,124.4726563,1.75130398,0.048842903,30.41904131,60.79547412,0.8052444444444444,0.1015130090495962,0.2237156584803042
8,1658540486,0.281263251,124.4726563,1.753798176,0.061481759,29.81471758,60.26411937,0.8052444444444444,0.1015130090495962,0.2237156584803042
9,1658540491,0.286965231,124.5,1.153043018,0.061481759,29.81471758,60.26411937,0.8052444444444444,0.1015130090495962,0.2237156584803042
10,1658540496,0.28688559,124.5,0.018887331,0.039617292,30.35251798,67.05268316,0.8009777777777778,0.0991842053082772,0.2237418900096188
11,1658540501,0.28688559,124.5,0.018887331,0.039617292,30.35251798,67.05268316,0.8009777777777778,0.0991842053082772,0.2237418900096188
