,timestamp,productcatalogservice-5ff5f57dc8-sckzn&cpu_usage,productcatalogservice-5ff5f57dc8-sckzn&mem_usage,productcatalogservice-5ff5f57dc8-sckzn&mem_usage_rate,productcatalogservice-5ff5f57dc8-sckzn&fs_usage,productcatalogservice-5ff5f57dc8-sckzn&net_receive,productcatalogservice-5ff5f57dc8-sckzn&net_trainsmit,(node)192.168.31.101:9100_network,(node)192.168.31.101:9100_cpu,(node)192.168.31.101:9100_memory
0,1658540446,0.276139573,123.3945313,3.389717959,0.0,30.51699209,60.14270122,0.8246666666666667,0.0979703909192898,0.2235636127640921
1,1658540451,0.270859576,123.3945313,2.975645062,0.0,30.9514293,58.17994948,0.816,0.1010805306481282,0.223603506548258
2,1658540456,0.262812374,123.3945313,2.822566124,0.0,30.9514293,58.17994948,0.816,0.1010805306481282,0.223603506548258
3,1658540461,0.29222734,123.1289063,2.986771168,0.03684802,30.57497108,65.13047899,0.816,0.1010805306481282,0.223603506548258
4,1658540466,0.28146876,123.1289063,2.75758087,0.050060072,30.52305338,66.69665823,0.8100222222222221,0.101245951717744,0.2235916052062542
5,1658540471,0.291195205,123.2734375,2.46230833,0.03842533,30.52305338,66.69665823,0.8100222222222221,0.101245951717744,0.2235916052062542
6,1658540476,0.266605899,123.2734375,2.210736423,0.03842533,30.52305338,66.69665823,0.8100222222222221,0.101245951717744,0.2235916052062542
7,1658540481,0.255032049,124.28125,1.073011349,0.040984446,24.08299154,56.85003907,0.8052444444444444,0.1015130090495962,0.2237156584803042
8,1658540486,0.288409202,125.2226563,1.090564151,0.040984446,30.07194461,70.98749435,0.8052444444444444,0.1015130090495962,0.2237156584803042
9,1658540491,0.253566066,125.2226563,0.052880854,0.0,30.07194461,70.98749435,0.8052444444444444,0.1015130090495962,0.2237156584803042
10,1658540496,0.26688214,119.9882813,2.182456209,0.041592365,30.22415771,69.69699463,0.8009777777777778,0.0991842053082772,0.2237418900096188
11,1658540501,0.275150218,119.9609375,2.499229421,0.046203969,30.22415771,69.69699463,0.8009777777777778,0.0991842053082772,0.2237418900096188
12,1658540506,0.292933312,119.9609375,3.230347642,0.05533925,30.25693189,56.42292691,0.8009777777777778,0.0991842053082772,0.2237418900096188
13,1658540511,0.266910808,119.9609375,3.05236696,0.045137767,30.25693189,56.42292691,0.7898,0.0990673516466003,0.2236948918529302
14,1658540516,0.286296885,123.3046875,2.25086472,0.035844099,30.25693189,56.42292691,0.7898,0.0990673516466003,0.2236948918529302
15,1658540521,0.251265631,123.3046875,2.869504485,0.045548583,25.36464539,54.66016062,0.7898,0.0990673516466003,0.2236948918529302
16,1658540526,0.263400559,123.3046875,3.033609086,0.045548583,30.0495348,64.75597723,0.7975777777777778,0.0990945104698928,0.2239479168127769
17,1658540531,0.293008081,123.3164063,3.147527136,0.05942409,30.0495348,64.75597723,0.7975777777777778,0.0990945104698928,0.2239479168127769
18,1658540536,0.295565456,123.3085938,3.505000005,0.039162473,30.40216106,58.91248817,0.7975777777777778,0.0990945104698928,0.2239479168127769
19,1658540541,0.293540593,123.3085938,2.932796593,0.0,30.33111707,56.3811732,0.7988666666666667,0.0995803128577175,0.223825867336105
20,1658540546,0.289809341,123.6132813,1.447215751,0.0,30.33111707,56.3811732,0.7988666666666667,0.0995803128577175,0.223825867336105
21,1658540551,0.289809341,123.6132813,1.447215751,0.0,24.63779789,45.79811376,0.7988666666666667,0.0995803128577175,0.223825867336105
22,1658540556,0.244882745,124.265625,2.159857737,0.0,22.66320463,46.96806086,0.8255333333333333,0.1006995972013768,0.223860539102861
23,1658540561,0.276470488,124.4648438,1.136760722,0.043775996,31.26669627,66.10334646,0.8255333333333333,0.1006995972013768,0.223860539102861
24,1658540566,0.306696708,124.3671875,2.463521862,0.043775996,31.87223842,59.57799173,0.8255333333333333,0.1006995972013768,0.223860539102861
25,1658540571,0.306651414,123.7148438,2.643631589,0.043775996,32.40490092,63.83723736,0.8510888888888889,0.103326876581705,0.2238763873184886
26,1658540576,0.309408669,123.3359375,3.477788902,0.047598125,32.40490092,63.83723736,0.8510888888888889,0.103326876581705,0.2238763873184886
27,1658540581,0.310213366,122.9375,3.953248933,0.047598125,32.66151206,72.06724142,0.8510888888888889,0.103326876581705,0.2238763873184886
28,1658540586,0.310213366,122.9375,3.953248933,0.047598125,32.24694423,71.83203407,0.8770888888888888,0.1041056755342246,0.2238250779613802
29,1658540591,0.310759826,122.953125,4.55193141,0.034842533,32.24694423,71.83203407,0.8770888888888888,0.1041056755342246,0.2238250779613802
30,1658540596,0.271717564,123.0742188,3.79893662,0.0,18.34665527,42.38422852,0.8770888888888888,0.1041056755342246,0.2238250779613802
31,1658540601,0.2899077,123.0742188,3.991717709,0.0,25.91748515,55.54269517,0.8640888888888888,0.103619026060521,0.2239324329239453
32,1658540606,0.312634907,123.1757813,3.226456899,0.0,32.74408012,70.17248974,0.8640888888888888,0.103619026060521,0.2239324329239453
33,1658540611,0.312839415,123.1757813,3.149251411,0.0,33.15042536,72.65641963,0.8640888888888888,0.103619026060521,0.2239324329239453
34,1658540616,0.311006954,123.1484375,3.495843625,0.0,33.15042536,72.65641963,0.8630222222222221,0.1031279647697369,0.2237957496542994
35,1658540621,0.308017758,123.1640625,2.329770715,0.050889887,32.81757387,70.74329276,0.8630222222222221,0.1031279647697369,0.2237957496542994
