,timestamp,checkoutservice-7d8cb45794-vfnmh&cpu_usage,checkoutservice-7d8cb45794-vfnmh&mem_usage,checkoutservice-7d8cb45794-vfnmh&mem_usage_rate,checkoutservice-7d8cb45794-vfnmh&fs_usage,checkoutservice-7d8cb45794-vfnmh&net_receive,checkoutservice-7d8cb45794-vfnmh&net_trainsmit,(node)192.168.31.101:9100_network,(node)192.168.31.101:9100_cpu,(node)192.168.31.101:9100_memory
0,1658540446,0.266654619,230.3320313,5.880277655,0.018661035,14.25988183,91.46716246,0.8246666666666667,0.0979703909192898,0.2235636127640921
1,1658540451,0.300787758,231.0898438,6.404315181,0.018457082,14.01521296,91.13962299,0.816,0.1010805306481282,0.223603506548258
2,1658540456,0.295558954,226.7148438,6.311635304,0.016125039,13.33638293,92.35216187,0.816,0.1010805306481282,0.223603506548258
3,1658540461,0.28644423,219.03125,7.76446238,0.016125039,13.33638293,92.35216187,0.816,0.1010805306481282,0.223603506548258
4,1658540466,0.236073701,219.0351563,5.254316001,0.019922699,13.58037848,102.7470336,0.8100222222222221,0.101245951717744,0.2235916052062542
5,1658540471,0.246736335,219.0585938,5.137024389,0.015912451,13.58037848,102.7470336,0.8100222222222221,0.101245951717744,0.2235916052062542
6,1658540476,0.269736284,222.9648438,5.095857403,0.00258772,11.85466676,97.01717552,0.8100222222222221,0.101245951717744,0.2235916052062542
7,1658540481,0.28303728,227.4101563,5.334877476,0.0,14.13120368,115.6480814,0.8052444444444444,0.1015130090495962,0.2237156584803042
8,1658540486,0.28356206,227.40625,5.785186847,0.0,14.13120368,115.6480814,0.8052444444444444,0.1015130090495962,0.2237156584803042
9,1658540491,0.259428892,227.40625,5.980069743,0.0,11.6766136,95.56000969,0.8052444444444444,0.1015130090495962,0.2237156584803042
10,1658540496,0.266095435,224.0625,6.803937414,0.012257102,14.04906417,116.197435,0.8009777777777778,0.0991842053082772,0.2237418900096188
11,1658540501,0.278054966,224.0664063,7.691445052,0.01735948,14.04906417,116.197435,0.8009777777777778,0.0991842053082772,0.2237418900096188
12,1658540506,0.278054966,224.0664063,7.691445052,0.01735948,14.04906417,116.197435,0.8009777777777778,0.0991842053082772,0.2237418900096188
13,1658540511,0.286675689,224.0664063,6.213376873,0.016045657,11.22060672,87.62508086,0.7898,0.0990673516466003,0.2236948918529302
14,1658540516,0.291455237,229.0546875,5.140124465,0.016350852,10.05933574,78.55636768,0.7898,0.0990673516466003,0.2236948918529302
15,1658540521,0.279335433,229.0625,5.503667095,0.015124134,14.07625112,116.6974618,0.7898,0.0990673516466003,0.2236948918529302
16,1658540526,0.277886937,229.0625,4.703363596,0.01599297,13.85967287,111.4449211,0.7975777777777778,0.0990945104698928,0.2239479168127769
17,1658540531,0.270778123,229.8945313,5.022404401,0.014958028,13.85967287,111.4449211,0.7975777777777778,0.0990945104698928,0.2239479168127769
18,1658540536,0.268551004,229.8945313,2.935269081,0.014958028,13.65085454,118.1326414,0.7975777777777778,0.0990945104698928,0.2239479168127769
19,1658540541,0.246531013,229.8945313,2.284444235,0.002213293,13.65085454,118.1326414,0.7988666666666667,0.0995803128577175,0.223825867336105
20,1658540546,0.281936563,223.7382813,6.225072021,0.0,13.65085454,118.1326414,0.7988666666666667,0.0995803128577175,0.223825867336105
21,1658540551,0.281936563,223.7382813,6.225072021,0.0,13.65085454,118.1326414,0.7988666666666667,0.0995803128577175,0.223825867336105
22,1658540556,0.260273511,223.7382813,8.640641222,0.0,6.416080729,53.21754557,0.8255333333333333,0.1006995972013768,0.223860539102861
23,1658540561,0.303571543,221.1757813,9.717733254,0.013398747,14.4445381,111.8557836,0.8255333333333333,0.1006995972013768,0.223860539102861
24,1658540566,0.308601352,221.4765625,9.050523436,0.015578667,14.4445381,111.8557836,0.8255333333333333,0.1006995972013768,0.223860539102861
25,1658540571,0.308601352,221.4765625,9.050523436,0.015578667,14.4445381,111.8557836,0.8510888888888889,0.103326876581705,0.2238763873184886
26,1658540576,0.326229409,218.4101563,11.41608895,0.015966061,14.4445381,111.8557836,0.8510888888888889,0.103326876581705,0.2238763873184886
27,1658540581,0.300205306,218.234375,11.40697361,0.01593781,15.40025523,115.4794119,0.8510888888888889,0.103326876581705,0.2238763873184886
28,1658540586,0.319518782,220.65625,9.516953974,0.013530451,15.40025523,115.4794119,0.8770888888888888,0.1041056755342246,0.2238250779613802
29,1658540591,0.318817817,220.65625,8.004950396,0.017528293,15.06254612,112.3504339,0.8770888888888888,0.1041056755342246,0.2238250779613802
30,1658540596,0.318817817,220.65625,8.004950396,0.017528293,14.74176934,109.3783392,0.8770888888888888,0.1041056755342246,0.2238250779613802
31,1658540601,0.295359589,219.4296875,9.332882545,0.013652729,14.74176934,109.3783392,0.8640888888888888,0.103619026060521,0.2239324329239453
32,1658540606,0.300581118,219.3164063,11.01503795,0.0,14.74176934,109.3783392,0.8640888888888888,0.103619026060521,0.2239324329239453
33,1658540611,0.300841868,219.7460938,9.734930106,0.0,15.30572337,103.828445,0.8640888888888888,0.103619026060521,0.2239324329239453
34,1658540616,0.301157041,220.0585938,8.848047985,0.012376238,15.30572337,103.828445,0.8630222222222221,0.1031279647697369,0.2237957496542994
35,1658540621,0.295700809,220.0625,6.200501348,0.01905258,10.92165718,63.71105747,0.8630222222222221,0.1031279647697369,0.2237957496542994
36,1658540626,0.297694196,218.421875,7.939534063,0.015274275,11.40210445,74.42868862,0.8630222222222221,0.1031279647697369,0.2237957496542994
37,1658540631,0.297694196,218.421875,7.939534063,0.015274275,12.67653115,82.74767112,0.8486444444444444,0.1023071479121507,0.2239381407104166
38,1658540636,0.301981406,218.9375,9.719749187,0.018481945,15.29312031,99.82779005,0.8486444444444444,0.1023071479121507,0.2239381407104166
39,1658540641,0.243916595,218.9375,7.452059898,0.01689818,15.29312031,99.82779005,0.8486444444444444,0.1023071479121507,0.2239381407104166
40,1658540646,0.283929235,222.8007813,4.927737859,0.017193202,15.00187054,96.83884178,0.8714,0.103369163444727,0.2239705050741311
41,1658540651,0.299992642,222.8007813,5.101826811,0.017673007,14.34791674,97.97565799,0.8714,0.103369163444727,0.2239705050741311
42,1658540656,0.297136816,220.7578125,6.59586233,0.017673007,14.34791674,97.97565799,0.8714,0.103369163444727,0.2239705050741311
43,1658540661,0.269440702,220.7578125,7.885144813,0.002373933,13.86771065,97.08289891,0.8576444444444444,0.1026138148678087,0.2238840381812053
44,1658540666,0.279326853,220.7539063,8.835358651,0.0,13.86771065,97.08289891,0.8576444444444444,0.1026138148678087,0.2238840381812053
45,1658540671,0.299034092,224.109375,5.677054935,0.0,14.84381949,103.2260673,0.8576444444444444,0.1026138148678087,0.2238840381812053
46,1658540676,0.302297891,224.140625,4.043683234,0.00213959,14.84381949,103.2260673,0.8851111111111111,0.1045352339740204,0.2239292147039137
47,1658540681,0.302266465,224.140625,4.525159525,0.002824203,14.84381949,103.2260673,0.8851111111111111,0.1045352339740204,0.2239292147039137
48,1658540686,0.272006921,226.2851563,4.310662343,0.017727424,14.9129529,109.5831487,0.8851111111111111,0.1045352339740204,0.2239292147039137
49,1658540691,0.290335915,226.375,4.257583598,0.017039184,14.9129529,109.5831487,0.8939333333333332,0.1050868065375076,0.2239658295469153
50,1658540696,0.289843885,226.375,3.679470596,0.017560654,14.9129529,109.5831487,0.8939333333333332,0.1050868065375076,0.2239658295469153
51,1658540701,0.288267696,226.3320313,3.481816195,0.016980129,14.9129529,109.5831487,0.8939333333333332,0.1050868065375076,0.2239658295469153
52,1658540706,0.26181882,227.0078125,1.041111554,0.016770346,16.16782038,111.1031346,0.9219555555555556,0.105283995305645,0.2239459130153987
53,1658540711,0.287443003,227.0078125,1.236193908,0.02080226,16.16782038,111.1031346,0.9219555555555556,0.105283995305645,0.2239459130153987
54,1658540716,0.263574834,227.0078125,1.024010537,0.020345631,16.16782038,111.1031346,0.9219555555555556,0.105283995305645,0.2239459130153987
