,timestamp,currencyservice-588fc9584d-l8vxn&cpu_usage,currencyservice-588fc9584d-l8vxn&mem_usage,currencyservice-588fc9584d-l8vxn&mem_usage_rate,currencyservice-588fc9584d-l8vxn&fs_usage,currencyservice-588fc9584d-l8vxn&net_receive,currencyservice-588fc9584d-l8vxn&net_trainsmit,(node)192.168.31.101:9100_network,(node)192.168.31.101:9100_cpu,(node)192.168.31.101:9100_memory
0,1658540446,0.305365835,187.5585938,8.202147994,0.043857722,29.04142362,38.57708934,0.8246666666666667,0.0979703909192898,0.2235636127640921
1,1658540451,0.277479864,187.671875,6.294042317,0.043857722,22.79388737,30.278193,0.816,0.1010805306481282,0.223603506548258
2,1658540456,0.274207977,187.671875,5.881943874,0.059605459,30.36111482,33.11659129,0.816,0.1010805306481282,0.223603506548258
3,1658540461,0.335253923,189.8320313,6.358931668,0.049229391,31.17187212,34.27665644,0.816,0.1010805306481282,0.223603506548258
4,1658540466,0.328851245,189.9492188,5.554183095,0.037818855,31.17187212,34.27665644,0.8100222222222221,0.101245951717744,0.2235916052062542
5,1658540471,0.350411343,190.0546875,5.219228138,0.0,31.17187212,34.27665644,0.8100222222222221,0.101245951717744,0.2235916052062542
6,1658540476,0.350125302,190.3828125,2.288441616,0.0,32.0092412,26.29712408,0.8100222222222221,0.101245951717744,0.2235916052062542
7,1658540481,0.347343576,190.4453125,2.046620223,0.035735649,32.0092412,26.29712408,0.8052444444444444,0.1015130090495962,0.2237156584803042
8,1658540486,0.32739172,190.4453125,0.065876857,0.054787593,22.33151387,18.34640776,0.8052444444444444,0.1015130090495962,0.2237156584803042
9,1658540491,0.270734544,190.4453125,0.022695282,0.054787593,29.28314927,30.5549229,0.8052444444444444,0.1015130090495962,0.2237156584803042
10,1658540496,0.302779865,190.8242188,0.025717414,0.037785777,29.28314927,30.5549229,0.8009777777777778,0.0991842053082772,0.2237418900096188
11,1658540501,0.333707612,190.9882813,0.026392236,0.076247892,29.23461147,31.86366719,0.8009777777777778,0.0991842053082772,0.2237418900096188
12,1658540506,0.331673353,190.9882813,0.025920142,0.098450007,29.23461147,31.86366719,0.8009777777777778,0.0991842053082772,0.2237418900096188
13,1658540511,0.330600915,191.4960938,0.030812729,0.106359589,29.23461147,31.86366719,0.7898,0.0990673516466003,0.2236948918529302
14,1658540516,0.3299281,191.5859375,0.030784358,0.084225073,17.53942904,20.57827196,0.7898,0.0990673516466003,0.2236948918529302
